"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048545","response to steroid hormone","6/30","362/25730",0.0165745856353591,14.2154696132597,8.65165694287453,3.32153034411705e-06,0.00112960970100864,0.000690236479692059,"Cpe/S100b/Col1a1/Ephx1/Fam107a/Cav1",6
"GO:0031643","positive regulation of myelination","3/30","28/25730",0.107142857142857,91.8928571428571,16.4410984739182,4.59415195557364e-06,0.00112960970100864,0.000690236479692059,"Egr2/S100b/Mag",3
"GO:0071260","cellular response to mechanical stimulus","4/30","103/25730",0.0388349514563107,33.3074433656958,11.2247800249111,6.1257175011196e-06,0.00112960970100864,0.000690236479692059,"Col1a1/Slc2a1/Cav1/Mag",4
"GO:0071214","cellular response to abiotic stimulus","6/30","404/25730",0.0148514851485149,12.7376237623762,8.12443343916493,6.23131225186268e-06,0.00112960970100864,0.000690236479692059,"Col1a1/Slc2a1/Efhd1/Cav1/Mag/Crip1",6
"GO:0104004","cellular response to environmental stimulus","6/30","404/25730",0.0148514851485149,12.7376237623762,8.12443343916493,6.23131225186268e-06,0.00112960970100864,0.000690236479692059,"Col1a1/Slc2a1/Efhd1/Cav1/Mag/Crip1",6
"GO:0071496","cellular response to external stimulus","4/30","105/25730",0.0380952380952381,32.6730158730159,11.1111151930575,6.61234946931889e-06,0.00112960970100864,0.000690236479692059,"Col1a1/Slc2a1/Cav1/Mag",4
"GO:0009612","response to mechanical stimulus","5/30","268/25730",0.0186567164179104,16.0012437810945,8.43439484362273,1.35995793299758e-05,0.00199136697331788,0.00121680446636625,"Col1a1/Slc2a1/Serpine2/Cav1/Mag",5
"GO:0010001","glial cell differentiation","5/30","305/25730",0.0163934426229508,14.0601092896175,7.83920044425286,2.53095609691875e-05,0.00278409020168701,0.00170118990501029,"Egr2/S100b/Serpine2/Mag/Metrn",5
"GO:0030198","extracellular matrix organization","5/30","323/25730",0.0154798761609907,13.2765737874097,7.58590264857398,3.32849338683214e-05,0.00278409020168701,0.00170118990501029,"Col1a1/Mmp15/Cav1/Adamtsl1/Rgcc",5
"GO:0045229","external encapsulating structure organization","5/30","324/25730",0.0154320987654321,13.2355967078189,7.57242588476664,3.37791825869611e-05,0.00278409020168701,0.00170118990501029,"Col1a1/Mmp15/Cav1/Adamtsl1/Rgcc",5
