symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ACSL1	22854.5013	3.603850656	0.371138605	9.710255439	2.73E-22	2.72E-18
AKR1C1	4492.449937	3.436601534	0.387825328	8.861209642	7.92E-19	3.17E-15
CCDC80	28387.95124	2.530641329	0.286250467	8.840653971	9.52E-19	3.17E-15
AGPAT2	7600.847355	3.360320224	0.388224959	8.655600702	4.90E-18	1.22E-14
COL3A1	43460.18994	1.561407074	0.18200181	8.579074436	9.56E-18	1.91E-14
SPARC	108085.9449	1.519211688	0.182690914	8.315748449	9.12E-17	1.52E-13
ARHGAP20	2914.892037	2.731729804	0.334845898	8.158170128	3.40E-16	4.85E-13
INSC	566.4181278	-5.662089858	0.714967368	-7.91936823	2.39E-15	2.77E-12
CD36	29686.02734	3.552524211	0.449654403	7.900565829	2.78E-15	2.77E-12
PLXNA4	6003.60883	3.607424207	0.456062816	7.909928374	2.58E-15	2.77E-12
PTGER3	2860.243695	3.70472694	0.471191165	7.86247114	3.77E-15	3.42E-12
IDH1	5643.28295	2.895205439	0.370532943	7.813624929	5.56E-15	4.63E-12
LRRN2	407.2523334	-5.226144209	0.683020088	-7.651523437	1.99E-14	1.53E-11
PPP1R1A	5228.571999	3.385819599	0.445190387	7.605329532	2.84E-14	2.03E-11
SVEP1	18135.45815	1.797783881	0.240430111	7.47736576	7.58E-14	4.97E-11
MXRA5	4642.552241	2.445321872	0.327310366	7.470957614	7.96E-14	4.97E-11
IGF1	4407.490712	2.968447036	0.40027104	7.41609244	1.21E-13	6.94E-11
APOL6	6708.720283	2.107883935	0.284416207	7.411265192	1.25E-13	6.94E-11
SCD	489450.6987	4.168660519	0.576239829	7.23424572	4.68E-13	2.34E-10
DMTN	2276.140586	2.508005344	0.346378549	7.240648554	4.47E-13	2.34E-10
FZD4	17609.7877	2.314652737	0.322403574	7.179364377	7.00E-13	3.33E-10
THBS4	7478.907321	-1.878314763	0.263176145	-7.137101145	9.53E-13	4.33E-10
VKORC1L1	5319.345752	2.724539367	0.387065919	7.038954431	1.94E-12	8.41E-10
