"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"leukocyte activation",0,0,0,1,1
"immune response",0,0,0,1,1
"regulation of gene expression",0,0,0,1,1
"regulation of immune response",0,0,0,1,1
"regulation of primary metabolic process",0,0,0,1,1
"positive regulation of cytokine production",0,0,0,1,1
"lymphocyte activation",0,0,0,1,1
"immune effector process",0,0,0,1,1
"response to cytokine",0,0,0,1,1
"positive regulation of immune response",0,0,0,1,1
"hemopoiesis",0,0,0,1,1
"response to peptide",0,0,0,1,1
"innate immune response",0,0,0,1,1
"defense response to other organism",0,0,0,1,1
"T cell activation",0,0,0,1,1
"immune response-regulating signaling pathway",0,0,0,1,1
"regulation of leukocyte activation",0,0,0,1,1
"defense response to symbiont",0,0,0,1,1
"positive regulation of programmed cell death",0,0,0,1,1
"leukocyte differentiation",0,0,0,1,1
"response to molecule of bacterial origin",0,0,0,1,1
"positive regulation of nucleobase-containing compound metabolic process",0,0,0,1,1
"activation of immune response",0,0,0,1,1
"positive regulation of DNA-templated transcription",0,0,0,1,1
"positive regulation of RNA biosynthetic process",0,0,0,1,1
"positive regulation of RNA metabolic process",0,0,0,1,1
"immune response-activating signaling pathway",0,0,0,1,1
"myeloid leukocyte activation",0,0,0,1,1
"regulation of immune effector process",0,0,0,1,1
"positive regulation of defense response",0,0,0,1,1
"response to lipopolysaccharide",0,0,0,1,1
"regulation of lymphocyte activation",0,0,0,1,1
"regulation of nucleobase-containing compound metabolic process",0,0,0,1,1
"cellular response to cytokine stimulus",0,0,0,1,1
"leukocyte cell-cell adhesion",0,0,0,1,1
"positive regulation of transcription by RNA polymerase II",0,0,0,1,1
"leukocyte activation involved in immune response",0,0,0,1,1
"cell activation involved in immune response",0,0,0,1,1
"regulation of response to biotic stimulus",0,0,0,1,1
"regulation of RNA metabolic process",0,0,0,1,1
"cytokine-mediated signaling pathway",0,0,0,1,1
"DNA-templated transcription",0,0,0,1,1
"regulation of leukocyte cell-cell adhesion",0,0,0,1,1
"immune response-regulating cell surface receptor signaling pathway",0,0,0,1,1
"regulation of DNA-templated transcription",0,0,0,1,1
"regulation of RNA biosynthetic process",0,0,0,1,1
"cellular response to oxygen-containing compound",0,0,0,1,1
"regulation of innate immune response",0,0,0,1,1
"positive regulation of cell-cell adhesion",0,0,0,1,1
"regulation of transcription by RNA polymerase II",0,0,0,1,1
"transcription by RNA polymerase II",0,0,0,1,1
"leukocyte mediated immunity",0,0,0,1,1
"positive regulation of leukocyte cell-cell adhesion",0,0,0,1,1
"mononuclear cell differentiation",0,0,0,1,1
"response to nitrogen compound",0,0,0,1,1
"alpha-beta T cell activation",0,0,0,1,1
"positive regulation of lymphocyte activation",0,0,0,1,1
"immune response-activating cell surface receptor signaling pathway",0,0,0,1,1
"positive regulation of response to biotic stimulus",0,0,0,1,1
"lymphocyte activation involved in immune response",0,0,0,1,1
"apoptotic signaling pathway",0,0,0,1,1
"regulation of T cell activation",0,0,0,1,1
"positive regulation of innate immune response",0,0,0,1,1
"canonical NF-kappaB signal transduction",0,0,0,1,1
"phosphorylation",0,0,0,1,1
"interleukin-1 production",0,0,0,1,1
"regulation of interleukin-1 production",0,0,0,1,1
"regulation of leukocyte mediated immunity",0,0,0,1,1
"T cell activation involved in immune response",0,0,0,1,1
"regulation of apoptotic signaling pathway",0,0,0,1,1
"regulation of hemopoiesis",0,0,0,1,1
"positive regulation of T cell activation",0,0,0,1,1
"lymphocyte differentiation",0,0,0,1,1
"negative regulation of immune system process",0,0,0,1,1
"positive regulation of immune effector process",0,0,0,1,1
"T cell differentiation",0,0,0,1,1
"positive regulation of MAPK cascade",0,0,0,1,1
"regulation of secretion",0,0,0,1,1
"regulation of secretion by cell",0,0,0,1,1
"embryo development",0,0,0,1,1
"myeloid cell differentiation",0,0,0,1,1
"response to interleukin-1",0,0,0,1,1
"interleukin-1 beta production",0,0,0,1,1
"regulation of interleukin-1 beta production",0,0,0,1,1
"cellular response to interleukin-1",0,0,0,1,1
