"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"neuron differentiation",5,"aggSC, ImmSC, majorSC, mySC, nmSC",1.90945824969764,2.6224966405599,"Shared"
"generation of neurons",5,"aggSC, ImmSC, majorSC, mySC, nmSC",1.9040996001137,2.6224966405599,"Shared"
"nervous system development",5,"aggSC, ImmSC, majorSC, mySC, nmSC",1.79898259510648,2.58623060574568,"Shared"
"negative regulation of cell projection organization",5,"aggSC, ImmSC, majorSC, mySC, nmSC",1.73914979156274,2.58623060574568,"Shared"
"cell projection morphogenesis",4,"aggSC, majorSC, mySC, nmSC",2.07060888555216,2.91599240158692,"Shared"
"neuron projection morphogenesis",4,"aggSC, majorSC, mySC, nmSC",2.07060888555216,2.91599240158692,"Shared"
"plasma membrane bounded cell projection morphogenesis",4,"aggSC, majorSC, mySC, nmSC",2.07060888555216,2.91599240158692,"Shared"
"neurogenesis",4,"aggSC, ImmSC, majorSC, nmSC",1.96934007997969,2.58623060574568,"Shared"
"transmission of nerve impulse",4,"aggSC, majorSC, mySC, nmSC",1.93793872114979,2.36588608617679,"Shared"
"plasma membrane bounded cell projection organization",4,"aggSC, majorSC, mySC, nmSC",1.91897565244765,2.57408942027273,"Shared"
"cell adhesion",4,"aggSC, ImmSC, majorSC, mySC",1.9084817994064,2.58623060574568,"Shared"
"cell projection organization",4,"aggSC, majorSC, mySC, nmSC",1.89843034662871,2.52264540087463,"Shared"
"anatomical structure morphogenesis",4,"aggSC, majorSC, mySC, nmSC",1.85562690829718,2.57408942027273,"Shared"
"multicellular organism development",4,"aggSC, majorSC, mySC, nmSC",1.83051691464597,2.57588706237798,"Shared"
"system development",4,"aggSC, majorSC, mySC, nmSC",1.82266487728095,2.57408942027273,"Shared"
"negative regulation of microvillus assembly",4,"aggSC, ImmSC, majorSC, mySC",1.7982387249626,1.93704640400995,"Shared"
"negative regulation of thyroid gland epithelial cell proliferation",4,"aggSC, ImmSC, majorSC, mySC",1.7982387249626,1.93704640400995,"Shared"
"regulation of thyroid gland epithelial cell proliferation",4,"aggSC, ImmSC, majorSC, mySC",1.7982387249626,1.93704640400995,"Shared"
"thyroid gland epithelial cell proliferation",4,"aggSC, ImmSC, majorSC, mySC",1.7982387249626,1.93704640400995,"Shared"
"myelination",4,"aggSC, majorSC, mySC, nmSC",1.67488811326726,2.03440204501625,"Shared"
"axon ensheathment",4,"aggSC, majorSC, mySC, nmSC",1.67434924659831,2.03440204501625,"Shared"
"ensheathment of neurons",4,"aggSC, majorSC, mySC, nmSC",1.67434924659831,2.03440204501625,"Shared"
"cell-cell adhesion via plasma-membrane adhesion molecules",4,"aggSC, ImmSC, mySC, nmSC",1.66306954853128,2.48251472723103,"Shared"
"regulation of neuron differentiation",3,"aggSC, majorSC, mySC",2.443747336629,2.82010618560432,"Shared"
"neuron projection development",3,"aggSC, majorSC, nmSC",2.13518390682105,2.57588706237798,"Shared"
"positive regulation of myelination",3,"aggSC, majorSC, mySC",2.0843698058862,2.16739297188865,"Shared"
