"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"negative regulation of cell adhesion",3,"aggSC, majorSC, mySC",2.27589675826877,2.56824193825965,"Shared"
"regulation of cell adhesion",3,"aggSC, majorSC, mySC",2.16384144371249,2.56824193825965,"Shared"
"cell adhesion",3,"aggSC, majorSC, mySC",2.08698346944022,2.28850933566208,"Shared"
"response to endogenous stimulus",3,"aggSC, majorSC, mySC",2.08226253518034,2.28850933566208,"Shared"
"cellular response to vitamin E",3,"aggSC, majorSC, mySC",1.98783787829063,2.13615361829244,"Shared"
"cellular response to growth factor stimulus",3,"aggSC, majorSC, mySC",1.84085695019774,2.0652283028427,"Shared"
"response to growth factor",3,"aggSC, majorSC, mySC",1.82706425813172,2.05426250817689,"Shared"
"blood vessel development",3,"aggSC, majorSC, mySC",1.82485916981534,2.05290250150541,"Shared"
"vasculature development",3,"aggSC, majorSC, mySC",1.79352950034393,2.01285322112641,"Shared"
"cellular response to transforming growth factor beta stimulus",3,"aggSC, majorSC, mySC",1.78265368302605,1.82837732539556,"Shared"
"response to transforming growth factor beta",3,"aggSC, majorSC, mySC",1.78265368302605,1.82837732539556,"Shared"
"sensory perception of sound",3,"aggSC, majorSC, mySC",1.78265368302605,1.82837732539556,"Shared"
"external encapsulating structure organization",3,"aggSC, majorSC, mySC",1.77676063910135,1.81953775950851,"Shared"
"extracellular matrix organization",3,"aggSC, majorSC, mySC",1.77676063910135,1.81953775950851,"Shared"
"extracellular structure organization",3,"aggSC, majorSC, mySC",1.77676063910135,1.81953775950851,"Shared"
"sensory perception of mechanical stimulus",3,"aggSC, majorSC, mySC",1.77676063910135,1.81953775950851,"Shared"
"response to steroid hormone",3,"aggSC, majorSC, mySC",1.73597627869838,1.76199854954932,"Shared"
"anatomical structure morphogenesis",3,"aggSC, majorSC, mySC",1.65737321007697,1.82837732539556,"Shared"
"intracellular signaling cassette",3,"aggSC, majorSC, mySC",1.59831140587553,1.62025321889386,"Shared"
"intracellular signal transduction",3,"aggSC, majorSC, mySC",1.47379810472373,1.69120639828703,"Shared"
"response to hormone",3,"aggSC, majorSC, mySC",1.46329555080215,1.69120639828703,"Shared"
"cytokine production",3,"aggSC, majorSC, mySC",1.39248979069279,1.41470579398267,"Shared"
"response to stimulus",3,"aggSC, majorSC, mySC",1.35655291975569,1.37800508313769,"Shared"
"regulation of cell migration",2,"aggSC, mySC",2.56824193825965,2.56824193825965,"Partially shared"
"regulation of cell motility",2,"aggSC, mySC",2.56824193825965,2.56824193825965,"Partially shared"
"regulation of locomotion",2,"aggSC, mySC",2.56824193825965,2.56824193825965,"Partially shared"
"locomotion",2,"aggSC, mySC",2.37672287303416,2.37672287303416,"Partially shared"
"positive regulation of epithelial to mesenchymal transition",2,"aggSC, mySC",2.30301752746597,2.30301752746597,"Partially shared"
"cell migration",2,"aggSC, mySC",2.28850933566208,2.28850933566208,"Partially shared"
"collagen biosynthetic process",2,"aggSC, mySC",2.28850933566208,2.28850933566208,"Partially shared"
"regulation of cell-cell adhesion",2,"aggSC, mySC",2.28850933566208,2.28850933566208,"Partially shared"
"cell motility",2,"aggSC, mySC",2.13615361829244,2.13615361829244,"Partially shared"
"cellular response to fibroblast growth factor stimulus",2,"aggSC, mySC",2.13615361829244,2.13615361829244,"Partially shared"
"negative regulation of exit from mitosis",2,"aggSC, mySC",2.13615361829244,2.13615361829244,"Partially shared"
"positive regulation of multicellular organismal process",2,"aggSC, mySC",2.13615361829244,2.13615361829244,"Partially shared"
"regulation of epithelial to mesenchymal transition",2,"aggSC, mySC",2.13615361829244,2.13615361829244,"Partially shared"
"response to fibroblast growth factor",2,"aggSC, mySC",2.13288050024651,2.13288050024651,"Partially shared"
"collagen metabolic process",2,"aggSC, mySC",2.05426250817689,2.05426250817689,"Partially shared"
"epithelial to mesenchymal transition",2,"aggSC, mySC",1.93745562960077,1.93745562960077,"Partially shared"
"regulation of anatomical structure morphogenesis",2,"aggSC, mySC",1.92103115600873,1.92103115600873,"Partially shared"
"regulation of endothelial cell migration",2,"aggSC, mySC",1.92103115600873,1.92103115600873,"Partially shared"
"cell-cell adhesion",2,"aggSC, mySC",1.9067034332051,1.9067034332051,"Partially shared"
"enzyme-linked receptor protein signaling pathway",2,"aggSC, mySC",1.85109485353397,1.85109485353397,"Partially shared"
"positive regulation of macromolecule biosynthetic process",2,"aggSC, mySC",1.85109485353397,1.85109485353397,"Partially shared"
"regulation of developmental process",2,"aggSC, mySC",1.85109485353397,1.85109485353397,"Partially shared"
"negative regulation of cell-cell adhesion",2,"aggSC, mySC",1.83522490399061,1.83522490399061,"Partially shared"
"positive regulation of biosynthetic process",2,"aggSC, mySC",1.83522490399061,1.83522490399061,"Partially shared"
"anatomical structure formation involved in morphogenesis",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"circulatory system development",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"endothelial cell migration",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"mesenchymal cell differentiation",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"muscle cell proliferation",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"positive regulation of biological process",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"positive regulation of cellular process",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
"positive regulation of macromolecule metabolic process",2,"aggSC, mySC",1.82837732539556,1.82837732539556,"Partially shared"
