"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"regulation of cell adhesion",3,"aggSC, majorSC, mySC",1.9857257052712,2.56117742796154,"Shared"
"cell adhesion",3,"aggSC, majorSC, mySC",1.94766193894224,2.18977357001706,"Shared"
"negative regulation of cell adhesion",3,"aggSC, majorSC, mySC",1.87936883785472,2.35837059458236,"Shared"
"response to steroid hormone",3,"aggSC, majorSC, mySC",1.87921392608629,2.35837059458236,"Shared"
"cellular response to vitamin E",3,"aggSC, majorSC, mySC",1.81873233660176,1.82660612340482,"Shared"
"regulation of cell migration",3,"aggSC, majorSC, mySC",1.78764888673323,1.91867099737458,"Shared"
"regulation of cell motility",3,"aggSC, majorSC, mySC",1.78764888673323,1.91867099737458,"Shared"
"regulation of locomotion",3,"aggSC, majorSC, mySC",1.78764888673323,1.91867099737458,"Shared"
"locomotion",3,"aggSC, majorSC, mySC",1.76388708101508,1.88465026345144,"Shared"
"cell migration",3,"aggSC, majorSC, mySC",1.71020470974803,1.82660612340482,"Shared"
"response to endogenous stimulus",3,"aggSC, majorSC, mySC",1.70886880966506,1.82660612340482,"Shared"
"response to hormone",3,"aggSC, majorSC, mySC",1.62251318530589,1.67096744523357,"Shared"
"sensory perception of sound",3,"aggSC, majorSC, mySC",1.61286974095064,1.6565022787007,"Shared"
"cell motility",3,"aggSC, majorSC, mySC",1.60590668176698,1.71038773684339,"Shared"
"sensory perception of mechanical stimulus",3,"aggSC, majorSC, mySC",1.59952796882091,1.6398679594909,"Shared"
"cell-substrate adhesion",3,"aggSC, majorSC, mySC",1.57170761172912,1.61886047637647,"Shared"
"regulation of cell-cell adhesion",3,"aggSC, majorSC, mySC",1.45325893800349,1.48141612119816,"Shared"
"positive regulation of cell migration",3,"aggSC, majorSC, mySC",1.41654160103796,1.45045708043987,"Shared"
"positive regulation of cell motility",3,"aggSC, majorSC, mySC",1.40608394247994,1.44664143419763,"Shared"
"positive regulation of locomotion",3,"aggSC, majorSC, mySC",1.40608394247994,1.44664143419763,"Shared"
"collagen fibril organization",2,"aggSC, mySC",1.88465026345144,1.88465026345144,"Partially shared"
"endochondral bone morphogenesis",2,"aggSC, mySC",1.88465026345144,1.88465026345144,"Partially shared"
"bone morphogenesis",2,"aggSC, mySC",1.82660612340482,1.82660612340482,"Partially shared"
"cellular response to fibroblast growth factor stimulus",2,"aggSC, mySC",1.82660612340482,1.82660612340482,"Partially shared"
"response to fibroblast growth factor",2,"aggSC, mySC",1.82660612340482,1.82660612340482,"Partially shared"
"cellular response to growth factor stimulus",2,"aggSC, mySC",1.71038773684339,1.71038773684339,"Partially shared"
"blood vessel development",2,"aggSC, mySC",1.69799984392603,1.69799984392603,"Partially shared"
"response to growth factor",2,"aggSC, mySC",1.69799984392603,1.69799984392603,"Partially shared"
"response to stress",2,"aggSC, mySC",1.69799984392603,1.69799984392603,"Partially shared"
"vasculature development",2,"aggSC, mySC",1.69799984392603,1.69799984392603,"Partially shared"
"bone development",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"cartilage development",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"cellular response to acid chemical",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"cellular response to amino acid stimulus",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"enzyme-linked receptor protein signaling pathway",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"lung development",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"respiratory tube development",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"response to acid chemical",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"response to amino acid",2,"aggSC, mySC",1.67096744523357,1.67096744523357,"Partially shared"
"animal organ morphogenesis",2,"aggSC, mySC",1.6565022787007,1.6565022787007,"Partially shared"
"cellular response to transforming growth factor beta stimulus",2,"aggSC, mySC",1.6565022787007,1.6565022787007,"Partially shared"
"respiratory system development",2,"aggSC, mySC",1.6565022787007,1.6565022787007,"Partially shared"
"skeletal system morphogenesis",2,"aggSC, mySC",1.6565022787007,1.6565022787007,"Partially shared"
"response to transforming growth factor beta",2,"aggSC, mySC",1.65205005617194,1.65205005617194,"Partially shared"
"anatomical structure formation involved in morphogenesis",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"anatomical structure homeostasis",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"anatomical structure morphogenesis",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"circulatory system development",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"connective tissue development",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"external encapsulating structure organization",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"extracellular matrix organization",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"extracellular structure organization",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"response to abiotic stimulus",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"tissue homeostasis",2,"aggSC, mySC",1.6398679594909,1.6398679594909,"Partially shared"
"cellular response to endogenous stimulus",2,"aggSC, mySC",1.63963559183825,1.63963559183825,"Partially shared"
"embryo development",2,"aggSC, mySC",1.63963559183825,1.63963559183825,"Partially shared"
"skin development",2,"aggSC, mySC",1.63963559183825,1.63963559183825,"Partially shared"
"regulation of multicellular organismal process",2,"aggSC, mySC",1.59349245404429,1.59349245404429,"Partially shared"
"wound healing",2,"aggSC, mySC",1.57719096101193,1.57719096101193,"Partially shared"
"positive regulation of cellular process",2,"aggSC, mySC",1.53521636342681,1.53521636342681,"Partially shared"
"positive regulation of signal transduction",2,"aggSC, mySC",1.49541081621517,1.49541081621517,"Partially shared"
"muscle tissue development",2,"aggSC, mySC",1.48141612119816,1.48141612119816,"Partially shared"
"positive regulation of biological process",2,"aggSC, mySC",1.48141612119816,1.48141612119816,"Partially shared"
"response to peptide hormone",2,"aggSC, mySC",1.48141612119816,1.48141612119816,"Partially shared"
"response to stimulus",2,"aggSC, mySC",1.48141612119816,1.48141612119816,"Partially shared"
"intracellular signaling cassette",2,"aggSC, mySC",1.4545779173934,1.4545779173934,"Partially shared"
"positive regulation of multicellular organismal process",2,"aggSC, mySC",1.4545779173934,1.4545779173934,"Partially shared"
"response to wounding",2,"aggSC, mySC",1.4545779173934,1.4545779173934,"Partially shared"
"skeletal system development",2,"aggSC, mySC",1.4545779173934,1.4545779173934,"Partially shared"
"homeostatic process",2,"aggSC, mySC",1.45045708043987,1.45045708043987,"Partially shared"
"response to oxygen-containing compound",2,"aggSC, mySC",1.45045708043987,1.45045708043987,"Partially shared"
"neurogenesis",2,"aggSC, mySC",1.44664143419763,1.44664143419763,"Partially shared"
"positive regulation of cell communication",2,"aggSC, mySC",1.44664143419763,1.44664143419763,"Partially shared"
"positive regulation of signaling",2,"aggSC, mySC",1.44664143419763,1.44664143419763,"Partially shared"
"regulation of response to stimulus",2,"aggSC, mySC",1.44664143419763,1.44664143419763,"Partially shared"
"cell surface receptor protein tyrosine kinase signaling pathway",2,"aggSC, mySC",1.44138842394551,1.44138842394551,"Partially shared"
"system development",2,"aggSC, mySC",1.43899406572676,1.43899406572676,"Partially shared"
"blood vessel morphogenesis",2,"aggSC, mySC",1.42888054995669,1.42888054995669,"Partially shared"
"heart development",2,"aggSC, mySC",1.41528409973965,1.41528409973965,"Partially shared"
"tissue development",2,"aggSC, mySC",1.40408777799911,1.40408777799911,"Partially shared"
"tissue morphogenesis",2,"aggSC, mySC",1.40223964567967,1.40223964567967,"Partially shared"
"MAPK cascade",2,"aggSC, mySC",1.344245653503,1.344245653503,"Partially shared"
"head development",2,"aggSC, mySC",1.33899518242374,1.33899518242374,"Partially shared"
"regulation of cellular process",2,"aggSC, mySC",1.32695993180427,1.32695993180427,"Partially shared"
"cell differentiation",2,"aggSC, mySC",1.32174204670093,1.32174204670093,"Partially shared"
"cellular developmental process",2,"aggSC, mySC",1.32174204670093,1.32174204670093,"Partially shared"
"developmental growth",2,"aggSC, mySC",1.32174204670093,1.32174204670093,"Partially shared"
"positive regulation of response to stimulus",2,"aggSC, mySC",1.32174204670093,1.32174204670093,"Partially shared"
"chordate embryonic development",2,"aggSC, mySC",1.32112819751081,1.32112819751081,"Partially shared"
"cellular response to chemical stimulus",2,"aggSC, mySC",1.3166534374671,1.3166534374671,"Partially shared"
