"comparison","gene_set","enrich_type","cell_type","n_pathways","mean_neg_log10_padj"
"DREXvsHFD","Overlap_MS","richR_GO","ImmSC",15,1.71151434091903
"DREXvsHFD","Overlap_MS","richR_GO","aggSC",97,1.90888997458424
"DREXvsHFD","Overlap_MS","richR_GO","majorSC",79,1.80822871794528
"DREXvsHFD","Overlap_MS","richR_GO","mySC",37,1.48346278399322
"DREXvsHFD","Overlap_MS","richR_GO","nmSC",68,1.47548457560867
"DREXvsHFD","Overlap_MS","richR_KEGG","aggSC",1,1.38046608245891
"DREXvsHFD","Overlap_MS","richR_KEGG","mySC",1,2.48062916210718
"DREXvsHFD","Overlap_MS","richR_KEGG","nmSC",1,1.91041501831974
"DRvsHFD","Overlap_All3","richR_GO","aggSC",93,1.58579167881932
"DRvsHFD","Overlap_All3","richR_GO","majorSC",26,1.64582872609217
"DRvsHFD","Overlap_All3","richR_GO","mySC",93,1.58579167881932
"DRvsHFD","Overlap_All3","richR_KEGG","aggSC",8,1.98744142121651
"DRvsHFD","Overlap_All3","richR_KEGG","mySC",8,1.98744142121651
"DRvsHFD","Overlap_MS","richR_GO","aggSC",86,1.58986574584193
"DRvsHFD","Overlap_MS","richR_GO","majorSC",60,1.53429621987154
"DRvsHFD","Overlap_MS","richR_GO","mySC",62,1.50563820821893
"DRvsHFD","Overlap_MS","richR_KEGG","aggSC",6,1.73559620755812
"DRvsHFD","Overlap_MS","richR_KEGG","mySC",7,1.92910360485113
"EXvsHFD","Overlap_All3","richR_GO","majorSC",97,1.5339765204554
"EXvsHFD","Overlap_MS","richR_GO","aggSC",169,2.4226862713906
"EXvsHFD","Overlap_MS","richR_GO","majorSC",213,2.14396932991026
"EXvsHFD","Overlap_MS","richR_GO","mySC",139,2.22404274267962
"HFDvsSD","Overlap_All3","richR_GO","aggSC",105,1.77690574531795
"HFDvsSD","Overlap_All3","richR_GO","majorSC",55,1.58644838650509
"HFDvsSD","Overlap_All3","richR_GO","mySC",105,1.77690574531795
"HFDvsSD","Overlap_All3","richR_KEGG","majorSC",7,2.83361368772941
"HFDvsSD","Overlap_MS","richR_GO","aggSC",203,1.72328518083587
"HFDvsSD","Overlap_MS","richR_GO","majorSC",80,1.47468976717402
"HFDvsSD","Overlap_MS","richR_GO","mySC",62,1.48820443349704
"HFDvsSD","Overlap_MS","richR_KEGG","majorSC",7,1.77728318623237
