"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"cell adhesion",3,"aggSC, majorSC, mySC",3.76780754551827,4.49147611901481,"Shared"
"collagen fibril organization",3,"aggSC, majorSC, mySC",2.0080341532403,2.38575131068179,"Shared"
"regulation of sodium ion transport",3,"aggSC, majorSC, mySC",1.98994178806494,2.36278727212989,"Shared"
"external encapsulating structure organization",3,"aggSC, majorSC, mySC",1.89811516138247,2.22205663202511,"Shared"
"extracellular matrix organization",3,"aggSC, majorSC, mySC",1.89811516138247,2.22205663202511,"Shared"
"extracellular structure organization",3,"aggSC, majorSC, mySC",1.89811516138247,2.22205663202511,"Shared"
"response to steroid hormone",3,"aggSC, majorSC, mySC",1.7678395217698,1.96084305065848,"Shared"
"cell growth",3,"aggSC, majorSC, mySC",1.73899370007365,2.21173220387857,"Shared"
"system development",3,"aggSC, majorSC, mySC",1.65500971581926,1.81772667483279,"Shared"
"growth",3,"aggSC, majorSC, mySC",1.6377004376272,1.96084305065848,"Shared"
"regulation of cell migration",3,"aggSC, majorSC, mySC",1.6377004376272,1.96084305065848,"Shared"
"regulation of cell motility",3,"aggSC, majorSC, mySC",1.6377004376272,1.96084305065848,"Shared"
"regulation of locomotion",3,"aggSC, majorSC, mySC",1.6377004376272,1.96084305065848,"Shared"
"negative regulation of cell adhesion",3,"aggSC, majorSC, mySC",1.62654342806549,1.98897127199704,"Shared"
"locomotion",3,"aggSC, majorSC, mySC",1.54940783578991,1.7432491373192,"Shared"
"animal organ development",3,"aggSC, majorSC, mySC",1.53633326048618,1.72386031760509,"Shared"
"cellular response to vitamin E",3,"aggSC, majorSC, mySC",1.5213570707801,1.61181295011718,"Shared"
"seminal vesicle epithelium development",3,"aggSC, majorSC, mySC",1.5213570707801,1.61181295011718,"Shared"
"anatomical structure morphogenesis",3,"aggSC, majorSC, mySC",1.51315198032275,1.59329545205081,"Shared"
"regulation of cell adhesion",3,"aggSC, majorSC, mySC",1.50937185652859,1.77890044472111,"Shared"
"cell differentiation",3,"aggSC, majorSC, mySC",1.50599913931841,1.7432491373192,"Shared"
"cellular developmental process",3,"aggSC, majorSC, mySC",1.50599913931841,1.7432491373192,"Shared"
"cell migration",3,"aggSC, majorSC, mySC",1.48495698268934,1.56973148421456,"Shared"
"sensory perception of mechanical stimulus",3,"aggSC, majorSC, mySC",1.47147102934939,1.5114458014638,"Shared"
"multicellular organism development",3,"aggSC, majorSC, mySC",1.4603251636471,1.52021205398912,"Shared"
"regulation of multicellular organismal process",3,"aggSC, majorSC, mySC",1.454782082679,1.52021205398912,"Shared"
"regulation of multicellular organismal development",3,"aggSC, majorSC, mySC",1.42598772914511,1.59237543826753,"Shared"
"response to hormone",3,"aggSC, majorSC, mySC",1.42031480548224,1.59329545205081,"Shared"
"regulation of smoothened signaling pathway",3,"aggSC, majorSC, mySC",1.38771764242462,1.4065933529839,"Shared"
"cardiac muscle hypertrophy",3,"aggSC, majorSC, mySC",1.35108207375461,1.36765847209605,"Shared"
"muscle hypertrophy",3,"aggSC, majorSC, mySC",1.35108207375461,1.36765847209605,"Shared"
"striated muscle hypertrophy",3,"aggSC, majorSC, mySC",1.35108207375461,1.36765847209605,"Shared"
"cell-cell adhesion",3,"aggSC, majorSC, mySC",1.33857715184141,1.36492740986433,"Shared"
"regulation of cell growth",2,"aggSC, majorSC",1.91931393422746,2.47096939635887,"Partially shared"
"tissue development",2,"aggSC, mySC",1.66738329038599,1.96084305065848,"Partially shared"
"muscle tissue development",2,"aggSC, mySC",1.60511005676144,1.715256264391,"Partially shared"
"response to abiotic stimulus",2,"aggSC, mySC",1.57735068266754,1.7432491373192,"Partially shared"
"nervous system development",2,"aggSC, mySC",1.56335424620344,1.715256264391,"Partially shared"
"neurogenesis",2,"aggSC, mySC",1.56335424620344,1.715256264391,"Partially shared"
"positive regulation of cell communication",2,"aggSC, mySC",1.56335424620344,1.715256264391,"Partially shared"
"positive regulation of signaling",2,"aggSC, mySC",1.56335424620344,1.715256264391,"Partially shared"
"developmental growth",2,"aggSC, mySC",1.55858633371635,1.7432491373192,"Partially shared"
"sodium ion transport",2,"aggSC, mySC",1.50647502828367,1.58090384833333,"Partially shared"
"anatomical structure homeostasis",2,"aggSC, mySC",1.46137347948333,1.51129473095078,"Partially shared"
"endochondral bone morphogenesis",2,"aggSC, mySC",1.46137347948333,1.51129473095078,"Partially shared"
"tissue homeostasis",2,"aggSC, mySC",1.46137347948333,1.51129473095078,"Partially shared"
"response to endogenous stimulus",2,"aggSC, mySC",1.45917629662595,1.55342518338757,"Partially shared"
"cell motility",2,"aggSC, majorSC",1.45889906524528,1.5114458014638,"Partially shared"
"positive regulation of signal transduction",2,"aggSC, mySC",1.44712687857191,1.5293263472795,"Partially shared"
"regulation of developmental process",2,"aggSC, majorSC",1.43601947773662,1.50438048337719,"Partially shared"
"generation of neurons",2,"aggSC, mySC",1.43404650639485,1.51129473095078,"Partially shared"
"astrocyte differentiation",2,"aggSC, mySC",1.37877243906859,1.38362134802369,"Partially shared"
"bone morphogenesis",2,"aggSC, mySC",1.36629294098019,1.36765847209605,"Partially shared"
"cardiac muscle tissue growth",2,"aggSC, mySC",1.36629294098019,1.36765847209605,"Partially shared"
"cellular response to fibroblast growth factor stimulus",2,"aggSC, mySC",1.36629294098019,1.36765847209605,"Partially shared"
"gliogenesis",2,"aggSC, mySC",1.36629294098019,1.36765847209605,"Partially shared"
"heart growth",2,"aggSC, mySC",1.36629294098019,1.36765847209605,"Partially shared"
