"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"anatomical structure morphogenesis",1,1,1,1,4
"system development",1,1,1,1,4
"multicellular organism development",1,1,1,1,4
"nervous system development",1,1,1,1,4
"cell differentiation",1,1,1,1,4
"cellular developmental process",1,1,1,1,4
"positive regulation of developmental process",1,1,1,1,4
"positive regulation of cell differentiation",1,1,1,1,4
"animal organ development",1,1,1,1,4
"neuron differentiation",1,1,1,1,4
"regulation of developmental process",1,1,1,1,4
"neurogenesis",1,1,1,1,4
"generation of neurons",1,1,1,1,4
"plasma membrane bounded cell projection organization",1,1,1,1,4
"cell projection organization",1,1,1,1,4
"neuron projection development",1,1,1,1,4
"extracellular matrix organization",1,1,1,1,4
"cell adhesion",1,1,1,1,4
"external encapsulating structure organization",1,1,1,1,4
"extracellular structure organization",1,1,1,1,4
"neuron projection morphogenesis",1,1,1,1,4
"cell growth",1,1,1,1,4
"regulation of multicellular organismal development",1,1,1,1,4
"plasma membrane bounded cell projection morphogenesis",1,1,1,1,4
"response to steroid hormone",1,1,1,1,4
"regulation of cell migration",1,1,1,1,4
"cell projection morphogenesis",1,1,1,1,4
"response to abiotic stimulus",1,1,1,1,4
"cell migration",1,1,1,1,4
"cellular response to mechanical stimulus",1,1,1,1,4
"response to endogenous stimulus",1,1,1,1,4
"cellular response to external stimulus",1,1,1,1,4
"regulation of cell motility",1,1,1,1,4
"neuron development",1,1,1,1,4
"regulation of multicellular organismal process",1,1,1,1,4
"regulation of cell differentiation",1,1,1,1,4
"regulation of locomotion",1,1,1,1,4
"regulation of cell growth",1,1,1,1,4
"response to mechanical stimulus",1,1,1,1,4
"tissue development",1,1,1,1,4
"cell motility",1,1,1,1,4
"glial cell differentiation",1,1,1,1,4
"anatomical structure formation involved in morphogenesis",1,1,1,1,4
"positive regulation of glial cell differentiation",1,1,1,1,4
"response to glucocorticoid",1,1,1,1,4
"locomotion",1,1,1,1,4
"positive regulation of neurogenesis",1,1,1,1,4
"response to hormone",1,1,1,1,4
"response to corticosteroid",1,1,1,1,4
"growth",1,1,1,1,4
"regulation of nervous system development",1,1,1,1,4
"cell morphogenesis",1,1,1,1,4
"regulation of cellular component organization",1,1,1,1,4
"positive regulation of nervous system development",1,1,1,1,4
"positive regulation of astrocyte differentiation",1,1,1,1,4
"gliogenesis",1,1,1,1,4
"positive regulation of multicellular organismal process",1,1,1,1,4
"metal ion transport",1,1,1,1,4
"regulation of anatomical structure morphogenesis",1,1,1,1,4
"regulation of growth",1,1,1,1,4
"positive regulation of gliogenesis",1,1,1,1,4
"regulation of glial cell differentiation",1,1,1,1,4
"astrocyte differentiation",1,1,1,1,4
"regulation of neurogenesis",1,1,1,1,4
"cell development",1,1,1,1,4
"striated muscle tissue development",1,1,1,1,4
"regulation of plasma membrane bounded cell projection organization",1,1,1,1,4
"monoatomic cation transport",1,1,1,1,4
"muscle tissue development",1,1,1,1,4
"central nervous system development",1,1,1,1,4
"regulation of cell projection organization",1,1,1,1,4
"head development",1,1,1,1,4
"positive regulation of cell development",1,1,1,1,4
"mesenchyme development",1,1,1,1,4
"animal organ morphogenesis",1,1,1,1,4
"regulation of gliogenesis",1,1,1,1,4
"circulatory system development",1,1,1,1,4
"regulation of cell development",1,1,1,1,4
"negative regulation of cell growth",1,1,1,1,4
"hepaticobiliary system development",1,1,1,1,4
"positive regulation of cell projection organization",1,1,1,1,4
"negative regulation of developmental process",1,1,1,1,4
"export from cell",1,1,1,1,4
"brain development",1,1,1,1,4
"muscle structure development",1,1,1,1,4
"regulation of monoatomic ion transport",1,1,1,1,4
"negative regulation of growth",1,1,1,1,4
"axonogenesis",1,1,1,1,4
"cell surface receptor signaling pathway",1,1,1,1,4
"developmental growth",1,1,1,1,4
"anatomical structure development",1,1,1,0,3
"developmental process",1,1,1,0,3
"cellular component organization",1,1,1,0,3
"cellular component organization or biogenesis",1,1,1,0,3
"positive regulation of myelination",1,1,1,0,3
"cellular response to abiotic stimulus",1,0,1,1,3
"cellular response to environmental stimulus",1,0,1,1,3
"positive regulation of nervous system process",1,1,1,0,3
"regulation of myelination",1,1,1,0,3
"multicellular organismal process",1,1,1,0,3
"cranial nerve structural organization",1,1,1,0,3
"cellular response to chemical stimulus",1,0,1,1,3
"cellular response to corticosteroid stimulus",1,0,1,1,3
"response to oxygen levels",1,0,1,1,3
"potassium ion transport",1,0,1,1,3
"regulation of neuron differentiation",1,1,1,0,3
"mesenchymal cell differentiation",1,1,0,1,3
"cellular response to endogenous stimulus",1,0,1,1,3
"developmental growth involved in morphogenesis",1,1,1,0,3
"cranial nerve morphogenesis",1,1,0,1,3
"response to lipid",1,0,1,1,3
"positive regulation of cellular process",1,1,1,0,3
"regulation of cell adhesion",1,0,1,1,3
"gland development",1,1,0,1,3
"negative regulation of cell adhesion",1,0,1,1,3
"response to stress",1,0,1,1,3
"cellular response to stress",1,0,1,1,3
"response to hypoxia",1,0,1,1,3
"regulation of astrocyte differentiation",1,1,1,0,3
"rhombomere formation",1,1,1,0,3
"rhombomere structural organization",1,1,1,0,3
"rhombomere 3 structural organization",1,1,1,0,3
"rhombomere 3 formation",1,1,1,0,3
"rhombomere 5 morphogenesis",1,1,1,0,3
"rhombomere 5 structural organization",1,1,1,0,3
"rhombomere 5 formation",1,1,1,0,3
"seminal vesicle epithelium development",1,1,1,0,3
"negative regulation of hepatocyte differentiation",1,1,1,0,3
"cellular response to vitamin E",1,1,1,0,3
"positive regulation of cell migration",1,0,1,1,3
"regulation of nervous system process",1,1,1,0,3
"response to decreased oxygen levels",1,0,1,1,3
"monoatomic ion transport",1,0,1,1,3
"regulation of axonogenesis",1,1,1,0,3
"positive regulation of cell motility",1,0,1,1,3
"biological regulation",1,1,1,0,3
"positive regulation of cellular component organization",1,0,1,1,3
"positive regulation of biological process",1,1,1,0,3
"positive regulation of locomotion",1,0,1,1,3
"cell-cell adhesion",1,0,1,1,3
"regulation of system process",1,0,1,1,3
"liver development",1,1,1,0,3
"regulation of metal ion transport",1,1,0,1,3
"transport",1,0,1,1,3
"myelination",1,1,1,0,3
"regulation of actin filament-based process",1,0,1,1,3
"ensheathment of neurons",1,1,1,0,3
"axon ensheathment",1,1,1,0,3
"potassium ion transmembrane transport",1,0,1,1,3
"positive regulation of epithelial to mesenchymal transition",1,0,1,1,3
"skeletal muscle tissue development",1,0,1,1,3
"regulation of biological process",1,1,1,0,3
"import across plasma membrane",1,0,1,1,3
"negative regulation of BMP signaling pathway",1,0,1,1,3
"skeletal muscle organ development",1,0,1,1,3
"collagen fibril organization",1,1,1,0,3
"regulation of response to stimulus",1,0,1,1,3
"cellular response to growth factor stimulus",1,0,1,1,3
"establishment of localization",1,0,1,1,3
"Wnt signaling pathway",1,1,1,0,3
"regulation of blood coagulation",1,0,1,1,3
"regulation of hemostasis",1,0,1,1,3
"response to growth factor",1,0,1,1,3
"regulation of coagulation",1,0,1,1,3
"blood vessel development",1,0,1,1,3
"regulation of cellular process",1,1,1,0,3
"supramolecular fiber organization",1,0,1,1,3
"localization",1,0,1,1,3
"response to chemical",1,0,1,1,3
"actin filament-based process",1,0,1,1,3
"vasculature development",1,0,1,1,3
"regulation of biological quality",1,0,1,1,3
"regulation of cytoskeleton organization",1,0,1,1,3
"regulation of neuron projection development",0,1,1,1,3
"axon development",0,1,1,1,3
"regulation of signal transduction",0,1,1,1,3
"cell morphogenesis involved in neuron differentiation",0,1,1,1,3
"sensory organ morphogenesis",0,1,1,1,3
"behavior",0,1,1,1,3
"chemotaxis",0,1,1,1,3
"regulation of signaling",0,1,1,1,3
"taxis",0,1,1,1,3
"regulation of cell communication",0,1,1,1,3
