"comparison","cell_type","gene_set","enrich_type","pathway","gene","pathway_padj"
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","Col1a1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","Sdk2",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","Mbp",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","Chst2",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","Sdc3",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","Rgcc",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell adhesion","S100b",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell migration","Col1a1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell migration","Nbl1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell migration","Fgf1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell migration","Chst2",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell migration","Sdc3",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell migration","Rgcc",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell motility","Col1a1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell motility","Nbl1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell motility","Fgf1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell motility","Chst2",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell motility","Sdc3",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of cell motility","Rgcc",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of locomotion","Col1a1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of locomotion","Nbl1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of locomotion","Fgf1",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of locomotion","Chst2",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of locomotion","Sdc3",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","regulation of locomotion","Rgcc",0.00419879838307795
"HFDvsSD","mySC","Overlap_MS","richR_GO","locomotion","Col1a1",0.00818969316548667
"HFDvsSD","mySC","Overlap_MS","richR_GO","locomotion","Nbl1",0.00818969316548667
"HFDvsSD","mySC","Overlap_MS","richR_GO","locomotion","Fgf1",0.00818969316548667
"HFDvsSD","mySC","Overlap_MS","richR_GO","locomotion","Chst2",0.00818969316548667
"HFDvsSD","mySC","Overlap_MS","richR_GO","locomotion","Sdc3",0.00818969316548667
"HFDvsSD","mySC","Overlap_MS","richR_GO","locomotion","Rgcc",0.00818969316548667
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell migration","Col1a1",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell migration","Nbl1",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell migration","Fgf1",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell migration","Chst2",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell migration","Sdc3",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","cell migration","Rgcc",0.0207445326970287
"HFDvsSD","mySC","Overlap_MS","richR_GO","response to endogenous stimulus","Col1a1",0.0207445326970287
