"gene","n_pathways","n_comparisons","pathways"
"Cav1",164,1,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | cell adhesion | response to progesterone | regulation of response to stimulus | anatomical structure morphogenesis | response to steroid hormone | cell motility | animal organ development | cell migration | response to endogenous stimulus | regulation of response to external stimulus | system development | positive regulation of cellular process | response to hyperoxia | regulation of signal transduction | intracellular signaling cassette | anatomical structure development | regulation of cellular process | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | positive regulation of biological process | neurogenesis | positive regulation of signaling | enzyme-linked receptor protein signaling pathway | cell differentiation | cellular developmental process | nervous system development | response to stress | regulation of biological process | regulation of developmental process | response to increased oxygen levels | multicellular organism development | response to external stimulus | response to calcium ion | developmental process | tissue development | neuron differentiation | positive regulation of signal transduction | biological regulation | cellular response to growth factor stimulus | regulation of immune system process | response to growth factor | response to oxygen levels | generation of neurons | regulation of signaling | regulation of cell differentiation | regulation of cell communication | blood vessel development | regulation of cell adhesion | vasculature development | anatomical structure formation involved in morphogenesis | response to abiotic stimulus | positive regulation of response to stimulus | signaling | negative regulation of endothelial cell proliferation | cellular response to oxygen levels | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | regulation of cell-cell adhesion | cell-cell adhesion | potassium ion transport | positive regulation of cell communication | regulation of neuron differentiation | signal transduction | angiogenesis | negative regulation of BMP signaling pathway | response to wounding | response to mechanical stimulus | response to hormone | positive regulation of cell migration | response to ketone | positive regulation of cell population proliferation | cell surface receptor signaling pathway | cellular response to transforming growth factor beta stimulus | regulation of multicellular organismal development | muscle cell proliferation | negative regulation of developmental process | positive regulation of cell motility | response to transforming growth factor beta | maintenance of protein location | positive regulation of apoptotic process | response to stimulus | positive regulation of locomotion | regulation of vascular associated smooth muscle cell proliferation | positive regulation of programmed cell death | response to lipid | vascular associated smooth muscle cell proliferation | intracellular signal transduction | regulation of ERK1 and ERK2 cascade | blood vessel morphogenesis | negative regulation of cell migration | regulation of metabolic process | regulation of biosynthetic process | response to hypoxia | regulation of cellular response to growth factor stimulus | plasma membrane bounded cell projection organization | positive regulation of intracellular signal transduction | regulation of cell population proliferation | negative regulation of cell motility | nitric oxide biosynthetic process | ERK1 and ERK2 cascade | cell projection organization | vasculogenesis | negative regulation of locomotion | positive regulation of macromolecule metabolic process | cellular component organization | regulation of transport | nitric oxide metabolic process | cellular response to mechanical stimulus | multicellular organismal process | cellular response to external stimulus | reactive nitrogen species metabolic process | response to decreased oxygen levels | regulation of plasma membrane bounded cell projection organization | transforming growth factor beta receptor superfamily signaling pathway | response to metal ion | circulatory system development | regulation of BMP signaling pathway | regulation of cell projection organization | cellular response to chemical stimulus | negative regulation of cellular response to growth factor stimulus | regulation of lipid metabolic process | cellular component organization or biogenesis | regulation of macromolecule metabolic process | MAPK cascade | cellular response to endogenous stimulus | wound healing | cell surface receptor protein serine/threonine kinase signaling pathway | positive regulation of cation transmembrane transport | regulation of epithelial cell proliferation | regulation of intracellular signal transduction | positive regulation of macromolecule biosynthetic process | nitrogen compound transport | positive regulation of monoatomic ion transmembrane transport | regulation of gene expression | positive regulation of metabolic process | regulation of defense response | metal ion transport | regulation of endothelial cell proliferation | regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | cell population proliferation | regulation of response to stress | striated muscle tissue development | transport | negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway | localization | response to chemical | gland morphogenesis | tube morphogenesis | negative regulation of epithelial cell proliferation | epithelial cell proliferation | muscle tissue development | regulation of localization | endothelial cell proliferation | cellular response to stimulus | adaptive thermogenesis | BMP signaling pathway | positive regulation of transport"
"Col1a1",145,3,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | cell adhesion | regulation of response to stimulus | anatomical structure morphogenesis | response to steroid hormone | cell motility | animal organ development | cell migration | response to endogenous stimulus | system development | positive regulation of cellular process | response to hyperoxia | regulation of signal transduction | anatomical structure development | regulation of cellular process | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | positive regulation of biological process | positive regulation of signaling | enzyme-linked receptor protein signaling pathway | cell differentiation | cellular developmental process | response to stress | regulation of biological process | regulation of developmental process | response to increased oxygen levels | multicellular organism development | response to external stimulus | developmental process | tissue development | positive regulation of signal transduction | biological regulation | cellular response to growth factor stimulus | response to growth factor | response to oxygen levels | regulation of signaling | regulation of cell differentiation | regulation of cell communication | blood vessel development | regulation of cell adhesion | vasculature development | anatomical structure formation involved in morphogenesis | response to abiotic stimulus | positive regulation of response to stimulus | signaling | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | cellular response to vitamin E | positive regulation of cell communication | positive regulation of epithelial to mesenchymal transition | signal transduction | positive regulation of cell differentiation | mesenchymal cell differentiation | positive regulation of developmental process | response to mechanical stimulus | response to hormone | positive regulation of cell migration | cell surface receptor signaling pathway | collagen biosynthetic process | cellular response to transforming growth factor beta stimulus | positive regulation of cell motility | response to transforming growth factor beta | response to stimulus | positive regulation of locomotion | response to lipid | negative regulation of cell adhesion | regulation of metabolic process | mesenchyme development | regulation of biosynthetic process | skin development | positive regulation of macromolecule metabolic process | cellular component organization | cellular response to mechanical stimulus | protein localization to nucleus | multicellular organismal process | cellular response to external stimulus | regulation of epithelial to mesenchymal transition | circulatory system development | cellular response to fibroblast growth factor stimulus | cellular response to chemical stimulus | cellular component organization or biogenesis | regulation of macromolecule metabolic process | response to fibroblast growth factor | cellular response to endogenous stimulus | response to hydrogen peroxide | response to estradiol | positive regulation of macromolecule biosynthetic process | nitrogen compound transport | collagen metabolic process | regulation of gene expression | positive regulation of metabolic process | regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | transport | localization | response to chemical | epithelial to mesenchymal transition | cellular response to stimulus | sensory perception of sound | sensory perception of mechanical stimulus | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | positive regulation of RNA metabolic process | positive regulation of nucleobase-containing compound metabolic process | cell surface receptor protein tyrosine kinase signaling pathway | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | animal organ morphogenesis | collagen fibril organization | endochondral bone morphogenesis | head development | bone morphogenesis | Protein digestion and absorption | Cytoskeleton in muscle cells | AGE-RAGE signaling pathway in diabetic complications | Amoebiasis | Platelet activation | Relaxin signaling pathway | cellular response to amino acid stimulus | cellular response to acid chemical | response to amino acid | cartilage development | bone development | response to acid chemical | skeletal system morphogenesis | connective tissue development | embryo development | cell-substrate adhesion | response to peptide hormone | skeletal system development | homeostatic process | response to oxygen-containing compound | chordate embryonic development | embryo development ending in birth or egg hatching | Diabetic cardiomyopathy | PI3K-Akt signaling pathway | Wnt signaling pathway | cellular response to glucose stimulus | cellular response to hexose stimulus | cellular response to monosaccharide stimulus"
"Fgf1",130,3,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | regulation of response to stimulus | anatomical structure morphogenesis | cell motility | animal organ development | cell migration | response to endogenous stimulus | regulation of response to external stimulus | system development | positive regulation of cellular process | regulation of signal transduction | intracellular signaling cassette | anatomical structure development | regulation of cellular process | positive regulation of biological process | neurogenesis | positive regulation of signaling | enzyme-linked receptor protein signaling pathway | cell differentiation | cellular developmental process | nervous system development | response to stress | regulation of biological process | regulation of developmental process | multicellular organism development | response to external stimulus | developmental process | tissue development | positive regulation of signal transduction | biological regulation | cellular response to growth factor stimulus | response to growth factor | regulation of signaling | regulation of cell communication | blood vessel development | vasculature development | anatomical structure formation involved in morphogenesis | response to abiotic stimulus | positive regulation of response to stimulus | signaling | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | positive regulation of cell communication | signal transduction | angiogenesis | positive regulation of developmental process | response to wounding | positive regulation of cell migration | positive regulation of cell population proliferation | cell surface receptor signaling pathway | regulation of multicellular organismal development | developmental growth involved in morphogenesis | muscle cell proliferation | positive regulation of cell motility | response to stimulus | positive regulation of locomotion | intracellular signal transduction | regulation of ERK1 and ERK2 cascade | blood vessel morphogenesis | regulation of metabolic process | regulation of biosynthetic process | regulation of cellular response to growth factor stimulus | positive regulation of intracellular signal transduction | regulation of cell population proliferation | ERK1 and ERK2 cascade | vasculogenesis | regulation of steroid biosynthetic process | positive regulation of macromolecule metabolic process | multicellular organismal process | circulatory system development | cellular response to fibroblast growth factor stimulus | cellular response to chemical stimulus | regulation of lipid metabolic process | regulation of macromolecule metabolic process | response to fibroblast growth factor | MAPK cascade | cellular response to endogenous stimulus | wound healing | regulation of epithelial cell proliferation | regulation of steroid metabolic process | regulation of intracellular signal transduction | positive regulation of macromolecule biosynthetic process | regulation of gene expression | positive regulation of metabolic process | regulation of macromolecule biosynthetic process | chemotaxis | taxis | positive regulation of biosynthetic process | cell population proliferation | striated muscle tissue development | response to chemical | gland morphogenesis | positive regulation of catalytic activity | tube morphogenesis | epithelial cell proliferation | muscle tissue development | cellular response to stimulus | regulation of endothelial cell migration | endothelial cell migration | regulation of angiogenesis | regulation of vasculature development | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | positive regulation of RNA metabolic process | positive regulation of nucleobase-containing compound metabolic process | cell surface receptor protein tyrosine kinase signaling pathway | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | animal organ morphogenesis | growth | regulation of cell division | developmental growth | cardiac muscle tissue growth | heart growth | lung development | respiratory tube development | respiratory system development | heart development | tissue morphogenesis | PI3K-Akt signaling pathway | regionalization | pattern specification process | gland development | liver development | hepaticobiliary system development"
"Rgcc",129,1,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | cell adhesion | regulation of response to stimulus | anatomical structure morphogenesis | cell motility | animal organ development | cell migration | response to endogenous stimulus | system development | positive regulation of cellular process | intracellular signaling cassette | anatomical structure development | regulation of cellular process | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | positive regulation of biological process | enzyme-linked receptor protein signaling pathway | cell differentiation | cellular developmental process | response to stress | regulation of biological process | regulation of developmental process | multicellular organism development | developmental process | tissue development | biological regulation | cellular response to growth factor stimulus | regulation of immune system process | response to growth factor | response to oxygen levels | regulation of cell differentiation | blood vessel development | regulation of cell adhesion | vasculature development | anatomical structure formation involved in morphogenesis | response to abiotic stimulus | positive regulation of response to stimulus | signaling | negative regulation of endothelial cell proliferation | cellular response to oxygen levels | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | regulation of cell-cell adhesion | negative regulation of exit from mitosis | regulation of anatomical structure morphogenesis | cell-cell adhesion | positive regulation of epithelial to mesenchymal transition | signal transduction | positive regulation of cell differentiation | angiogenesis | mesenchymal cell differentiation | positive regulation of developmental process | positive regulation of cell population proliferation | cell surface receptor signaling pathway | collagen biosynthetic process | cellular response to transforming growth factor beta stimulus | regulation of multicellular organismal development | muscle cell proliferation | negative regulation of developmental process | response to transforming growth factor beta | positive regulation of apoptotic process | response to stimulus | regulation of vascular associated smooth muscle cell proliferation | positive regulation of programmed cell death | vascular associated smooth muscle cell proliferation | intracellular signal transduction | blood vessel morphogenesis | negative regulation of cell adhesion | negative regulation of cell migration | regulation of metabolic process | mesenchyme development | regulation of biosynthetic process | response to hypoxia | regulation of cell population proliferation | negative regulation of cell motility | negative regulation of locomotion | positive regulation of macromolecule metabolic process | cellular component organization | regulation of transport | multicellular organismal process | response to decreased oxygen levels | regulation of epithelial to mesenchymal transition | transforming growth factor beta receptor superfamily signaling pathway | circulatory system development | cellular response to chemical stimulus | cellular component organization or biogenesis | regulation of macromolecule metabolic process | cellular response to endogenous stimulus | cell surface receptor protein serine/threonine kinase signaling pathway | regulation of epithelial cell proliferation | positive regulation of macromolecule biosynthetic process | collagen metabolic process | regulation of cytokine production | regulation of gene expression | cytokine production | positive regulation of metabolic process | regulation of endothelial cell proliferation | regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | cell population proliferation | transport | localization | cellular response to hypoxia | response to chemical | tube morphogenesis | negative regulation of epithelial cell proliferation | epithelial cell proliferation | regulation of localization | epithelial to mesenchymal transition | endothelial cell proliferation | cellular response to stimulus | positive regulation of transport | regulation of endothelial cell migration | negative regulation of cell-cell adhesion | endothelial cell migration | regulation of angiogenesis | regulation of vasculature development | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | positive regulation of RNA metabolic process | positive regulation of nucleobase-containing compound metabolic process | positive regulation of cytokine production | regulation of DNA-templated transcription | regulation of RNA biosynthetic process"
"Sema7a",123,4,"regulation of cell motility | regulation of locomotion | locomotion | regulation of cell migration | regulation of response to stimulus | anatomical structure morphogenesis | cell motility | animal organ development | cell migration | regulation of response to external stimulus | system development | positive regulation of cellular process | regulation of signal transduction | intracellular signaling cassette | anatomical structure development | regulation of cellular process | positive regulation of biological process | neurogenesis | positive regulation of signaling | cell differentiation | cellular developmental process | nervous system development | response to stress | regulation of biological process | regulation of developmental process | multicellular organism development | response to external stimulus | developmental process | tissue development | neuron differentiation | positive regulation of signal transduction | biological regulation | regulation of immune system process | generation of neurons | regulation of signaling | regulation of cell differentiation | regulation of cell communication | positive regulation of response to stimulus | signaling | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | positive regulation of cell communication | signal transduction | positive regulation of cell differentiation | mesenchymal cell differentiation | positive regulation of developmental process | positive regulation of cell migration | cell surface receptor signaling pathway | regulation of multicellular organismal development | developmental growth involved in morphogenesis | positive regulation of cell motility | response to stimulus | positive regulation of locomotion | intracellular signal transduction | regulation of ERK1 and ERK2 cascade | regulation of metabolic process | mesenchyme development | regulation of biosynthetic process | plasma membrane bounded cell projection organization | positive regulation of intracellular signal transduction | neuron projection development | ERK1 and ERK2 cascade | cell projection organization | positive regulation of macromolecule metabolic process | cellular component organization | neuron projection morphogenesis | multicellular organismal process | regulation of plasma membrane bounded cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | regulation of cell projection organization | cellular component organization or biogenesis | regulation of macromolecule metabolic process | MAPK cascade | neuron development | regulation of intracellular signal transduction | positive regulation of macromolecule biosynthetic process | regulation of cytokine production | regulation of gene expression | cytokine production | positive regulation of metabolic process | regulation of defense response | regulation of macromolecule biosynthetic process | chemotaxis | taxis | positive regulation of biosynthetic process | regulation of response to stress | response to chemical | cellular response to stimulus | regulation of axonogenesis | cell growth | growth | developmental growth | regulation of nervous system development | developmental cell growth | head development | integrin-mediated signaling pathway | regulation of cell growth | regulation of neurogenesis | positive regulation of neurogenesis | positive regulation of nervous system development | cell development | cell morphogenesis | positive regulation of cell development | regulation of cell development | regulation of growth | central nervous system development | neuron projection extension | axonogenesis | regulation of neuron projection development | axon development | cell morphogenesis involved in neuron differentiation | positive regulation of axonogenesis | brain development | neural crest cell differentiation | regulation of axon extension | regulation of cellular component organization | regulation of developmental growth | regulation of extent of cell growth | axon extension | positive regulation of cell projection organization"
"S100b",113,4,"cell adhesion | regulation of response to stimulus | anatomical structure morphogenesis | response to steroid hormone | animal organ development | response to endogenous stimulus | system development | positive regulation of cellular process | regulation of signal transduction | intracellular signaling cassette | anatomical structure development | regulation of cellular process | positive regulation of biological process | neurogenesis | positive regulation of signaling | cell differentiation | cellular developmental process | nervous system development | response to stress | regulation of biological process | regulation of developmental process | multicellular organism development | developmental process | tissue development | neuron differentiation | positive regulation of signal transduction | biological regulation | response to oxygen levels | generation of neurons | regulation of signaling | regulation of cell differentiation | regulation of cell communication | response to abiotic stimulus | positive regulation of response to stimulus | signaling | cellular response to oxygen levels | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | positive regulation of cell communication | regulation of neuron differentiation | signal transduction | positive regulation of cell differentiation | positive regulation of developmental process | response to hormone | positive regulation of cell population proliferation | regulation of multicellular organismal development | developmental growth involved in morphogenesis | negative regulation of developmental process | positive regulation of apoptotic process | response to stimulus | positive regulation of programmed cell death | response to lipid | intracellular signal transduction | regulation of metabolic process | regulation of biosynthetic process | response to hypoxia | plasma membrane bounded cell projection organization | positive regulation of intracellular signal transduction | regulation of cell population proliferation | neuron projection development | cell projection organization | cellular component organization | neuron projection morphogenesis | multicellular organismal process | response to decreased oxygen levels | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | cellular response to chemical stimulus | cellular component organization or biogenesis | regulation of macromolecule metabolic process | positive regulation of neuron differentiation | neuron development | regulation of intracellular signal transduction | regulation of cytokine production | regulation of gene expression | cytokine production | regulation of macromolecule biosynthetic process | cell population proliferation | striated muscle tissue development | cellular response to hypoxia | response to chemical | muscle tissue development | cellular response to stimulus | adaptive thermogenesis | cell growth | growth | developmental growth | regulation of nervous system development | developmental cell growth | astrocyte differentiation | gliogenesis | positive regulation of myelination | glial cell differentiation | positive regulation of nervous system process | cell development | cell morphogenesis | regulation of myelination | central nervous system development | regulation of nervous system process | myelination | ensheathment of neurons | axon ensheathment | neuron projection extension | skeletal muscle cell differentiation | muscle structure development | behavior | response to glucocorticoid | response to corticosteroid | negative regulation of cellular process | negative regulation of cell differentiation | negative regulation of biological process"
"Mag",107,2,"anatomical structure morphogenesis | positive regulation of developmental process | regulation of developmental process | system development | positive regulation of cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | neurogenesis | neuron projection morphogenesis | regulation of multicellular organismal process | plasma membrane bounded cell projection morphogenesis | positive regulation of myelination | cell projection morphogenesis | regulation of multicellular organismal development | nervous system development | neuron projection development | developmental process | neuron differentiation | cell growth | glial cell differentiation | generation of neurons | regulation of cell differentiation | plasma membrane bounded cell projection organization | positive regulation of neurogenesis | cell projection organization | regulation of nervous system development | neuron development | cellular component organization | positive regulation of nervous system development | positive regulation of nervous system process | cellular component organization or biogenesis | positive regulation of glial cell differentiation | gliogenesis | growth | cell development | cell morphogenesis | regulation of myelination | regulation of cell growth | regulation of neurogenesis | positive regulation of gliogenesis | positive regulation of cell development | regulation of glial cell differentiation | astrocyte differentiation | regulation of anatomical structure morphogenesis | positive regulation of multicellular organismal process | developmental growth involved in morphogenesis | positive regulation of astrocyte differentiation | developmental cell growth | regulation of cell development | cell adhesion | regulation of growth | central nervous system development | regulation of gliogenesis | regulation of nervous system process | regulation of axonogenesis | multicellular organismal process | anatomical structure formation involved in morphogenesis | regulation of astrocyte differentiation | negative regulation of cell growth | developmental growth | myelination | ensheathment of neurons | axon ensheathment | neuron projection extension | axonogenesis | negative regulation of growth | positive regulation of cellular process | regulation of neuron differentiation | regulation of neuron projection development | axon development | response to mechanical stimulus | positive regulation of biological process | cell morphogenesis involved in neuron differentiation | regulation of biological process | regulation of plasma membrane bounded cell projection organization | regulation of axon extension | cellular response to mechanical stimulus | cellular response to external stimulus | regulation of cell projection organization | biological regulation | response to abiotic stimulus | regulation of cellular component organization | regulation of developmental growth | transmission of nerve impulse | regulation of extent of cell growth | axon extension | regulation of cellular process | negative regulation of developmental process | negative regulation of cell projection organization | cell-cell adhesion via plasma-membrane adhesion molecules | negative regulation of neuron projection development | cell communication | cell-cell adhesion | negative regulation of axonogenesis | axon regeneration | neuron projection regeneration | negative regulation of neuron differentiation | response to axon injury | negative regulation of cellular process | negative regulation of cellular component organization | negative regulation of cell differentiation | negative regulation of biological process | response to external stimulus | response to stimulus | Cell adhesion molecule (CAM) interaction"
"Col3a1",94,1,"cell adhesion | collagen fibril organization | regulation of cell migration | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | regulation of cell motility | growth | tissue development | regulation of locomotion | cell differentiation | cellular developmental process | response to abiotic stimulus | locomotion | developmental growth | animal organ development | system development | nervous system development | neurogenesis | muscle tissue development | positive regulation of cell communication | positive regulation of signaling | anatomical structure morphogenesis | response to hormone | cell migration | response to endogenous stimulus | positive regulation of signal transduction | endochondral bone morphogenesis | tissue homeostasis | anatomical structure homeostasis | generation of neurons | multicellular organism development | response to stress | positive regulation of cellular process | skin development | intracellular signaling cassette | cell motility | head development | anatomical structure development | integrin-mediated signaling pathway | gliogenesis | bone morphogenesis | regulation of biological process | wound healing | positive regulation of biological process | cell surface receptor signaling pathway | cytokine production | biological regulation | Protein digestion and absorption | Cytoskeleton in muscle cells | AGE-RAGE signaling pathway in diabetic complications | Amoebiasis | Platelet activation | Relaxin signaling pathway | cellular response to growth factor stimulus | response to growth factor | blood vessel development | vasculature development | cellular response to amino acid stimulus | cellular response to acid chemical | response to amino acid | cartilage development | enzyme-linked receptor protein signaling pathway | bone development | response to acid chemical | lung development | respiratory tube development | skeletal system morphogenesis | animal organ morphogenesis | cellular response to transforming growth factor beta stimulus | respiratory system development | response to transforming growth factor beta | circulatory system development | anatomical structure formation involved in morphogenesis | connective tissue development | embryo development | cellular response to endogenous stimulus | cell-substrate adhesion | response to stimulus | response to peptide hormone | skeletal system development | response to wounding | homeostatic process | response to oxygen-containing compound | regulation of response to stimulus | blood vessel morphogenesis | heart development | tissue morphogenesis | regulation of cellular process | positive regulation of response to stimulus | chordate embryonic development | cellular response to chemical stimulus | embryo development ending in birth or egg hatching | Diabetic cardiomyopathy"
"Mbp",92,3,"cell adhesion | response to progesterone | anatomical structure morphogenesis | response to steroid hormone | response to endogenous stimulus | system development | positive regulation of cellular process | intracellular signaling cassette | anatomical structure development | regulation of cellular process | positive regulation of biological process | neurogenesis | cell differentiation | cellular developmental process | nervous system development | regulation of biological process | regulation of developmental process | multicellular organism development | developmental process | neuron differentiation | biological regulation | generation of neurons | regulation of cell differentiation | regulation of cell adhesion | signaling | cell communication | positive regulation of multicellular organismal process | regulation of multicellular organismal process | regulation of cell-cell adhesion | regulation of anatomical structure morphogenesis | cell-cell adhesion | signal transduction | response to hormone | response to ketone | regulation of multicellular organismal development | negative regulation of developmental process | response to stimulus | response to lipid | intracellular signal transduction | negative regulation of cell adhesion | regulation of metabolic process | regulation of biosynthetic process | plasma membrane bounded cell projection organization | neuron projection development | cell projection organization | positive regulation of macromolecule metabolic process | cellular component organization | neuron projection morphogenesis | multicellular organismal process | regulation of plasma membrane bounded cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | regulation of cell projection organization | cellular component organization or biogenesis | regulation of macromolecule metabolic process | MAPK cascade | neuron development | positive regulation of macromolecule biosynthetic process | regulation of cytokine production | regulation of gene expression | cytokine production | positive regulation of metabolic process | regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | response to chemical | negative regulation of neuron projection development | cellular response to stimulus | regulation of axonogenesis | negative regulation of cell-cell adhesion | sensory perception of sound | sensory perception of mechanical stimulus | positive regulation of cytokine production | regulation of nervous system development | tissue homeostasis | anatomical structure homeostasis | regulation of neurogenesis | embryo development | homeostatic process | response to oxygen-containing compound | negative regulation of cell projection organization | cell-cell adhesion via plasma-membrane adhesion molecules | cell morphogenesis | myelination | ensheathment of neurons | axon ensheathment | negative regulation of axonogenesis | regulation of neuron projection development | axon development | negative regulation of cellular process | negative regulation of cellular component organization | negative regulation of cell differentiation | negative regulation of biological process"
"Serpine2",91,2,"cell adhesion | regulation of sodium ion transport | growth | tissue development | cell differentiation | cellular developmental process | response to abiotic stimulus | animal organ development | system development | nervous system development | neurogenesis | positive regulation of cell communication | positive regulation of signaling | cell growth | seminal vesicle epithelium development | regulation of nervous system development | anatomical structure morphogenesis | regulation of multicellular organismal development | sodium ion transport | response to mechanical stimulus | generation of neurons | sensory perception of mechanical stimulus | negative regulation of cell adhesion | multicellular organism development | regulation of multicellular organismal process | response to stress | positive regulation of cellular process | intracellular signaling cassette | positive regulation of multicellular organismal process | astrocyte differentiation | regulation of smoothened signaling pathway | regulation of developmental process | head development | regulation of cell adhesion | anatomical structure development | regulation of metal ion transport | gliogenesis | regulation of biological process | wound healing | positive regulation of biological process | cell surface receptor signaling pathway | regulation of cell growth | positive regulation of developmental process | biological regulation | regulation of neurogenesis | regulation of monoatomic ion transport | cell-cell adhesion | positive regulation of cell differentiation | neuron projection development | developmental process | neuron differentiation | glial cell differentiation | regulation of cell differentiation | plasma membrane bounded cell projection organization | positive regulation of neurogenesis | cell projection organization | neuron development | cellular component organization | positive regulation of nervous system development | cellular component organization or biogenesis | positive regulation of glial cell differentiation | cell development | positive regulation of gliogenesis | positive regulation of cell development | regulation of glial cell differentiation | positive regulation of astrocyte differentiation | regulation of cell development | nerve development | regulation of growth | central nervous system development | regulation of gliogenesis | multicellular organismal process | regulation of astrocyte differentiation | negative regulation of cell growth | negative regulation of growth | regulation of neuron projection development | regulation of signal transduction | brain development | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | regulation of cellular component organization | behavior | metal ion transport | positive regulation of cell projection organization | regulation of signaling | regulation of cellular process | regulation of cell communication | gland development | monoatomic cation transport | export from cell | hindbrain development"
