"gene","n_pathways","n_comparisons","pathways"
"Col1a1",128,3,"cell adhesion | regulation of cell migration | regulation of cell motility | regulation of locomotion | locomotion | cell migration | response to endogenous stimulus | positive regulation of cellular process | cell motility | positive regulation of epithelial to mesenchymal transition | anatomical structure morphogenesis | cellular response to vitamin E | positive regulation of biological process | cellular response to growth factor stimulus | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | negative regulation of cell adhesion | collagen biosynthetic process | regulation of response to stimulus | response to growth factor | regulation of cell adhesion | response to steroid hormone | positive regulation of developmental process | positive regulation of response to stimulus | regulation of epithelial to mesenchymal transition | response to oxygen levels | cellular response to fibroblast growth factor stimulus | positive regulation of signal transduction | cellular response to chemical stimulus | response to fibroblast growth factor | positive regulation of cell differentiation | regulation of cell differentiation | enzyme-linked receptor protein signaling pathway | regulation of developmental process | collagen metabolic process | positive regulation of multicellular organismal process | epithelial to mesenchymal transition | positive regulation of cell communication | positive regulation of signaling | regulation of signal transduction | anatomical structure formation involved in morphogenesis | response to abiotic stimulus | system development | cellular response to endogenous stimulus | regulation of multicellular organismal process | blood vessel development | vasculature development | positive regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | mesenchymal cell differentiation | sensory perception of sound | positive regulation of macromolecule metabolic process | cellular response to transforming growth factor beta stimulus | circulatory system development | response to transforming growth factor beta | sensory perception of mechanical stimulus | mesenchyme development | positive regulation of metabolic process | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | response to stress | positive regulation of RNA metabolic process | positive regulation of nucleobase-containing compound metabolic process | positive regulation of cell migration | positive regulation of cell motility | tissue development | positive regulation of locomotion | cell differentiation | cellular developmental process | cell surface receptor protein tyrosine kinase signaling pathway | multicellular organism development | regulation of gene expression | regulation of macromolecule biosynthetic process | response to chemical | regulation of biosynthetic process | cell surface receptor signaling pathway | regulation of macromolecule metabolic process | response to stimulus | response to hormone | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | anatomical structure development | regulation of metabolic process | response to lipid | animal organ morphogenesis | collagen fibril organization | endochondral bone morphogenesis | bone morphogenesis | regulation of biological process | animal organ development | biological regulation | Protein digestion and absorption | Cytoskeleton in muscle cells | AGE-RAGE signaling pathway in diabetic complications | Amoebiasis | Platelet activation | Relaxin signaling pathway | Diabetic cardiomyopathy | cellular response to amino acid stimulus | cellular response to acid chemical | response to amino acid | cartilage development | bone development | response to acid chemical | skeletal system morphogenesis | connective tissue development | embryo development | skin development | cell-substrate adhesion | response to peptide hormone | skeletal system development | homeostatic process | response to oxygen-containing compound | head development | regulation of cellular process | chordate embryonic development | embryo development ending in birth or egg hatching | PI3K-Akt signaling pathway | developmental process | cellular component organization | cellular component organization or biogenesis | response to mechanical stimulus | multicellular organismal process | cellular response to mechanical stimulus | cellular response to external stimulus | system process | nervous system process"
"Fgf1",107,3,"regulation of cell migration | regulation of cell motility | regulation of locomotion | locomotion | cell migration | response to endogenous stimulus | positive regulation of cellular process | cell motility | anatomical structure morphogenesis | positive regulation of biological process | cellular response to growth factor stimulus | regulation of response to stimulus | response to growth factor | positive regulation of developmental process | regulation of anatomical structure morphogenesis | positive regulation of response to stimulus | cellular response to fibroblast growth factor stimulus | positive regulation of signal transduction | cellular response to chemical stimulus | response to fibroblast growth factor | enzyme-linked receptor protein signaling pathway | positive regulation of cell population proliferation | regulation of developmental process | intracellular signaling cassette | positive regulation of multicellular organismal process | positive regulation of catalytic activity | neurogenesis | positive regulation of cell communication | positive regulation of signaling | regulation of endothelial cell migration | regulation of signal transduction | anatomical structure formation involved in morphogenesis | response to abiotic stimulus | system development | cellular response to endogenous stimulus | regulation of multicellular organismal process | blood vessel development | vasculature development | positive regulation of macromolecule biosynthetic process | positive regulation of biosynthetic process | endothelial cell migration | positive regulation of macromolecule metabolic process | circulatory system development | muscle cell proliferation | regulation of angiogenesis | regulation of vasculature development | positive regulation of metabolic process | regulation of multicellular organismal development | regulation of epithelial cell proliferation | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | response to stress | positive regulation of RNA metabolic process | epithelial cell proliferation | positive regulation of nucleobase-containing compound metabolic process | angiogenesis | positive regulation of cell migration | positive regulation of cell motility | tissue development | positive regulation of locomotion | cell differentiation | cellular developmental process | cell surface receptor protein tyrosine kinase signaling pathway | multicellular organism development | blood vessel morphogenesis | regulation of gene expression | regulation of macromolecule biosynthetic process | response to chemical | MAPK cascade | regulation of biosynthetic process | cell surface receptor signaling pathway | regulation of macromolecule metabolic process | response to stimulus | tube morphogenesis | intracellular signal transduction | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | anatomical structure development | regulation of metabolic process | animal organ morphogenesis | muscle tissue development | growth | nervous system development | developmental growth | wound healing | cardiac muscle tissue growth | regulation of biological process | heart growth | animal organ development | striated muscle tissue development | biological regulation | lung development | respiratory tube development | respiratory system development | response to wounding | heart development | tissue morphogenesis | regulation of cellular process | PI3K-Akt signaling pathway | developmental process | developmental growth involved in morphogenesis | multicellular organismal process | regionalization | pattern specification process | gland development | liver development | hepaticobiliary system development"
"Rgcc",95,1,"cell adhesion | regulation of cell migration | regulation of cell motility | regulation of locomotion | locomotion | cell migration | response to endogenous stimulus | positive regulation of cellular process | cell motility | positive regulation of epithelial to mesenchymal transition | anatomical structure morphogenesis | negative regulation of exit from mitosis | positive regulation of biological process | cellular response to growth factor stimulus | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | negative regulation of cell adhesion | collagen biosynthetic process | regulation of response to stimulus | response to growth factor | regulation of cell adhesion | positive regulation of developmental process | regulation of anatomical structure morphogenesis | positive regulation of response to stimulus | regulation of epithelial to mesenchymal transition | response to oxygen levels | cell-cell adhesion | cellular response to chemical stimulus | positive regulation of cell differentiation | regulation of cell differentiation | enzyme-linked receptor protein signaling pathway | positive regulation of cell population proliferation | regulation of developmental process | collagen metabolic process | regulation of cell-cell adhesion | intracellular signaling cassette | positive regulation of multicellular organismal process | cellular response to hypoxia | epithelial to mesenchymal transition | regulation of endothelial cell migration | anatomical structure formation involved in morphogenesis | cellular response to decreased oxygen levels | response to abiotic stimulus | system development | cellular response to endogenous stimulus | cellular response to oxygen levels | regulation of multicellular organismal process | blood vessel development | vasculature development | positive regulation of macromolecule biosynthetic process | negative regulation of cell-cell adhesion | positive regulation of biosynthetic process | endothelial cell migration | mesenchymal cell differentiation | positive regulation of macromolecule metabolic process | cellular response to transforming growth factor beta stimulus | circulatory system development | muscle cell proliferation | response to transforming growth factor beta | regulation of angiogenesis | regulation of vasculature development | mesenchyme development | positive regulation of metabolic process | regulation of multicellular organismal development | regulation of epithelial cell proliferation | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | response to stress | positive regulation of RNA metabolic process | epithelial cell proliferation | positive regulation of nucleobase-containing compound metabolic process | positive regulation of cytokine production | angiogenesis | tissue development | cell differentiation | cellular developmental process | multicellular organism development | blood vessel morphogenesis | regulation of gene expression | regulation of macromolecule biosynthetic process | response to chemical | regulation of biosynthetic process | regulation of cytokine production | cytokine production | cell surface receptor signaling pathway | regulation of macromolecule metabolic process | response to stimulus | tube morphogenesis | intracellular signal transduction | negative regulation of developmental process | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | anatomical structure development | regulation of metabolic process"
"Col3a1",91,1,"cell adhesion | collagen fibril organization | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | muscle tissue development | regulation of cell migration | regulation of cell motility | growth | system development | regulation of locomotion | nervous system development | tissue homeostasis | anatomical structure homeostasis | endochondral bone morphogenesis | response to abiotic stimulus | locomotion | neurogenesis | positive regulation of cell communication | positive regulation of signaling | anatomical structure morphogenesis | cell differentiation | cellular developmental process | multicellular organism development | developmental growth | tissue development | gliogenesis | wound healing | bone morphogenesis | cell migration | response to endogenous stimulus | regulation of biological process | animal organ development | positive regulation of signal transduction | response to hormone | generation of neurons | biological regulation | Protein digestion and absorption | Cytoskeleton in muscle cells | AGE-RAGE signaling pathway in diabetic complications | Amoebiasis | Platelet activation | Relaxin signaling pathway | Diabetic cardiomyopathy | cell motility | cellular response to growth factor stimulus | response to growth factor | blood vessel development | response to stress | vasculature development | cellular response to amino acid stimulus | cellular response to acid chemical | response to amino acid | cartilage development | enzyme-linked receptor protein signaling pathway | bone development | response to acid chemical | lung development | respiratory tube development | skeletal system morphogenesis | animal organ morphogenesis | cellular response to transforming growth factor beta stimulus | respiratory system development | response to transforming growth factor beta | circulatory system development | anatomical structure formation involved in morphogenesis | connective tissue development | embryo development | cellular response to endogenous stimulus | skin development | cell-substrate adhesion | positive regulation of cellular process | response to stimulus | response to peptide hormone | positive regulation of biological process | skeletal system development | intracellular signaling cassette | response to wounding | homeostatic process | response to oxygen-containing compound | regulation of response to stimulus | blood vessel morphogenesis | heart development | tissue morphogenesis | head development | regulation of cellular process | positive regulation of response to stimulus | chordate embryonic development | cellular response to chemical stimulus | cytokine production | embryo development ending in birth or egg hatching"
"Mag",89,2,"anatomical structure morphogenesis | positive regulation of developmental process | positive regulation of cell differentiation | system development | regulation of developmental process | positive regulation of myelination | glial cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | regulation of multicellular organismal development | gliogenesis | positive regulation of nervous system process | positive regulation of glial cell differentiation | regulation of myelination | regulation of cell differentiation | developmental process | regulation of multicellular organismal process | cell growth | positive regulation of gliogenesis | neurogenesis | nervous system development | regulation of nervous system development | regulation of glial cell differentiation | astrocyte differentiation | cell adhesion | cellular component organization | positive regulation of astrocyte differentiation | positive regulation of neurogenesis | cellular component organization or biogenesis | growth | neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | neuron projection development | positive regulation of nervous system development | regulation of gliogenesis | neuron projection morphogenesis | cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | anatomical structure formation involved in morphogenesis | regulation of nervous system process | regulation of cell growth | cell development | positive regulation of multicellular organismal process | neuron development | negative regulation of cell growth | regulation of neurogenesis | regulation of astrocyte differentiation | myelination | ensheathment of neurons | axon ensheathment | regulation of cell development | positive regulation of cell development | negative regulation of growth | regulation of neuron differentiation | central nervous system development | response to mechanical stimulus | cell morphogenesis | developmental growth involved in morphogenesis | developmental cell growth | regulation of growth | positive regulation of cellular process | multicellular organismal process | response to abiotic stimulus | positive regulation of biological process | cellular response to mechanical stimulus | cellular response to external stimulus | developmental growth | transmission of nerve impulse | regulation of anatomical structure morphogenesis | axonogenesis | regulation of biological process | regulation of axonogenesis | system process | regulation of neuron projection development | axon development | response to wounding | biological regulation | regulation of cellular component organization | nervous system process | neuron projection extension | negative regulation of neuron differentiation | negative regulation of cell projection organization | negative regulation of cell differentiation | cell-cell adhesion via plasma-membrane adhesion molecules | Cell adhesion molecule (CAM) interaction"
"Egr2",85,1,"anatomical structure morphogenesis | positive regulation of developmental process | positive regulation of cell differentiation | system development | regulation of developmental process | positive regulation of myelination | glial cell differentiation | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | regulation of multicellular organismal development | gliogenesis | positive regulation of nervous system process | positive regulation of glial cell differentiation | regulation of myelination | regulation of cell differentiation | developmental process | regulation of multicellular organismal process | animal organ development | cranial nerve structural organization | positive regulation of gliogenesis | neurogenesis | nervous system development | regulation of nervous system development | regulation of glial cell differentiation | nerve development | cellular component organization | positive regulation of neurogenesis | cellular component organization or biogenesis | neuron differentiation | anatomical structure arrangement | generation of neurons | plasma membrane bounded cell projection organization | neuron projection development | positive regulation of nervous system development | regulation of gliogenesis | neuron projection morphogenesis | cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | anatomical structure formation involved in morphogenesis | regulation of nervous system process | cranial nerve morphogenesis | cell development | positive regulation of multicellular organismal process | neuron development | regulation of neurogenesis | striated muscle tissue development | myelination | ensheathment of neurons | axon ensheathment | muscle tissue development | regulation of cell development | positive regulation of cell development | tissue development | rhombomere formation | rhombomere structural organization | rhombomere 3 structural organization | rhombomere 3 formation | rhombomere 5 morphogenesis | rhombomere 5 structural organization | rhombomere 5 formation | central nervous system development | cranial nerve development | cell morphogenesis | positive regulation of cellular process | rhythmic behavior | multicellular organismal process | muscle structure development | positive regulation of biological process | skeletal muscle cell differentiation | head development | behavior | regionalization | pattern specification process | response to endogenous stimulus | axonogenesis | regulation of biological process | system process | axon development | biological regulation | hindbrain development | nervous system process | skeletal muscle tissue development"
"S100b",84,4,"cell adhesion | response to endogenous stimulus | positive regulation of cellular process | anatomical structure morphogenesis | positive regulation of biological process | regulation of response to stimulus | response to steroid hormone | positive regulation of developmental process | regulation of anatomical structure morphogenesis | positive regulation of response to stimulus | response to oxygen levels | positive regulation of signal transduction | cellular response to chemical stimulus | positive regulation of cell differentiation | positive regulation of neuron differentiation | regulation of cell differentiation | positive regulation of cell population proliferation | regulation of developmental process | intracellular signaling cassette | positive regulation of multicellular organismal process | cellular response to hypoxia | neurogenesis | positive regulation of cell communication | positive regulation of signaling | regulation of signal transduction | cellular response to decreased oxygen levels | response to abiotic stimulus | system development | myelination | ensheathment of neurons | axon ensheathment | cellular response to oxygen levels | regulation of multicellular organismal process | muscle tissue development | growth | nervous system development | cell differentiation | cellular developmental process | multicellular organism development | developmental growth | astrocyte differentiation | tissue development | gliogenesis | regulation of multicellular organismal development | regulation of biological process | animal organ development | striated muscle tissue development | response to hormone | generation of neurons | cell growth | biological regulation | positive regulation of myelination | glial cell differentiation | anatomical structure development | positive regulation of nervous system process | regulation of myelination | developmental process | regulation of nervous system development | cellular component organization | cellular component organization or biogenesis | neuron differentiation | plasma membrane bounded cell projection organization | neuron projection development | neuron projection morphogenesis | cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | regulation of nervous system process | cell development | neuron development | regulation of neuron differentiation | central nervous system development | cell morphogenesis | developmental growth involved in morphogenesis | developmental cell growth | multicellular organismal process | muscle structure development | skeletal muscle cell differentiation | behavior | system process | nervous system process | neuron projection extension | skeletal muscle tissue development | negative regulation of cell differentiation"
"Serpine2",84,2,"cell adhesion | regulation of sodium ion transport | growth | system development | sodium ion transport | seminal vesicle epithelium development | nervous system development | sensory perception of mechanical stimulus | negative regulation of cell adhesion | response to abiotic stimulus | neurogenesis | positive regulation of cell communication | positive regulation of signaling | anatomical structure morphogenesis | cell differentiation | cellular developmental process | regulation of cell adhesion | multicellular organism development | astrocyte differentiation | tissue development | regulation of smoothened signaling pathway | regulation of metal ion transport | gliogenesis | wound healing | regulation of multicellular organismal development | regulation of multicellular organismal process | cell-cell adhesion | regulation of biological process | animal organ development | regulation of monoatomic ion transport | generation of neurons | regulation of cell-cell adhesion | cell growth | biological regulation | positive regulation of developmental process | positive regulation of cell differentiation | regulation of developmental process | glial cell differentiation | anatomical structure development | positive regulation of glial cell differentiation | regulation of cell differentiation | developmental process | positive regulation of gliogenesis | regulation of nervous system development | regulation of glial cell differentiation | nerve development | cellular component organization | positive regulation of astrocyte differentiation | positive regulation of neurogenesis | cellular component organization or biogenesis | neuron differentiation | plasma membrane bounded cell projection organization | neuron projection development | positive regulation of nervous system development | regulation of gliogenesis | cell projection organization | regulation of cell growth | cell development | positive regulation of multicellular organismal process | neuron development | negative regulation of cell growth | regulation of neurogenesis | regulation of astrocyte differentiation | regulation of cell development | positive regulation of cell development | negative regulation of growth | central nervous system development | response to mechanical stimulus | regulation of growth | positive regulation of cellular process | multicellular organismal process | positive regulation of biological process | head development | behavior | metal ion transport | monoatomic cation transport | gland development | system process | regulation of neuron projection development | response to wounding | regulation of transport | regulation of cellular component organization | hindbrain development | nervous system process"
"Mbp",58,2,"cell adhesion | response to endogenous stimulus | positive regulation of cellular process | anatomical structure morphogenesis | positive regulation of biological process | negative regulation of cell adhesion | regulation of cell adhesion | response to steroid hormone | regulation of anatomical structure morphogenesis | cell-cell adhesion | regulation of cell differentiation | regulation of developmental process | regulation of cell-cell adhesion | intracellular signaling cassette | positive regulation of multicellular organismal process | neurogenesis | system development | myelination | ensheathment of neurons | axon ensheathment | regulation of multicellular organismal process | positive regulation of macromolecule biosynthetic process | negative regulation of cell-cell adhesion | positive regulation of biosynthetic process | sensory perception of sound | positive regulation of macromolecule metabolic process | sensory perception of mechanical stimulus | positive regulation of metabolic process | regulation of multicellular organismal development | positive regulation of cytokine production | cell differentiation | cellular developmental process | multicellular organism development | regulation of gene expression | regulation of macromolecule biosynthetic process | response to chemical | MAPK cascade | regulation of biosynthetic process | regulation of cytokine production | cytokine production | regulation of macromolecule metabolic process | response to stimulus | intracellular signal transduction | response to hormone | negative regulation of developmental process | anatomical structure development | regulation of metabolic process | response to lipid | nervous system development | tissue homeostasis | anatomical structure homeostasis | regulation of biological process | generation of neurons | biological regulation | embryo development | homeostatic process | response to oxygen-containing compound | regulation of cellular process"
"Nbl1",49,3,"regulation of cell migration | regulation of cell motility | regulation of locomotion | locomotion | cell migration | response to endogenous stimulus | positive regulation of cellular process | cell motility | anatomical structure morphogenesis | positive regulation of biological process | cellular response to growth factor stimulus | regulation of response to stimulus | response to growth factor | positive regulation of developmental process | cellular response to chemical stimulus | positive regulation of cell differentiation | positive regulation of neuron differentiation | regulation of cell differentiation | enzyme-linked receptor protein signaling pathway | regulation of developmental process | neurogenesis | regulation of signal transduction | system development | cellular response to endogenous stimulus | cell differentiation | cellular developmental process | multicellular organism development | anatomical structure development | developmental process | nervous system development | cellular component organization | cellular component organization or biogenesis | neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | neuron projection development | neuron projection morphogenesis | cell projection organization | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | cell development | neuron development | regulation of neuron differentiation | cell morphogenesis | multicellular organismal process | regionalization | pattern specification process | regulation of biological process | biological regulation"
