"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Process","GO:0016043",101,5482,10090,"10090.ENSMUSP00000000619,10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000003645,10090.ENSMUSP00000004201,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000012259,10090.ENSMUSP00000018561,10090.ENSMUSP00000018795,10090.ENSMUSP00000018851,10090.ENSMUSP00000020308,10090.ENSMUSP00000021950,10090.ENSMUSP00000022078,10090.ENSMUSP00000022369,10090.ENSMUSP00000022881,10090.ENSMUSP00000022977,10090.ENSMUSP00000024627,10090.ENSMUSP00000024880,10090.ENSMUSP00000025241,10090.ENSMUSP00000025254,10090.ENSMUSP00000025522,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028280,10090.ENSMUSP00000028341,10090.ENSMUSP00000028499,10090.ENSMUSP00000028755,10090.ENSMUSP00000028854,10090.ENSMUSP00000029719,10090.ENSMUSP00000029848,10090.ENSMUSP00000030408,10090.ENSMUSP00000031058,10090.ENSMUSP00000031224,10090.ENSMUSP00000031668,10090.ENSMUSP00000032093,10090.ENSMUSP00000032492,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000036330,10090.ENSMUSP00000038063,10090.ENSMUSP00000043597,10090.ENSMUSP00000044004,10090.ENSMUSP00000046185,10090.ENSMUSP00000047291,10090.ENSMUSP00000048234,10090.ENSMUSP00000052020,10090.ENSMUSP00000055122,10090.ENSMUSP00000055225,10090.ENSMUSP00000056080,10090.ENSMUSP00000060026,10090.ENSMUSP00000063054,10090.ENSMUSP00000064755,10090.ENSMUSP00000065571,10090.ENSMUSP00000065845,10090.ENSMUSP00000066701,10090.ENSMUSP00000066857,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000070168,10090.ENSMUSP00000071914,10090.ENSMUSP00000073124,10090.ENSMUSP00000078945,10090.ENSMUSP00000080128,10090.ENSMUSP00000084039,10090.ENSMUSP00000087118,10090.ENSMUSP00000087643,10090.ENSMUSP00000088833,10090.ENSMUSP00000091329,10090.ENSMUSP00000091429,10090.ENSMUSP00000092148,10090.ENSMUSP00000092228,10090.ENSMUSP00000096973,10090.ENSMUSP00000099162,10090.ENSMUSP00000099826,10090.ENSMUSP00000102095,10090.ENSMUSP00000102647,10090.ENSMUSP00000104342,10090.ENSMUSP00000104864,10090.ENSMUSP00000105486,10090.ENSMUSP00000105663,10090.ENSMUSP00000106188,10090.ENSMUSP00000107729,10090.ENSMUSP00000111222,10090.ENSMUSP00000114015,10090.ENSMUSP00000116259,10090.ENSMUSP00000117496,10090.ENSMUSP00000119065,10090.ENSMUSP00000119827,10090.ENSMUSP00000126515,10090.ENSMUSP00000127487,10090.ENSMUSP00000128353,10090.ENSMUSP00000129584,10090.ENSMUSP00000134263,10090.ENSMUSP00000134759,10090.ENSMUSP00000135040,10090.ENSMUSP00000136222,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000149803,10090.ENSMUSP00000158705","Clcn4,Col1a1,Lamb1,Ercc1,Col5a3,Nid1,Bmp7,Med15,Myo1b,Tada2a,Dync1h1,Ddit4,Dbn1,Rhobtb3,Vcl,Retreg1,Sqle,Chd1,Vit,Ercc3,Lims2,Pdgfrb,Vim,Nr4a2,Col5a1,Anapc2,Itgav,Ehd4,Mal,Dclk2,Col24a1,Mfsd2a,Mapre3,Tgfbr3,Col1a2,Prickle2,Cd9,Col4a1,Col4a2,Adamts20,Dhcr24,Fa2h,Lrp1,Mbp,Olfml2b,Ick,Flnb,Epb41l2,Kcna1,Gldn,Selenon,Rab33b,Phgdh,Rtkn,Cggbp1,Mpz,Slit3,Nav1,Sema5a,Gan,Mprip,Plec,Htt,Nphp4,Bicd1,Mat2a,Sema3g,Prnp,Filip1,Rnf213,Nfasc,Plekhg2,Gas2l3,Limk2,Col23a1,Mast2,Arhgef17,Pmp22,Snx18,Eml1,Ptk2,Lyst,Itga6,Yeats2,Fam107a,Srpk1,Mef2a,Srsf6,Apod,Cfap100,Tnxb,G3bp2,Bcar1,Slit2,Traf7,Tppp3,Mdn1,Fat1,Dag1,Cryab,Sptbn5",1.59e-14,2.52e-10,"Cellular component organization"
"Process","GO:0071840",102,5681,10090,"10090.ENSMUSP00000000619,10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000003645,10090.ENSMUSP00000004201,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000012259,10090.ENSMUSP00000018561,10090.ENSMUSP00000018795,10090.ENSMUSP00000018851,10090.ENSMUSP00000020308,10090.ENSMUSP00000021950,10090.ENSMUSP00000022078,10090.ENSMUSP00000022281,10090.ENSMUSP00000022369,10090.ENSMUSP00000022881,10090.ENSMUSP00000022977,10090.ENSMUSP00000024627,10090.ENSMUSP00000024880,10090.ENSMUSP00000025241,10090.ENSMUSP00000025254,10090.ENSMUSP00000025522,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028280,10090.ENSMUSP00000028341,10090.ENSMUSP00000028499,10090.ENSMUSP00000028755,10090.ENSMUSP00000028854,10090.ENSMUSP00000029719,10090.ENSMUSP00000029848,10090.ENSMUSP00000030408,10090.ENSMUSP00000031058,10090.ENSMUSP00000031224,10090.ENSMUSP00000031668,10090.ENSMUSP00000032093,10090.ENSMUSP00000032492,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000036330,10090.ENSMUSP00000038063,10090.ENSMUSP00000043597,10090.ENSMUSP00000044004,10090.ENSMUSP00000046185,10090.ENSMUSP00000047291,10090.ENSMUSP00000048234,10090.ENSMUSP00000052020,10090.ENSMUSP00000055122,10090.ENSMUSP00000055225,10090.ENSMUSP00000056080,10090.ENSMUSP00000060026,10090.ENSMUSP00000063054,10090.ENSMUSP00000064755,10090.ENSMUSP00000065571,10090.ENSMUSP00000065845,10090.ENSMUSP00000066701,10090.ENSMUSP00000066857,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000070168,10090.ENSMUSP00000071914,10090.ENSMUSP00000073124,10090.ENSMUSP00000078945,10090.ENSMUSP00000080128,10090.ENSMUSP00000084039,10090.ENSMUSP00000087118,10090.ENSMUSP00000087643,10090.ENSMUSP00000088833,10090.ENSMUSP00000091329,10090.ENSMUSP00000091429,10090.ENSMUSP00000092148,10090.ENSMUSP00000092228,10090.ENSMUSP00000096973,10090.ENSMUSP00000099162,10090.ENSMUSP00000099826,10090.ENSMUSP00000102095,10090.ENSMUSP00000102647,10090.ENSMUSP00000104342,10090.ENSMUSP00000104864,10090.ENSMUSP00000105486,10090.ENSMUSP00000105663,10090.ENSMUSP00000106188,10090.ENSMUSP00000107729,10090.ENSMUSP00000111222,10090.ENSMUSP00000114015,10090.ENSMUSP00000116259,10090.ENSMUSP00000117496,10090.ENSMUSP00000119065,10090.ENSMUSP00000119827,10090.ENSMUSP00000126515,10090.ENSMUSP00000127487,10090.ENSMUSP00000128353,10090.ENSMUSP00000129584,10090.ENSMUSP00000134263,10090.ENSMUSP00000134759,10090.ENSMUSP00000135040,10090.ENSMUSP00000136222,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000149803,10090.ENSMUSP00000158705","Clcn4,Col1a1,Lamb1,Ercc1,Col5a3,Nid1,Bmp7,Med15,Myo1b,Tada2a,Dync1h1,Ddit4,Dbn1,Rhobtb3,Mtrex,Vcl,Retreg1,Sqle,Chd1,Vit,Ercc3,Lims2,Pdgfrb,Vim,Nr4a2,Col5a1,Anapc2,Itgav,Ehd4,Mal,Dclk2,Col24a1,Mfsd2a,Mapre3,Tgfbr3,Col1a2,Prickle2,Cd9,Col4a1,Col4a2,Adamts20,Dhcr24,Fa2h,Lrp1,Mbp,Olfml2b,Ick,Flnb,Epb41l2,Kcna1,Gldn,Selenon,Rab33b,Phgdh,Rtkn,Cggbp1,Mpz,Slit3,Nav1,Sema5a,Gan,Mprip,Plec,Htt,Nphp4,Bicd1,Mat2a,Sema3g,Prnp,Filip1,Rnf213,Nfasc,Plekhg2,Gas2l3,Limk2,Col23a1,Mast2,Arhgef17,Pmp22,Snx18,Eml1,Ptk2,Lyst,Itga6,Yeats2,Fam107a,Srpk1,Mef2a,Srsf6,Apod,Cfap100,Tnxb,G3bp2,Bcar1,Slit2,Traf7,Tppp3,Mdn1,Fat1,Dag1,Cryab,Sptbn5",5.9e-14,4.67e-10,"Cellular component organization or biogenesis"
"Process","GO:0048731",82,4105,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002360,10090.ENSMUSP00000002979,10090.ENSMUSP00000003645,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000018737,10090.ENSMUSP00000019231,10090.ENSMUSP00000020308,10090.ENSMUSP00000021822,10090.ENSMUSP00000021950,10090.ENSMUSP00000022078,10090.ENSMUSP00000022369,10090.ENSMUSP00000024880,10090.ENSMUSP00000025241,10090.ENSMUSP00000025522,10090.ENSMUSP00000025618,10090.ENSMUSP00000027830,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028280,10090.ENSMUSP00000028341,10090.ENSMUSP00000028499,10090.ENSMUSP00000028854,10090.ENSMUSP00000029719,10090.ENSMUSP00000029848,10090.ENSMUSP00000030408,10090.ENSMUSP00000031224,10090.ENSMUSP00000031445,10090.ENSMUSP00000031668,10090.ENSMUSP00000032093,10090.ENSMUSP00000032322,10090.ENSMUSP00000032492,10090.ENSMUSP00000033036,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000034227,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000043597,10090.ENSMUSP00000044004,10090.ENSMUSP00000046185,10090.ENSMUSP00000052872,10090.ENSMUSP00000055178,10090.ENSMUSP00000055225,10090.ENSMUSP00000056080,10090.ENSMUSP00000060026,10090.ENSMUSP00000063054,10090.ENSMUSP00000064755,10090.ENSMUSP00000066701,10090.ENSMUSP00000066857,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000073124,10090.ENSMUSP00000078741,10090.ENSMUSP00000078945,10090.ENSMUSP00000080128,10090.ENSMUSP00000081946,10090.ENSMUSP00000084043,10090.ENSMUSP00000087643,10090.ENSMUSP00000088089,10090.ENSMUSP00000091429,10090.ENSMUSP00000092148,10090.ENSMUSP00000095223,10090.ENSMUSP00000096712,10090.ENSMUSP00000099162,10090.ENSMUSP00000104342,10090.ENSMUSP00000105486,10090.ENSMUSP00000105663,10090.ENSMUSP00000114843,10090.ENSMUSP00000117496,10090.ENSMUSP00000119729,10090.ENSMUSP00000119827,10090.ENSMUSP00000120967,10090.ENSMUSP00000134263,10090.ENSMUSP00000135040,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000143677,10090.ENSMUSP00000149803,10090.ENSMUSP00000151227,10090.ENSMUSP00000155225","Col1a1,Angptl4,Lamb1,Ercc1,Nid1,Bmp7,Sparc,Atp6ap1,Ddit4,Ogn,Dbn1,Rhobtb3,Vcl,Vit,Ercc3,Pdgfrb,Pcsk5,Slamf9,Vim,Nr4a2,Col5a1,Anapc2,Itgav,Mal,Dclk2,Col24a1,Mfsd2a,Tgfbr3,Aacs,Col1a2,Prickle2,Lrp6,Cd9,Dkk3,Col4a1,Col4a2,Pllp,Ldlr,Dhcr24,Fa2h,Lrp1,Mbp,Fasn,Vstm4,Kcna1,Gldn,Selenon,Rab33b,Phgdh,Mpz,Slit3,Nav1,Sema5a,Plec,Notch2,Htt,Nphp4,Ubp1,Spp1,Sema3g,Cttnbp2,Rnf213,Nfasc,Ecscr,Itga7,Limk2,Pmp22,Eml1,Ptk2,Syvn1,Mef2a,Sox13,Apod,Ucp2,Slit2,Tppp3,Fat1,Dag1,Camk2d,Cryab,Arid5b,Nr4a1",4.51e-13,2.38e-09,"System development"
"Process","GO:0007275",86,4513,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002360,10090.ENSMUSP00000002979,10090.ENSMUSP00000003645,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000018737,10090.ENSMUSP00000019231,10090.ENSMUSP00000020308,10090.ENSMUSP00000021822,10090.ENSMUSP00000021950,10090.ENSMUSP00000022078,10090.ENSMUSP00000022369,10090.ENSMUSP00000024880,10090.ENSMUSP00000025241,10090.ENSMUSP00000025522,10090.ENSMUSP00000025618,10090.ENSMUSP00000027830,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028280,10090.ENSMUSP00000028341,10090.ENSMUSP00000028499,10090.ENSMUSP00000028854,10090.ENSMUSP00000029719,10090.ENSMUSP00000029848,10090.ENSMUSP00000030408,10090.ENSMUSP00000031224,10090.ENSMUSP00000031445,10090.ENSMUSP00000031668,10090.ENSMUSP00000032093,10090.ENSMUSP00000032322,10090.ENSMUSP00000032492,10090.ENSMUSP00000033036,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000034227,10090.ENSMUSP00000034713,10090.ENSMUSP00000038063,10090.ENSMUSP00000040230,10090.ENSMUSP00000043597,10090.ENSMUSP00000044004,10090.ENSMUSP00000046185,10090.ENSMUSP00000052872,10090.ENSMUSP00000055178,10090.ENSMUSP00000055225,10090.ENSMUSP00000056080,10090.ENSMUSP00000060026,10090.ENSMUSP00000063054,10090.ENSMUSP00000064755,10090.ENSMUSP00000066701,10090.ENSMUSP00000066857,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000070560,10090.ENSMUSP00000073124,10090.ENSMUSP00000078741,10090.ENSMUSP00000078945,10090.ENSMUSP00000080128,10090.ENSMUSP00000081946,10090.ENSMUSP00000084043,10090.ENSMUSP00000087643,10090.ENSMUSP00000088089,10090.ENSMUSP00000091429,10090.ENSMUSP00000092148,10090.ENSMUSP00000095223,10090.ENSMUSP00000096712,10090.ENSMUSP00000099162,10090.ENSMUSP00000100902,10090.ENSMUSP00000104342,10090.ENSMUSP00000105486,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000114843,10090.ENSMUSP00000117496,10090.ENSMUSP00000119729,10090.ENSMUSP00000119827,10090.ENSMUSP00000120967,10090.ENSMUSP00000134263,10090.ENSMUSP00000135040,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000143677,10090.ENSMUSP00000149803,10090.ENSMUSP00000151227,10090.ENSMUSP00000155225","Col1a1,Angptl4,Lamb1,Ercc1,Nid1,Bmp7,Sparc,Atp6ap1,Ddit4,Ogn,Dbn1,Rhobtb3,Vcl,Vit,Ercc3,Pdgfrb,Pcsk5,Slamf9,Vim,Nr4a2,Col5a1,Anapc2,Itgav,Mal,Dclk2,Col24a1,Mfsd2a,Tgfbr3,Aacs,Col1a2,Prickle2,Lrp6,Cd9,Dkk3,Col4a1,Col4a2,Pllp,Ldlr,Dhcr24,Sostdc1,Fa2h,Lrp1,Mbp,Fasn,Vstm4,Kcna1,Gldn,Selenon,Rab33b,Phgdh,Mpz,Slit3,Nav1,Sema5a,Tll1,Plec,Notch2,Htt,Nphp4,Ubp1,Spp1,Sema3g,Cttnbp2,Rnf213,Nfasc,Ecscr,Itga7,Limk2,Cnot2,Pmp22,Eml1,Ptk2,Itga6,Syvn1,Mef2a,Sox13,Apod,Ucp2,Slit2,Tppp3,Fat1,Dag1,Camk2d,Cryab,Arid5b,Nr4a1",1.14e-12,4.52e-09,"Multicellular organism development"
"Process","GO:0009719",41,1478,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000009143,10090.ENSMUSP00000020234,10090.ENSMUSP00000020308,10090.ENSMUSP00000021950,10090.ENSMUSP00000023203,10090.ENSMUSP00000025522,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000031224,10090.ENSMUSP00000031668,10090.ENSMUSP00000032322,10090.ENSMUSP00000032492,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000034713,10090.ENSMUSP00000037055,10090.ENSMUSP00000038063,10090.ENSMUSP00000039657,10090.ENSMUSP00000040230,10090.ENSMUSP00000044004,10090.ENSMUSP00000046185,10090.ENSMUSP00000055747,10090.ENSMUSP00000060026,10090.ENSMUSP00000066857,10090.ENSMUSP00000078741,10090.ENSMUSP00000078945,10090.ENSMUSP00000084043,10090.ENSMUSP00000087118,10090.ENSMUSP00000088833,10090.ENSMUSP00000097908,10090.ENSMUSP00000105663,10090.ENSMUSP00000114015,10090.ENSMUSP00000119065,10090.ENSMUSP00000120967,10090.ENSMUSP00000125857,10090.ENSMUSP00000129584,10090.ENSMUSP00000134263,10090.ENSMUSP00000142109,10090.ENSMUSP00000153064,10090.ENSMUSP00000155225","Col1a1,Bmp7,Timp3,Ddit4,Dbn1,Gpt,Pdgfrb,Vim,Nr4a2,Tgfbr3,Col1a2,Lrp6,Cd9,Col4a1,Col4a2,Ldlr,Trim41,Dhcr24,Atp1a1,Sostdc1,Lrp1,Mbp,Nod1,Selenon,Slit3,Notch2,Htt,Spp1,Mat2a,Prnp,Nsmf,Ptk2,Fam107a,Srsf6,Ucp2,Cpeb2,Bcar1,Slit2,Dag1,Hmgcs1,Nr4a1",2.36e-10,7.47e-07,"Response to endogenous stimulus"
"Process","GO:0001568",24,568,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002360,10090.ENSMUSP00000025522,10090.ENSMUSP00000025618,10090.ENSMUSP00000028280,10090.ENSMUSP00000028499,10090.ENSMUSP00000029848,10090.ENSMUSP00000031224,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000034713,10090.ENSMUSP00000044004,10090.ENSMUSP00000055178,10090.ENSMUSP00000069024,10090.ENSMUSP00000078741,10090.ENSMUSP00000081946,10090.ENSMUSP00000091429,10090.ENSMUSP00000095223,10090.ENSMUSP00000096712,10090.ENSMUSP00000105663,10090.ENSMUSP00000134263,10090.ENSMUSP00000142109,10090.ENSMUSP00000155225","Col1a1,Angptl4,Pdgfrb,Pcsk5,Col5a1,Itgav,Col24a1,Tgfbr3,Col1a2,Col4a1,Col4a2,Ldlr,Lrp1,Vstm4,Sema5a,Notch2,Ubp1,Rnf213,Ecscr,Itga7,Ptk2,Slit2,Dag1,Nr4a1",9.77e-10,2.29e-06,"Blood vessel development"
"Process","GO:0030198",17,281,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000004201,10090.ENSMUSP00000005532,10090.ENSMUSP00000024880,10090.ENSMUSP00000028280,10090.ENSMUSP00000029848,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000036330,10090.ENSMUSP00000047291,10090.ENSMUSP00000099826,10090.ENSMUSP00000104342,10090.ENSMUSP00000105663,10090.ENSMUSP00000127487,10090.ENSMUSP00000142109","Col1a1,Lamb1,Col5a3,Nid1,Vit,Col5a1,Col24a1,Col1a2,Col4a1,Col4a2,Adamts20,Olfml2b,Col23a1,Pmp22,Ptk2,Tnxb,Dag1",2.12e-09,2.29e-06,"Extracellular matrix organization"
"Process","GO:0032502",96,6028,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002275,10090.ENSMUSP00000002360,10090.ENSMUSP00000002979,10090.ENSMUSP00000003645,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000012259,10090.ENSMUSP00000018737,10090.ENSMUSP00000019231,10090.ENSMUSP00000020308,10090.ENSMUSP00000021822,10090.ENSMUSP00000021950,10090.ENSMUSP00000022078,10090.ENSMUSP00000022369,10090.ENSMUSP00000022881,10090.ENSMUSP00000024880,10090.ENSMUSP00000025241,10090.ENSMUSP00000025522,10090.ENSMUSP00000025618,10090.ENSMUSP00000027830,10090.ENSMUSP00000028062,10090.ENSMUSP00000028166,10090.ENSMUSP00000028280,10090.ENSMUSP00000028341,10090.ENSMUSP00000028499,10090.ENSMUSP00000028854,10090.ENSMUSP00000029719,10090.ENSMUSP00000029848,10090.ENSMUSP00000030110,10090.ENSMUSP00000030408,10090.ENSMUSP00000031224,10090.ENSMUSP00000031445,10090.ENSMUSP00000031668,10090.ENSMUSP00000032093,10090.ENSMUSP00000032322,10090.ENSMUSP00000032492,10090.ENSMUSP00000033036,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000034227,10090.ENSMUSP00000034713,10090.ENSMUSP00000036330,10090.ENSMUSP00000038063,10090.ENSMUSP00000040230,10090.ENSMUSP00000042271,10090.ENSMUSP00000043597,10090.ENSMUSP00000044004,10090.ENSMUSP00000046185,10090.ENSMUSP00000047119,10090.ENSMUSP00000052020,10090.ENSMUSP00000052872,10090.ENSMUSP00000055178,10090.ENSMUSP00000055225,10090.ENSMUSP00000056080,10090.ENSMUSP00000060026,10090.ENSMUSP00000063054,10090.ENSMUSP00000064755,10090.ENSMUSP00000066701,10090.ENSMUSP00000066857,10090.ENSMUSP00000067241,10090.ENSMUSP00000069024,10090.ENSMUSP00000070560,10090.ENSMUSP00000073124,10090.ENSMUSP00000078741,10090.ENSMUSP00000078945,10090.ENSMUSP00000080128,10090.ENSMUSP00000081946,10090.ENSMUSP00000084043,10090.ENSMUSP00000087643,10090.ENSMUSP00000088089,10090.ENSMUSP00000091429,10090.ENSMUSP00000092148,10090.ENSMUSP00000095223,10090.ENSMUSP00000096712,10090.ENSMUSP00000099162,10090.ENSMUSP00000100902,10090.ENSMUSP00000102095,10090.ENSMUSP00000104342,10090.ENSMUSP00000105486,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000114843,10090.ENSMUSP00000116259,10090.ENSMUSP00000117496,10090.ENSMUSP00000119729,10090.ENSMUSP00000119827,10090.ENSMUSP00000120967,10090.ENSMUSP00000134263,10090.ENSMUSP00000135040,10090.ENSMUSP00000140596,10090.ENSMUSP00000142109,10090.ENSMUSP00000143677,10090.ENSMUSP00000149803,10090.ENSMUSP00000151227,10090.ENSMUSP00000155225","Col1a1,Vrk3,Angptl4,Lamb1,Ercc1,Nid1,Bmp7,Med15,Sparc,Atp6ap1,Ddit4,Ogn,Dbn1,Rhobtb3,Vcl,Retreg1,Vit,Ercc3,Pdgfrb,Pcsk5,Slamf9,Vim,Nr4a2,Col5a1,Anapc2,Itgav,Mal,Dclk2,Col24a1,Zdhhc21,Mfsd2a,Tgfbr3,Aacs,Col1a2,Prickle2,Lrp6,Cd9,Dkk3,Col4a1,Col4a2,Pllp,Ldlr,Adamts20,Dhcr24,Sostdc1,Spag9,Fa2h,Lrp1,Mbp,Gnl3,Flnb,Fasn,Vstm4,Kcna1,Gldn,Selenon,Rab33b,Phgdh,Mpz,Slit3,Nav1,Sema5a,Tll1,Plec,Notch2,Htt,Nphp4,Ubp1,Spp1,Sema3g,Cttnbp2,Rnf213,Nfasc,Ecscr,Itga7,Limk2,Cnot2,Mast2,Pmp22,Eml1,Ptk2,Itga6,Syvn1,Srpk1,Mef2a,Sox13,Apod,Ucp2,Slit2,Tppp3,Fat1,Dag1,Camk2d,Cryab,Arid5b,Nr4a1",8.66e-10,2.29e-06,"Developmental process"
"Process","GO:0042981",42,1652,10090,"10090.ENSMUSP00000002360,10090.ENSMUSP00000009143,10090.ENSMUSP00000009435,10090.ENSMUSP00000020234,10090.ENSMUSP00000022176,10090.ENSMUSP00000022881,10090.ENSMUSP00000025241,10090.ENSMUSP00000025254,10090.ENSMUSP00000025522,10090.ENSMUSP00000026142,10090.ENSMUSP00000028166,10090.ENSMUSP00000028499,10090.ENSMUSP00000028854,10090.ENSMUSP00000029910,10090.ENSMUSP00000031224,10090.ENSMUSP00000032322,10090.ENSMUSP00000036330,10090.ENSMUSP00000038063,10090.ENSMUSP00000044004,10090.ENSMUSP00000055747,10090.ENSMUSP00000065571,10090.ENSMUSP00000066701,10090.ENSMUSP00000069024,10090.ENSMUSP00000078741,10090.ENSMUSP00000078945,10090.ENSMUSP00000082091,10090.ENSMUSP00000084043,10090.ENSMUSP00000088833,10090.ENSMUSP00000095223,10090.ENSMUSP00000097908,10090.ENSMUSP00000104342,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000109635,10090.ENSMUSP00000114843,10090.ENSMUSP00000119065,10090.ENSMUSP00000120967,10090.ENSMUSP00000134263,10090.ENSMUSP00000134759,10090.ENSMUSP00000143677,10090.ENSMUSP00000149803,10090.ENSMUSP00000155225","Angptl4,Bmp7,Pttg1ip,Timp3,Hmgcr,Retreg1,Ercc3,Lims2,Pdgfrb,Maged1,Nr4a2,Itgav,Mal,Nsmaf,Tgfbr3,Lrp6,Adamts20,Dhcr24,Lrp1,Nod1,Rtkn,Mpz,Sema5a,Notch2,Htt,Ip6k2,Spp1,Prnp,Ecscr,Nsmf,Pmp22,Ptk2,Itga6,Itsn1,Syvn1,Srsf6,Ucp2,Slit2,Traf7,Camk2d,Cryab,Nr4a1",1.78e-09,2.29e-06,"Regulation of apoptotic process"
"Process","GO:0043067",43,1683,10090,"10090.ENSMUSP00000002360,10090.ENSMUSP00000009143,10090.ENSMUSP00000009435,10090.ENSMUSP00000020234,10090.ENSMUSP00000022176,10090.ENSMUSP00000022881,10090.ENSMUSP00000025241,10090.ENSMUSP00000025254,10090.ENSMUSP00000025522,10090.ENSMUSP00000026142,10090.ENSMUSP00000028166,10090.ENSMUSP00000028499,10090.ENSMUSP00000028854,10090.ENSMUSP00000028938,10090.ENSMUSP00000029910,10090.ENSMUSP00000031224,10090.ENSMUSP00000032322,10090.ENSMUSP00000036330,10090.ENSMUSP00000038063,10090.ENSMUSP00000044004,10090.ENSMUSP00000055747,10090.ENSMUSP00000065571,10090.ENSMUSP00000066701,10090.ENSMUSP00000069024,10090.ENSMUSP00000078741,10090.ENSMUSP00000078945,10090.ENSMUSP00000082091,10090.ENSMUSP00000084043,10090.ENSMUSP00000088833,10090.ENSMUSP00000095223,10090.ENSMUSP00000097908,10090.ENSMUSP00000104342,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000109635,10090.ENSMUSP00000114843,10090.ENSMUSP00000119065,10090.ENSMUSP00000120967,10090.ENSMUSP00000134263,10090.ENSMUSP00000134759,10090.ENSMUSP00000143677,10090.ENSMUSP00000149803,10090.ENSMUSP00000155225","Angptl4,Bmp7,Pttg1ip,Timp3,Hmgcr,Retreg1,Ercc3,Lims2,Pdgfrb,Maged1,Nr4a2,Itgav,Mal,Cst3,Nsmaf,Tgfbr3,Lrp6,Adamts20,Dhcr24,Lrp1,Nod1,Rtkn,Mpz,Sema5a,Notch2,Htt,Ip6k2,Spp1,Prnp,Ecscr,Nsmf,Pmp22,Ptk2,Itga6,Itsn1,Syvn1,Srsf6,Ucp2,Slit2,Traf7,Camk2d,Cryab,Nr4a1",9.42e-10,2.29e-06,"Regulation of programmed cell death"
