"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1"
"04976","Bile secretion",71,4,0.0563380281690141,15.5046948356808,7.42012827449525,0.000110743651091367,0.00719833732093883,"Atp1a1,Atp1b3,Hmgcr,Ldlr","04976","Bile secretion","Digestive system","Organismal Systems"
"04960","Aldosterone-regulated sodium reabsorption",44,3,0.0681818181818182,18.7642045454545,7.13921222564587,0.000506365867913656,0.0164568907071938,"Atp1a1,Atp1b3,Sgk1","04960","Aldosterone-regulated sodium reabsorption","Excretory system","Organismal Systems"
"05145","Toxoplasmosis",127,4,0.031496062992126,8.66797900262467,5.26896739800647,0.00102795404148679,0.0222723375655472,"Hspa8,Ifngr1,Ldlr,Nfkbia","05145","Toxoplasmosis","Infectious disease: parasitic","Human Diseases"
"04964","Proximal tubule bicarbonate reclamation",20,2,0.1,27.5208333333333,7.17277953161742,0.00231022439149241,0.0290585150401608,"Atp1a1,Atp1b3","04964","Proximal tubule bicarbonate reclamation","Excretory system","Organismal Systems"
"04970","Salivary secretion",77,3,0.038961038961039,10.7224025974026,5.18193663832091,0.00258530569266913,0.0290585150401608,"Atp1a1,Atp1b3,Slc12a2","04970","Salivary secretion","Digestive system","Organismal Systems"
"04974","Protein digestion and absorption",78,3,0.0384615384615385,10.5849358974359,5.14212838358548,0.00268232446524561,0.0290585150401608,"Atp1a1,Atp1b3,Col1a1","04974","Protein digestion and absorption","Digestive system","Organismal Systems"
"05215","Prostate cancer",89,3,0.0337078651685393,9.27668539325843,4.74705343883577,0.00390062800474703,0.0362201171869367,"Cdkn1a,Nfkbia,Tgfa","05215","Prostate cancer","Cancer: specific types","Human Diseases"
"04972","Pancreatic secretion",104,3,0.0288461538461538,7.93870192307692,4.306932105427,0.00603558792414576,0.0490391518836843,"Atp1a1,Atp1b3,Slc12a2","04972","Pancreatic secretion","Digestive system","Organismal Systems"
"04973","Carbohydrate digestion and absorption",39,2,0.0512820512820513,14.1132478632479,4.95969925076189,0.00863879647364277,0.0623913078651978,"Atp1a1,Atp1b3","04973","Carbohydrate digestion and absorption","Digestive system","Organismal Systems"
"05160","Hepatitis C",137,3,0.0218978102189781,6.0264598540146,3.59005170892323,0.0128469817648245,0.0835053814713591,"Cdkn1a,Ldlr,Nfkbia","05160","Hepatitis C","Infectious disease: viral","Human Diseases"
"05140","Leishmaniasis",64,2,0.03125,8.60026041666667,3.68943270673474,0.0222425527274881,0.123182567736428,"Ifngr1,Nfkbia","05140","Leishmaniasis","Infectious disease: parasitic","Human Diseases"
"05214","Glioma",65,2,0.0307692307692308,8.46794871794872,3.65369540423049,0.0228982364612996,0.123182567736428,"Cdkn1a,Tgfa","05214","Glioma","Cancer: specific types","Human Diseases"
"04920","Adipocytokine signaling pathway",68,2,0.0294117647058824,8.09436274509804,3.55092755821386,0.0249130710689261,0.123182567736428,"Nfkbia,Prkcq","04920","Adipocytokine signaling pathway","Endocrine system","Organismal Systems"
"04971","Gastric acid secretion",73,2,0.0273972602739726,7.53995433789954,3.39294067277714,0.0284267464007142,0.123182567736428,"Atp1a1,Atp1b3","04971","Gastric acid secretion","Digestive system","Organismal Systems"
"05220","Chronic myeloid leukemia",73,2,0.0273972602739726,7.53995433789954,3.39294067277714,0.0284267464007142,0.123182567736428,"Cdkn1a,Nfkbia","05220","Chronic myeloid leukemia","Cancer: specific types","Human Diseases"
"04260","Cardiac muscle contraction",77,2,0.025974025974026,7.1482683982684,3.27696132268059,0.0313734214826353,0.127454524773206,"Atp1a1,Atp1b3","04260","Cardiac muscle contraction","Circulatory system","Organismal Systems"
"04512","ECM-receptor interaction",86,2,0.0232558139534884,6.40019379844961,3.04390636391818,0.0384240651762913,0.141707546447583,"Col1a1,Sdc4","04512","ECM-receptor interaction","Signaling molecules and interaction","Environmental Information Processing"
"04012","ErbB signaling pathway",87,2,0.0229885057471264,6.32662835249042,3.02007725395513,0.0392420897854845,0.141707546447583,"Cdkn1a,Tgfa","04012","ErbB signaling pathway","Signal transduction","Environmental Information Processing"
"00900","Terpenoid backbone biosynthesis",14,1,0.0714285714285714,19.6577380952381,4.21998164730226,0.0497341696673561,0.164021122662659,"Hmgcr","00900","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides","Metabolism"
