"Term","padj","comparison","cell_type","gene_set","enrich_type","neg_log10_padj"
"response to progesterone",0.00673494278236689,"HFDvsSD","majorSC","Overlap_MS","richR_GO",2.17166608953385
"cell-cell adhesion via plasma-membrane adhesion molecules",0.0364815165794576,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.43792711583706
"response to ketone",0.0364815165794576,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.43792711583706
"response to steroid hormone",0.0364815165794576,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.43792711583706
"cell adhesion",0.0364815165794576,"HFDvsSD","majorSC","Overlap_MS","richR_GO",1.43792711583706
"positive regulation of myelination",0.00493479344844206,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.30673102051798
"positive regulation of nervous system process",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"positive regulation of glial cell differentiation",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"regulation of myelination",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"positive regulation of gliogenesis",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"regulation of glial cell differentiation",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"cellular response to mechanical stimulus",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"cellular response to external stimulus",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere formation",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere structural organization",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere 3 structural organization",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere 3 formation",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere 5 morphogenesis",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere 5 structural organization",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"rhombomere 5 formation",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"cellular response to vitamin E",0.00525893898173403,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.27910186817683
"regulation of gliogenesis",0.00827597487979647,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.08218083622553
"regulation of nervous system process",0.00916524073245924,"EXvsHFD","mySC","Overlap_MS","richR_GO",2.0378561234562
"myelination",0.0102552168943463,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.98905515001803
"positive regulation of cell differentiation",0.0102552168943463,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.98905515001803
"ensheathment of neurons",0.0102552168943463,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.98905515001803
"axon ensheathment",0.0102552168943463,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.98905515001803
"anatomical structure morphogenesis",0.0117058913677427,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.93159551051475
"response to mechanical stimulus",0.0130978323683494,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.88280057215784
