"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"positive regulation of cell differentiation",2,"majorSC, mySC",3.01742696030955,4.04579877060107,"Partially shared"
"positive regulation of glial cell differentiation",2,"majorSC, mySC",2.79669366701415,3.31428546585146,"Partially shared"
"anatomical structure morphogenesis",2,"majorSC, mySC",2.7453414132764,3.55908731603806,"Partially shared"
"positive regulation of gliogenesis",2,"majorSC, mySC",2.64493117726417,3.01076048635151,"Partially shared"
"regulation of glial cell differentiation",2,"majorSC, mySC",2.64493117726417,3.01076048635151,"Partially shared"
"positive regulation of developmental process",2,"majorSC, mySC",2.51957855903016,3.31428546585146,"Partially shared"
"positive regulation of myelination",2,"majorSC, mySC",2.49963888786433,2.69254675521068,"Partially shared"
"regulation of gliogenesis",2,"majorSC, mySC",2.43563277210104,2.78908470797655,"Partially shared"
"positive regulation of neurogenesis",2,"majorSC, mySC",2.40817858181764,3.01076048635151,"Partially shared"
"regulation of cell differentiation",2,"majorSC, mySC",2.37292256026382,3.09761873455259,"Partially shared"
"positive regulation of nervous system development",2,"majorSC, mySC",2.33130018262507,2.93772871304128,"Partially shared"
"system development",2,"majorSC, mySC",2.29462505461869,2.98070300805412,"Partially shared"
"positive regulation of nervous system process",2,"majorSC, mySC",2.28637164375331,2.29364141932979,"Partially shared"
"cellular response to vitamin E",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"regulation of myelination",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"rhombomere 3 formation",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"rhombomere 3 structural organization",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"rhombomere 5 formation",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"rhombomere 5 morphogenesis",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"rhombomere 5 structural organization",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
"rhombomere formation",2,"majorSC, mySC",2.2572522543346,2.27910186817683,"Partially shared"
