"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","8/42","323/25730",0.0247678018575851,15.1732271856111,10.3648797604636,4.60563327301149e-08,1.87885582713685e-05,1.33883200598756e-05,"Vit/Col5a1/Lamb1/Sema5a/Col1a2/Dag1/Col4a1/Col5a3",8
"GO:0045229","external encapsulating structure organization","8/42","324/25730",0.0246913580246914,15.1263962375073,10.3468152482075,4.71664862234187e-08,1.87885582713685e-05,1.33883200598756e-05,"Vit/Col5a1/Lamb1/Sema5a/Col1a2/Dag1/Col4a1/Col5a3",8
"GO:0043062","extracellular structure organization","8/42","325/25730",0.0246153846153846,15.0798534798535,10.3288309310448,4.82996356590449e-08,1.87885582713685e-05,1.33883200598756e-05,"Vit/Col5a1/Lamb1/Sema5a/Col1a2/Dag1/Col4a1/Col5a3",8
"GO:0031589","cell-substrate adhesion","7/42","383/25730",0.0182767624020888,11.1966927763272,8.12954784365896,2.64032849249565e-06,0.000770315837685605,0.000548910397124095,"Vit/Lamb1/Dbn1/Dag1/Col5a3/Itga6/Apod",7
"GO:0007411","axon guidance","6/42","264/25730",0.0227272727272727,13.9231601731602,8.53416972230089,4.24197904354276e-06,0.000843163688045971,0.000600820198941341,"Lamb1/Sema5a/Sema3g/Dag1/Slit2/Nfasc",6
"GO:0097485","neuron projection guidance","6/42","265/25730",0.0226415094339623,13.8706199460916,8.51572278791766,4.33503181514638e-06,0.000843163688045971,0.000600820198941341,"Lamb1/Sema5a/Sema3g/Dag1/Slit2/Nfasc",6
"GO:0050770","regulation of axonogenesis","5/42","176/25730",0.0284090909090909,17.4039502164502,8.8297068220149,9.80284836205019e-06,0.00163427486264465,0.00116454890316085,"Sema5a/Dbn1/Sema3g/Vim/Slit2",5
"GO:0050767","regulation of neurogenesis","7/42","483/25730",0.0144927536231884,8.87853692201518,7.06781547298233,1.20177033706437e-05,0.00175308247919264,0.00124920863984322,"Sema5a/Dbn1/Sema3g/Dag1/Vim/Mapre3/Slit2",7
"GO:1990138","neuron projection extension","5/42","207/25730",0.0241545893719807,14.797561536692,8.05921245290433,2.14415167320989e-05,0.00278025000292883,0.00198114599045125,"Sema5a/Dbn1/Sema3g/Spag9/Slit2",5
"GO:0030516","regulation of axon extension","4/42","103/25730",0.0388349514563107,23.791030975497,9.37140380633474,2.41131718613339e-05,0.00281400715621767,0.00200520060741619,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0030517","negative regulation of axon extension","3/42","38/25730",0.0789473684210526,48.3646616541353,11.8145785299911,3.27855612975033e-05,0.00347825000310785,0.00247852568660551,"Sema5a/Sema3g/Slit2",3
"GO:0051962","positive regulation of nervous system development","6/42","392/25730",0.0153061224489796,9.3768221574344,6.75782771072573,3.97124504519456e-05,0.0034784133471848,0.00247864208206015,"Sema5a/Dbn1/Dag1/Vim/Mapre3/Slit2",6
"GO:0048640","negative regulation of developmental growth","4/42","119/25730",0.0336134453781513,20.5922368947579,8.66194034372667,4.24979547529299e-05,0.0034784133471848,0.00247864208206015,"Sema5a/Sema3g/Spag9/Slit2",4
"GO:0061387","regulation of extent of cell growth","4/42","120/25730",0.0333333333333333,20.4206349206349,8.62224204801691,4.39115580585465e-05,0.0034784133471848,0.00247864208206015,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0010810","regulation of cell-substrate adhesion","5/42","242/25730",0.0206611570247934,12.6574183392365,7.36738114108028,4.52205685548469e-05,0.0034784133471848,0.00247864208206015,"Vit/Dbn1/Dag1/Itga6/Apod",5
"GO:0071711","basement membrane organization","3/42","43/25730",0.0697674418604651,42.7408637873754,11.076687909982,4.76903286674865e-05,0.0034784133471848,0.00247864208206015,"Lamb1/Dag1/Col4a1",3
"GO:0048675","axon extension","4/42","133/25730",0.0300751879699248,18.4246330110992,8.14640277386849,6.55786044463565e-05,0.00430882116434931,0.00307037272343476,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0050919","negative chemotaxis","3/42","48/25730",0.0625,38.2886904761905,10.4557281283692,6.64599665452335e-05,0.00430882116434931,0.00307037272343476,"Sema5a/Sema3g/Slit2",3
"GO:0010811","positive regulation of cell-substrate adhesion","4/42","151/25730",0.0264900662251656,16.2283191422264,7.58873897448977,0.000107255171910556,0.00615785460060628,0.00438795393900596,"Vit/Dbn1/Dag1/Itga6",4
"GO:0060560","developmental growth involved in morphogenesis","5/42","292/25730",0.0171232876712329,10.4900521852577,6.59461577651829,0.00010971273129355,0.00615785460060628,0.00438795393900596,"Sema5a/Dbn1/Sema3g/Spag9/Slit2",5
"GO:0048588","developmental cell growth","5/42","293/25730",0.0170648464163823,10.4542499593694,6.58110618235575,0.000111483790052454,0.00615785460060628,0.00438795393900596,"Sema5a/Dbn1/Sema3g/Spag9/Slit2",5
"GO:0071225","cellular response to muramyl dipeptide","2/42","10/25730",0.2,122.52380952381,15.5416400238422,0.000116086376361044,0.00615785460060628,0.00438795393900596,"Vim/Nod1",2
"GO:0050771","negative regulation of axonogenesis","3/42","60/25730",0.05,30.6309523809524,9.29135928054969,0.000129711810810844,0.00658146448766326,0.00468980917805798,"Sema5a/Sema3g/Slit2",3
"GO:0010977","negative regulation of neuron projection development","4/42","165/25730",0.0242424242424242,14.8513708513709,7.21743336661687,0.000150925872942387,0.00733877057182356,0.00522944910633709,"Sema5a/Sema3g/Vim/Slit2",4
"GO:0050769","positive regulation of neurogenesis","5/42","324/25730",0.0154320987654321,9.45399764844209,6.19209247047465,0.000178196261607798,0.00831820149185201,0.00592737038611201,"Sema5a/Dbn1/Dag1/Vim/Mapre3",5
"GO:0043589","skin morphogenesis","2/42","13/25730",0.153846153846154,94.2490842490842,13.5980630848628,0.000200591927181791,0.00900349150081347,0.00641569321755526,"Col1a2/Itga6",2
"GO:0030308","negative regulation of cell growth","4/42","191/25730",0.0209424083769634,12.8297182747445,6.63529282985684,0.000264138578123094,0.0114166563210982,0.00813526225018497,"Sema5a/Sema3g/Spag9/Slit2",4
"GO:0048754","branching morphogenesis of an epithelial tube","4/42","197/25730",0.0203045685279188,12.4389654338893,6.51688249730848,0.000297107601228042,0.0121210593221345,0.00863720458619603,"Sema5a/Dag1/Col4a1/Slit2",4
"GO:0040013","negative regulation of locomotion","5/42","363/25730",0.0137741046831956,8.43827889282435,5.77114742193982,0.000301208843480634,0.0121210593221345,0.00863720458619603,"Sema5a/Dbn1/Dag1/Apod/Slit2",5
"GO:0008361","regulation of cell size","4/42","216/25730",0.0185185185185185,11.3447971781305,6.17348692413099,0.000421037990658126,0.0163783778366011,0.0116708776357867,"Sema5a/Dbn1/Sema3g/Slit2",4
"GO:0048638","regulation of developmental growth","5/42","399/25730",0.012531328320802,7.67693042129132,5.4351068120586,0.000464045049542797,0.0171546242062012,0.0122240140016227,"Sema5a/Dbn1/Sema3g/Spag9/Slit2",5
"GO:0031345","negative regulation of cell projection organization","4/42","224/25730",0.0178571428571429,10.9396258503401,6.04148665885033,0.000482883754961877,0.0171546242062012,0.0122240140016227,"Sema5a/Sema3g/Vim/Slit2",4
"GO:0006541","glutamine metabolic process","2/42","20/25730",0.1,61.2619047619048,10.9012868277334,0.000485092201203634,0.0171546242062012,0.0122240140016227,"Phgdh/Ucp2",2
"GO:0060562","epithelial tube morphogenesis","5/42","407/25730",0.0122850122850123,7.52603252603252,5.36611299609783,0.00050783456619388,0.0174306746690664,0.0124207215880237,"Sema5a/Sostdc1/Dag1/Col4a1/Slit2",5
"GO:0061138","morphogenesis of a branching epithelium","4/42","235/25730",0.0170212765957447,10.4275582573455,5.87052038141619,0.000578159657779956,0.0180746904449816,0.0128796332941284,"Sema5a/Dag1/Col4a1/Slit2",4
"GO:0032495","response to muramyl dipeptide","2/42","22/25730",0.0909090909090909,55.6926406926407,10.3771248017703,0.000588550331541818,0.0180746904449816,0.0128796332941284,"Vim/Nod1",2
"GO:0048846","axon extension involved in axon guidance","2/42","22/25730",0.0909090909090909,55.6926406926407,10.3771248017703,0.000588550331541818,0.0180746904449816,0.0128796332941284,"Sema5a/Slit2",2
"GO:1902284","neuron projection extension involved in neuron projection guidance","2/42","22/25730",0.0909090909090909,55.6926406926407,10.3771248017703,0.000588550331541818,0.0180746904449816,0.0128796332941284,"Sema5a/Slit2",2
"GO:0007160","cell-matrix adhesion","4/42","244/25730",0.0163934426229508,10.0429352068696,5.73884434213109,0.000665499830004196,0.0199138026055102,0.0141901448233013,"Dag1/Col5a3/Itga6/Apod",4
"GO:0045926","negative regulation of growth","4/42","247/25730",0.0161943319838057,9.92095623674571,5.69646667159622,0.000696584870167827,0.0203228635871464,0.0144816328271733,"Sema5a/Sema3g/Spag9/Slit2",4
"GO:0001558","regulation of cell growth","5/42","442/25730",0.0113122171945701,6.93007972419737,5.08493467176466,0.000737073193204216,0.0209796199138859,0.0149496231741035,"Sema5a/Dbn1/Sema3g/Spag9/Slit2",5
"GO:0001763","morphogenesis of a branching structure","4/42","255/25730",0.0156862745098039,9.60971055088702,5.58692057631121,0.000784499220913507,0.0217978712096682,0.0155326913413952,"Sema5a/Dag1/Col4a1/Slit2",4
"GO:0007015","actin filament organization","5/42","478/25730",0.0104602510460251,6.40814903367205,4.82598159661423,0.00104608288604695,0.0283902029771346,0.0202302443078847,"Sema5a/Dbn1/Myo1b/Slit2/Gas2l3",5
"GO:0071676","negative regulation of mononuclear cell migration","2/42","33/25730",0.0606060606060606,37.1284271284271,8.39722451143951,0.00133003777665482,0.0352762292126402,0.0251370775970647,"Apod/Slit2",2
"GO:0032963","collagen metabolic process","3/42","138/25730",0.0217391304347826,13.3178053830228,5.86667081486404,0.00148703607205921,0.0379456652848876,0.0270392599784073,"Col5a1/Col1a2/Vim",3
"GO:0061003","positive regulation of dendritic spine morphogenesis","2/42","35/25730",0.0571428571428571,35.0068027210884,8.14041349482769,0.00149571602665367,0.0379456652848876,0.0270392599784073,"Dbn1/Mapre3",2
"GO:0021987","cerebral cortex development","3/42","140/25730",0.0214285714285714,13.1275510204082,5.81798956096213,0.00154961223039738,0.038476541976037,0.0274175512209167,"Lamb1/Slit2/Filip1",3
"GO:0021782","glial cell development","3/42","150/25730",0.02,12.252380952381,5.58869924506615,0.00188726402979334,0.0458070194679032,0.0326410908579295,"Phgdh/Dag1/Vim",3
"GO:0042476","odontogenesis","3/42","151/25730",0.0198675496688742,12.1712393566698,5.56697155526778,0.0019233452904261,0.0458070194679032,0.0326410908579295,"Lamb1/Sostdc1/Itga6",3
