"","Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID"
"GO:0031589","GO:0031589","cell-substrate adhesion",361,43,0.119113573407202,3.72700623614382,9.50585354939414,1.03356491586943e-13,2.26901951197202e-11,"CCDC80, COL3A1, CD36, SVEP1, DMTN, FZD4, ANGPT1, LAMA5, LYVE1, ITGB5, KANK1, ITGA6, FBLN2, THY1, ITGB4, PARVB, ITGB2, SFRP1, COL8A1, DOCK5, BCAM, ITGB1, PKP2, NTN4, JAG1, THBS1, COL1A1, SIGLEC1, CLASP2, ITGB1BP1, JAM3, MICALL2, FBLN1, ANXA2, L1CAM, POSTN, FREM1, ITGA8, NPNT, ITGBL1, ST6GAL1, DAB2, ACTN4"
"GO:0006631","GO:0006631","fatty acid metabolic process",413,45,0.108958837772397,3.4092694580864,8.99549084133207,6.64129256773896e-13,1.18215007705754e-10,"ACSL1, AKR1C1, CD36, SCD, PPARG, ASAH1, AKR1C2, GPAM, PRKAR2B, PDK4, PTGDS, ACSS2, LPL, ACAA2, GPX1, FASN, ACACA, ELOVL5, ACACB, EPHX1, GPX4, INSIG1, ECHDC1, LPGAT1, ACLY, ECHS1, ACOX1, EHHADH, CYP4B1, MGLL, ABCC9, C3, ACSF2, PCCB, ADIPOR2, AKR1C3, AACS, CYP1B1, ALDH3A2, AKT2, ACOT2, ACSL4, FMO2, HADHA, NR1H3"
"GO:1905954","GO:1905954","positive regulation of lipid localization",113,20,0.176991150442478,5.53796769396139,8.7912712300673,4.472589505416e-10,3.98060465982024e-08,"ACSL1, CD36, PPARG, PLTP, PLIN2, LPL, ACACB, EEPD1, MSR1, LRP1, PTCH1, HILPDA, NFKBIA, SREBF2, C3, CYP19A1, RXRA, ANXA2, NR1H3, DAB2"
"GO:0110075","GO:0110075","regulation of ferroptosis",12,8,0.666666666666667,20.8596783139212,12.5038489752989,4.59574617975797e-10,4.0356779119848e-08,"NQO1, FTH1, HMOX1, TMEM164, AIFM2, GPX4, DHCR7, SQSTM1"
"GO:0042060","GO:0042060","wound healing",450,42,0.0933333333333333,2.92035496394897,7.49185768043545,5.4721286282271e-10,4.44931347475354e-08,"COL3A1, CD36, SVEP1, IGF1, DMTN, F13A1, PPARG, PLEC, ANGPT1, DDR2, ANXA1, CSRP1, TSKU, ITGB5, KANK1, HMOX1, GPX1, ANGPTL2, CD9, ADRA2A, SYT11, ANXA5, DST, P2RY1, ANO6, ITPR3, ADIPOR2, ITGB1, THBS1, CLASP2, ERBB2, PROS1, AQP1, PRCP, SLC4A1, FBLN1, VEGFB, ANXA2, IL6ST, MMRN1, PAPSS2, ANGPTL4"
"GO:0030198","GO:0030198","extracellular matrix organization",339,35,0.103244837758112,3.23048115481081,7.52992994249244,1.11382215509608e-09,8.52980548077071e-08,"CCDC80, COL3A1, ADAMTS5, PPARG, PLOD2, LCP1, DDR2, COL6A1, PXDN, MYH11, COL15A1, SERPINH1, PAPLN, MATN2, COL8A2, LRP1, COL12A1, CTSS, SFRP2, COL8A1, COL5A2, ITGB1, NTN4, MMP2, CYP1B1, COL1A1, CLASP2, COL1A2, LOXL2, FBLN1, ANXA2, POSTN, COL7A1, ITGA8, NPNT"
"GO:0097707","GO:0097707","ferroptosis",13,8,0.615384615384615,19.2550876743888,11.9632186736794,1.16142872392027e-09,8.79214893763092e-08,"NQO1, FTH1, HMOX1, TMEM164, AIFM2, GPX4, DHCR7, SQSTM1"
"GO:0043062","GO:0043062","extracellular structure organization",340,35,0.102941176470588,3.2209797396496,7.50910787139827,1.20500717401623e-09,9.01838323644421e-08,"CCDC80, COL3A1, ADAMTS5, PPARG, PLOD2, LCP1, DDR2, COL6A1, PXDN, MYH11, COL15A1, SERPINH1, PAPLN, MATN2, COL8A2, LRP1, COL12A1, CTSS, SFRP2, COL8A1, COL5A2, ITGB1, NTN4, MMP2, CYP1B1, COL1A1, CLASP2, COL1A2, LOXL2, FBLN1, ANXA2, POSTN, COL7A1, ITGA8, NPNT"
"GO:0045229","GO:0045229","external encapsulating structure organization",341,35,0.102639296187683,3.21153405126353,7.48836264627492,1.30321824322534e-09,9.64381499986754e-08,"CCDC80, COL3A1, ADAMTS5, PPARG, PLOD2, LCP1, DDR2, COL6A1, PXDN, MYH11, COL15A1, SERPINH1, PAPLN, MATN2, COL8A2, LRP1, COL12A1, CTSS, SFRP2, COL8A1, COL5A2, ITGB1, NTN4, MMP2, CYP1B1, COL1A1, CLASP2, COL1A2, LOXL2, FBLN1, ANXA2, POSTN, COL7A1, ITGA8, NPNT"
"GO:1905952","GO:1905952","regulation of lipid localization",189,25,0.132275132275132,4.13882506228596,7.88013708049678,1.86105141679652e-09,1.30026450554828e-07,"ACSL1, CD36, PPARG, PLTP, PLIN2, LPL, PNPLA2, ACACB, EEPD1, MSR1, LRP1, PTCH1, HILPDA, NFKBIA, SREBF2, C3, CYP19A1, THBS1, AKT2, RXRA, ACSL4, ANXA2, OSBPL8, NR1H3, DAB2"
"GO:0036293","GO:0036293","response to decreased oxygen levels",330,33,0.1,3.12895174708819,7.08940044967459,7.45650963332441e-09,4.63288419293156e-07,"FZD4, PPARG, PLOD2, DDR2, COL6A1, ACAA2, CAT, KCNMA1, CRYAB, ALAS2, BNIP3, HILPDA, SFRP1, ABCC9, TFRC, BNIP3L, CPEB4, CXCL12, ENO1, MMP2, THBS1, FOS, RTN4, INHBA, ADM, AQP1, MALAT1, SLC1A1, LOXL2, VEGFB, POSTN, NR4A2, ANGPTL4"
"GO:0010883","GO:0010883","regulation of lipid storage",55,13,0.236363636363636,7.39570412948117,8.63073967287554,1.34898346114346e-08,8.07673188644621e-07,"CD36, PPARG, PLIN2, LPL, PNPLA2, ACACB, MSR1, HILPDA, NFKBIA, SREBF2, C3, OSBPL8, NR1H3"
"GO:0070482","GO:0070482","response to oxygen levels",358,34,0.0949720670391061,2.97163015086588,6.84357504836468,1.62133839137538e-08,9.44967667752058e-07,"FZD4, PPARG, PLOD2, DDR2, COL6A1, ACAA2, CAT, KCNMA1, CRYAB, ALAS2, BNIP3, HILPDA, SFRP1, ABCC9, TFRC, BNIP3L, CPEB4, CXCL12, ENO1, MMP2, THBS1, FOS, RTN4, COL1A1, INHBA, ADM, AQP1, MALAT1, SLC1A1, LOXL2, VEGFB, POSTN, NR4A2, ANGPTL4"
