"gene","n_pathways","n_comparisons","n_celltypes","pathways","comparisons","celltypes","mean_pathway_padj"
"Mag",101,1,2,"positive regulation of myelination | positive regulation of nervous system process | positive regulation of glial cell differentiation | regulation of myelination | positive regulation of gliogenesis | regulation of glial cell differentiation | cellular response to mechanical stimulus | cellular response to external stimulus | regulation of gliogenesis | regulation of nervous system process | myelination | positive regulation of cell differentiation | ensheathment of neurons | axon ensheathment | anatomical structure morphogenesis | response to mechanical stimulus | anatomical structure formation involved in morphogenesis | glial cell differentiation | positive regulation of neurogenesis | cell adhesion | positive regulation of developmental process | positive regulation of nervous system development | cellular response to abiotic stimulus | cellular response to environmental stimulus | gliogenesis | regulation of cell differentiation | regulation of neurogenesis | system development | axonogenesis | positive regulation of multicellular organismal process | positive regulation of cell development | axon development | regulation of nervous system development | regulation of system process | cell differentiation | cellular developmental process | multicellular organism development | cell morphogenesis involved in neuron differentiation | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | nervous system process | regulation of developmental process | regulation of cell development | Cell adhesion molecule (CAM) interaction | neuron projection development | neuron development | positive regulation of astrocyte differentiation | cell development | regulation of cell growth | neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | negative regulation of cell growth | cell growth | cell projection organization | cell morphogenesis | regulation of astrocyte differentiation | neurogenesis | negative regulation of growth | regulation of growth | regulation of multicellular organismal process | positive regulation of cellular process | anatomical structure development | regulation of multicellular organismal development | positive regulation of biological process | nervous system development | astrocyte differentiation | developmental process | regulation of axon extension | central nervous system development | growth | regulation of extent of cell growth | axon extension | cellular component organization | regulation of neuron projection development | negative regulation of multicellular organismal process | cellular component organization or biogenesis | regulation of axonogenesis | regulation of cellular process | neuron projection extension | regulation of biological process | regulation of cell size | negative regulation of neuron apoptotic process | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | regulation of neuron differentiation | multicellular organismal process | biological regulation | response to external stimulus | developmental growth involved in morphogenesis | response to stress | developmental cell growth | regulation of anatomical structure morphogenesis | negative regulation of cell development | cell-cell adhesion | regulation of neuron apoptotic process | negative regulation of developmental process | neuron apoptotic process | regulation of developmental growth | regulation of cellular component size","EXvsHFD","mySC, majorSC",0.0154304146830328
"Sema7a",86,1,1,"positive regulation of cell differentiation | anatomical structure morphogenesis | positive regulation of developmental process | regulation of cell differentiation | regulation of developmental process | neuron projection development | positive regulation of neurogenesis | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | system development | neuron development | positive regulation of nervous system development | cell development | regulation of cell growth | regulation of cell development | cell migration | regulation of neurogenesis | neuron differentiation | cell differentiation | cellular developmental process | multicellular organism development | regulation of cell migration | generation of neurons | plasma membrane bounded cell projection organization | cell growth | cell projection organization | regulation of cell motility | positive regulation of cell development | cell morphogenesis | regulation of locomotion | regulation of nervous system development | cell motility | neurogenesis | regulation of growth | mesenchymal cell differentiation | locomotion | regulation of multicellular organismal process | animal organ development | positive regulation of cellular process | mesenchyme development | head development | anatomical structure development | regulation of multicellular organismal development | positive regulation of biological process | nervous system development | neural crest cell differentiation | developmental process | regulation of axon extension | cell surface receptor signaling pathway | central nervous system development | positive regulation of multicellular organismal process | growth | regulation of extent of cell growth | axonogenesis | axon extension | regulation of signal transduction | cellular component organization | regulation of neuron projection development | axon development | cellular component organization or biogenesis | tissue development | regulation of axonogenesis | regulation of cellular process | cell morphogenesis involved in neuron differentiation | neuron projection extension | regulation of biological process | regulation of cell size | regulation of signaling | regulation of cell communication | brain development | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | multicellular organismal process | biological regulation | axon guidance | neuron projection guidance | response to external stimulus | developmental growth involved in morphogenesis | response to stress | developmental cell growth | regulation of response to stimulus | stem cell differentiation | regulation of anatomical structure morphogenesis | regulation of developmental growth | regulation of cellular component size","EXvsHFD","majorSC",0.0120525737421338
"Serpine2",86,1,1,"positive regulation of cell differentiation | anatomical structure morphogenesis | positive regulation of developmental process | positive regulation of glial cell differentiation | regulation of cell differentiation | regulation of developmental process | neuron projection development | positive regulation of gliogenesis | positive regulation of neurogenesis | regulation of glial cell differentiation | system development | neuron development | positive regulation of astrocyte differentiation | positive regulation of nervous system development | cell development | regulation of cell growth | regulation of gliogenesis | regulation of cell development | regulation of neurogenesis | neuron differentiation | cell differentiation | cellular developmental process | multicellular organism development | generation of neurons | plasma membrane bounded cell projection organization | negative regulation of cell growth | cell growth | cell projection organization | positive regulation of cell development | regulation of nervous system development | regulation of astrocyte differentiation | neurogenesis | negative regulation of growth | regulation of growth | response to mechanical stimulus | regulation of multicellular organismal process | glial cell differentiation | animal organ development | positive regulation of cellular process | cell adhesion | head development | seminal vesicle epithelium development | anatomical structure development | regulation of multicellular organismal development | regulation of sodium ion transport | positive regulation of biological process | gliogenesis | nervous system development | astrocyte differentiation | developmental process | nerve development | cell surface receptor signaling pathway | central nervous system development | positive regulation of multicellular organismal process | growth | regulation of signal transduction | cellular component organization | regulation of neuron projection development | negative regulation of multicellular organismal process | cellular component organization or biogenesis | tissue development | regulation of cellular process | hindbrain development | negative regulation of signal transduction | regulation of biological process | regulation of signaling | regulation of cell communication | brain development | regulation of plasma membrane bounded cell projection organization | regulation of cell projection organization | negative regulation of signaling | negative regulation of cell communication | multicellular organismal process | biological regulation | regulation of cell adhesion | sodium ion transport | response to external stimulus | protein processing | response to stress | regulation of response to stimulus | sensory perception of mechanical stimulus | negative regulation of response to stimulus | cell-cell adhesion | negative regulation of cell adhesion | export from cell | regulation of metal ion transport","EXvsHFD","majorSC",0.0123832296771594
"Egr2",84,1,2,"positive regulation of myelination | positive regulation of nervous system process | positive regulation of glial cell differentiation | regulation of myelination | positive regulation of gliogenesis | regulation of glial cell differentiation | rhombomere formation | rhombomere structural organization | rhombomere 3 structural organization | rhombomere 3 formation | rhombomere 5 morphogenesis | rhombomere 5 structural organization | rhombomere 5 formation | regulation of gliogenesis | regulation of nervous system process | myelination | positive regulation of cell differentiation | ensheathment of neurons | axon ensheathment | anatomical structure morphogenesis | anatomical structure formation involved in morphogenesis | glial cell differentiation | response to insulin | positive regulation of neurogenesis | positive regulation of developmental process | positive regulation of nervous system development | gliogenesis | regulation of cell differentiation | regulation of neurogenesis | ossification | system development | axonogenesis | positive regulation of multicellular organismal process | response to peptide hormone | positive regulation of cell development | axon development | regulation of nervous system development | regulation of system process | cell differentiation | cellular developmental process | multicellular organism development | cell morphogenesis involved in neuron differentiation | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | blood vessel development | head development | nervous system process | vasculature development | regulation of developmental process | regulation of cell development | neuron projection development | neuron development | cell development | neuron differentiation | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | cell morphogenesis | neurogenesis | regulation of multicellular organismal process | animal organ development | positive regulation of cellular process | anatomical structure development | regulation of multicellular organismal development | positive regulation of biological process | nervous system development | developmental process | nerve development | central nervous system development | cellular component organization | cellular component organization or biogenesis | tissue development | regulation of cellular process | hindbrain development | regulation of biological process | brain development | multicellular organismal process | biological regulation | response to endogenous stimulus | axon guidance | neuron projection guidance | fat cell differentiation | response to hormone","EXvsHFD","mySC, majorSC",0.0139096809428505
"Col1a1",80,1,2,"cellular response to mechanical stimulus | cellular response to external stimulus | cellular response to vitamin E | positive regulation of cell differentiation | anatomical structure morphogenesis | response to mechanical stimulus | anatomical structure formation involved in morphogenesis | response to insulin | cell adhesion | positive regulation of developmental process | cellular response to abiotic stimulus | cellular response to environmental stimulus | regulation of cell differentiation | ossification | system development | positive regulation of multicellular organismal process | response to peptide hormone | cell differentiation | cellular developmental process | multicellular organism development | blood vessel development | head development | nervous system process | vasculature development | regulation of developmental process | Cytoskeleton in muscle cells | cell migration | regulation of cell migration | regulation of cell motility | regulation of locomotion | cell motility | mesenchymal cell differentiation | locomotion | regulation of multicellular organismal process | animal organ development | positive regulation of cellular process | mesenchyme development | anatomical structure development | positive regulation of biological process | developmental process | cell surface receptor signaling pathway | Wnt signaling pathway | response to hydrogen peroxide | animal organ morphogenesis | regulation of signal transduction | cellular component organization | cellular component organization or biogenesis | tissue development | regulation of cellular process | cellular response to glucose stimulus | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | cellular response to carbohydrate stimulus | regulation of biological process | intracellular glucose homeostasis | regulation of signaling | regulation of cell communication | response to reactive oxygen species | cartilage development | multicellular organismal process | biological regulation | response to glucose | response to endogenous stimulus | regulation of canonical Wnt signaling pathway | regulation of cell adhesion | response to hexose | response to monosaccharide | response to external stimulus | response to stress | response to carbohydrate | regulation of response to stimulus | canonical Wnt signaling pathway | sensory perception of mechanical stimulus | negative regulation of cell adhesion | regulation of Wnt signaling pathway | glucose homeostasis | carbohydrate homeostasis | connective tissue development | response to hormone | response to steroid hormone","EXvsHFD","mySC, majorSC",0.0194798695621288
"Cpe",67,1,1,"anatomical structure morphogenesis | regulation of developmental process | neuron projection development | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | system development | neuron development | cell development | cell migration | neuron differentiation | cell differentiation | cellular developmental process | multicellular organism development | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | cell morphogenesis | cell motility | neurogenesis | regulation of multicellular organismal process | animal organ development | anatomical structure development | nervous system development | developmental process | cell surface receptor signaling pathway | Wnt signaling pathway | response to hydrogen peroxide | animal organ morphogenesis | regulation of signal transduction | cellular component organization | negative regulation of multicellular organismal process | cellular component organization or biogenesis | regulation of cellular process | cellular response to glucose stimulus | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | negative regulation of signal transduction | cellular response to carbohydrate stimulus | regulation of biological process | intracellular glucose homeostasis | regulation of signaling | regulation of cell communication | response to reactive oxygen species | negative regulation of neuron apoptotic process | negative regulation of signaling | negative regulation of cell communication | multicellular organismal process | biological regulation | response to glucose | response to endogenous stimulus | response to hexose | response to monosaccharide | protein processing | response to stress | response to carbohydrate | regulation of response to stimulus | regulation of anatomical structure morphogenesis | negative regulation of response to stimulus | regulation of neuron apoptotic process | glucose homeostasis | carbohydrate homeostasis | response to hormone | response to steroid hormone | negative regulation of developmental process | export from cell | neuron apoptotic process","EXvsHFD","majorSC",0.018119213679816
"Frzb",58,1,1,"positive regulation of cell differentiation | anatomical structure morphogenesis | positive regulation of developmental process | regulation of cell differentiation | regulation of developmental process | system development | cell development | regulation of cell growth | regulation of cell development | cell differentiation | cellular developmental process | multicellular organism development | negative regulation of cell growth | cell growth | negative regulation of growth | regulation of growth | mesenchymal cell differentiation | regulation of multicellular organismal process | animal organ development | positive regulation of cellular process | mesenchyme development | negative regulation of hepatocyte differentiation | anatomical structure development | regulation of multicellular organismal development | positive regulation of biological process | neural crest cell differentiation | developmental process | cell surface receptor signaling pathway | Wnt signaling pathway | growth | animal organ morphogenesis | regulation of signal transduction | cellular component organization | negative regulation of multicellular organismal process | cellular component organization or biogenesis | tissue development | regulation of cellular process | negative regulation of signal transduction | regulation of biological process | regulation of signaling | regulation of cell communication | cartilage development | negative regulation of signaling | negative regulation of cell communication | multicellular organismal process | biological regulation | regulation of canonical Wnt signaling pathway | fat cell differentiation | regulation of response to stimulus | stem cell differentiation | negative regulation of cell development | canonical Wnt signaling pathway | negative regulation of response to stimulus | regulation of Wnt signaling pathway | connective tissue development | sensory organ morphogenesis | embryonic organ morphogenesis | negative regulation of developmental process","EXvsHFD","majorSC",0.0156860183314414
"Nbl1",52,1,1,"positive regulation of cell differentiation | anatomical structure morphogenesis | positive regulation of developmental process | regulation of cell differentiation | regulation of developmental process | neuron projection development | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | system development | neuron development | cell development | cell migration | neuron differentiation | cell differentiation | cellular developmental process | multicellular organism development | regulation of cell migration | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | regulation of cell motility | cell morphogenesis | regulation of locomotion | cell motility | neurogenesis | locomotion | positive regulation of cellular process | anatomical structure development | positive regulation of biological process | nervous system development | developmental process | cell surface receptor signaling pathway | regulation of signal transduction | cellular component organization | cellular component organization or biogenesis | regulation of cellular process | negative regulation of signal transduction | regulation of biological process | regulation of signaling | regulation of cell communication | negative regulation of signaling | negative regulation of cell communication | regulation of leukocyte migration | regulation of neuron differentiation | multicellular organismal process | biological regulation | response to endogenous stimulus | response to external stimulus | regulation of response to stimulus | negative regulation of response to stimulus | leukocyte migration","EXvsHFD","majorSC",0.0115275061603699
"Chst2",17,1,1,"cell migration | regulation of cell migration | regulation of cell motility | regulation of locomotion | cell motility | locomotion | positive regulation of cellular process | cell adhesion | positive regulation of biological process | regulation of cellular process | regulation of biological process | regulation of leukocyte migration | biological regulation | regulation of cell adhesion | response to stress | cell-cell adhesion | leukocyte migration","EXvsHFD","majorSC",0.0163096813570679
"Mfap5",15,1,2,"anatomical structure morphogenesis | system development | cell differentiation | cellular developmental process | multicellular organism development | cell development | animal organ development | anatomical structure development | developmental process | animal organ morphogenesis | cellular component organization | cellular component organization or biogenesis | multicellular organismal process | sensory organ morphogenesis | embryonic organ morphogenesis","EXvsHFD","mySC, majorSC",0.0158253554937738
