"comparison","cell_type","gene_set","enrich_type","pathway","gene","pathway_padj"
"HFDvsSD","majorSC","Overlap_MS","richR_GO","response to progesterone","Mbp",0.00673494278236689
"HFDvsSD","majorSC","Overlap_MS","richR_GO","response to progesterone","Txnip",0.00673494278236689
"HFDvsSD","majorSC","Overlap_MS","richR_GO","cell-cell adhesion via plasma-membrane adhesion molecules","Mbp",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","cell-cell adhesion via plasma-membrane adhesion molecules","Cldn19",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","response to ketone","Mbp",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","response to ketone","Txnip",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","response to steroid hormone","Mbp",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","response to steroid hormone","Txnip",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","cell adhesion","Mbp",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","cell adhesion","Adam23",0.0364815165794576
"HFDvsSD","majorSC","Overlap_MS","richR_GO","cell adhesion","Cldn19",0.0364815165794576
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of myelination","Mag",0.00493479344844206
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of myelination","Egr2",0.00493479344844206
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of nervous system process","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of nervous system process","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of glial cell differentiation","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of glial cell differentiation","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of myelination","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of myelination","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of gliogenesis","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of gliogenesis","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of glial cell differentiation","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of glial cell differentiation","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to mechanical stimulus","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to mechanical stimulus","Col1a1",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to external stimulus","Mag",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to external stimulus","Col1a1",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere formation","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere structural organization","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere 3 structural organization","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere 3 formation","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere 5 morphogenesis","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere 5 structural organization","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","rhombomere 5 formation","Egr2",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to vitamin E","Col1a1",0.00525893898173403
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of gliogenesis","Mag",0.00827597487979647
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of gliogenesis","Egr2",0.00827597487979647
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of nervous system process","Mag",0.00916524073245924
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of nervous system process","Egr2",0.00916524073245924
"EXvsHFD","mySC","Overlap_MS","richR_GO","myelination","Mag",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","myelination","Egr2",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Mag",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Egr2",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Col1a1",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","ensheathment of neurons","Mag",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","ensheathment of neurons","Egr2",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","axon ensheathment","Mag",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","axon ensheathment","Egr2",0.0102552168943463
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Mfap5",0.0117058913677427
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Mag",0.0117058913677427
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Egr2",0.0117058913677427
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure morphogenesis","Col1a1",0.0117058913677427
"EXvsHFD","mySC","Overlap_MS","richR_GO","response to mechanical stimulus","Mag",0.0130978323683494
"EXvsHFD","mySC","Overlap_MS","richR_GO","response to mechanical stimulus","Col1a1",0.0130978323683494
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Mag",0.0142352777171793
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Egr2",0.0142352777171793
"EXvsHFD","mySC","Overlap_MS","richR_GO","anatomical structure formation involved in morphogenesis","Col1a1",0.0142352777171793
"EXvsHFD","mySC","Overlap_MS","richR_GO","glial cell differentiation","Mag",0.0148073981307328
"EXvsHFD","mySC","Overlap_MS","richR_GO","glial cell differentiation","Egr2",0.0148073981307328
"EXvsHFD","mySC","Overlap_MS","richR_GO","response to insulin","Egr2",0.0156459998849401
"EXvsHFD","mySC","Overlap_MS","richR_GO","response to insulin","Col1a1",0.0156459998849401
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of neurogenesis","Mag",0.0156459998849401
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of neurogenesis","Egr2",0.0156459998849401
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell adhesion","Mag",0.0186273033095466
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell adhesion","Col1a1",0.0186273033095466
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell adhesion","Sdc3",0.0186273033095466
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Mag",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Egr2",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of developmental process","Col1a1",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of nervous system development","Mag",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of nervous system development","Egr2",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to abiotic stimulus","Mag",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to abiotic stimulus","Col1a1",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to environmental stimulus","Mag",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular response to environmental stimulus","Col1a1",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","gliogenesis","Mag",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","gliogenesis","Egr2",0.018842058497935
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Mag",0.022478825399682
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Egr2",0.022478825399682
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of cell differentiation","Col1a1",0.022478825399682
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of neurogenesis","Mag",0.0232703724981465
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of neurogenesis","Egr2",0.0232703724981465
"EXvsHFD","mySC","Overlap_MS","richR_GO","ossification","Egr2",0.0245349649140559
"EXvsHFD","mySC","Overlap_MS","richR_GO","ossification","Col1a1",0.0245349649140559
"EXvsHFD","mySC","Overlap_MS","richR_GO","system development","Mfap5",0.0246293470744071
"EXvsHFD","mySC","Overlap_MS","richR_GO","system development","Mag",0.0246293470744071
"EXvsHFD","mySC","Overlap_MS","richR_GO","system development","Egr2",0.0246293470744071
"EXvsHFD","mySC","Overlap_MS","richR_GO","system development","Col1a1",0.0246293470744071
"EXvsHFD","mySC","Overlap_MS","richR_GO","axonogenesis","Mag",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","axonogenesis","Egr2",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Mag",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Egr2",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of multicellular organismal process","Col1a1",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","response to peptide hormone","Egr2",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","response to peptide hormone","Col1a1",0.0250602629545559
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of cell development","Mag",0.0273223421020104
"EXvsHFD","mySC","Overlap_MS","richR_GO","positive regulation of cell development","Egr2",0.0273223421020104
"EXvsHFD","mySC","Overlap_MS","richR_GO","axon development","Mag",0.027752785275048
"EXvsHFD","mySC","Overlap_MS","richR_GO","axon development","Egr2",0.027752785275048
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of nervous system development","Mag",0.027752785275048
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of nervous system development","Egr2",0.027752785275048
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of system process","Mag",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of system process","Egr2",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell differentiation","Mfap5",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell differentiation","Mag",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell differentiation","Egr2",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell differentiation","Col1a1",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular developmental process","Mfap5",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular developmental process","Mag",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular developmental process","Egr2",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","cellular developmental process","Col1a1",0.0324265141640134
"EXvsHFD","mySC","Overlap_MS","richR_GO","multicellular organism development","Mfap5",0.033917940735489
"EXvsHFD","mySC","Overlap_MS","richR_GO","multicellular organism development","Mag",0.033917940735489
"EXvsHFD","mySC","Overlap_MS","richR_GO","multicellular organism development","Egr2",0.033917940735489
"EXvsHFD","mySC","Overlap_MS","richR_GO","multicellular organism development","Col1a1",0.033917940735489
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell morphogenesis involved in neuron differentiation","Mag",0.034082276207627
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell morphogenesis involved in neuron differentiation","Egr2",0.034082276207627
"EXvsHFD","mySC","Overlap_MS","richR_GO","neuron projection morphogenesis","Mag",0.0368386218671814
"EXvsHFD","mySC","Overlap_MS","richR_GO","neuron projection morphogenesis","Egr2",0.0368386218671814
"EXvsHFD","mySC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Mag",0.0375793011150875
"EXvsHFD","mySC","Overlap_MS","richR_GO","plasma membrane bounded cell projection morphogenesis","Egr2",0.0375793011150875
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell projection morphogenesis","Mag",0.0378558332179863
"EXvsHFD","mySC","Overlap_MS","richR_GO","cell projection morphogenesis","Egr2",0.0378558332179863
"EXvsHFD","mySC","Overlap_MS","richR_GO","blood vessel development","Egr2",0.0390548834619826
"EXvsHFD","mySC","Overlap_MS","richR_GO","blood vessel development","Col1a1",0.0390548834619826
"EXvsHFD","mySC","Overlap_MS","richR_GO","head development","Egr2",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","head development","Col1a1",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","nervous system process","Mag",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","nervous system process","Egr2",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","nervous system process","Col1a1",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","vasculature development","Egr2",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","vasculature development","Col1a1",0.0407035802830238
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Mag",0.0421224225305747
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Egr2",0.0421224225305747
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of developmental process","Col1a1",0.0421224225305747
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of cell development","Mag",0.0458530544513954
"EXvsHFD","mySC","Overlap_MS","richR_GO","regulation of cell development","Egr2",0.0458530544513954
"EXvsHFD","mySC","Overlap_MS","richR_KEGG","Cell adhesion molecule (CAM) interaction","Mag",0.0250275791796112
"EXvsHFD","mySC","Overlap_MS","richR_KEGG","Cell adhesion molecule (CAM) interaction","Sdc3",0.0250275791796112
"EXvsHFD","mySC","Overlap_MS","richR_KEGG","Cytoskeleton in muscle cells","Col1a1",0.0250275791796112
"EXvsHFD","mySC","Overlap_MS","richR_KEGG","Cytoskeleton in muscle cells","Sdc3",0.0250275791796112
"EXvsHFD","majorSC","Overlap_MS","richR_GO","positive regulation of cell differentiation","Col1a1",8.99914458340375e-05
