"gene","n_pathways","n_comparisons","pathways"
"Mag",50,1,"negative regulation of neuron projection development | negative regulation of cell projection organization | negative regulation of axonogenesis | axon regeneration | neuron projection regeneration | anatomical structure development | negative regulation of developmental process | response to axon injury | neuron projection development | transmission of nerve impulse | developmental process | regulation of neuron projection development | axon development | regulation of biological process | response to wounding | neuron development | cell communication | negative regulation of neurogenesis | biological regulation | regulation of axonogenesis | negative regulation of nervous system development | nervous system development | myelination | neuron projection morphogenesis | ensheathment of neurons | axon ensheathment | regulation of plasma membrane bounded cell projection organization | plasma membrane bounded cell projection morphogenesis | system development | cell projection morphogenesis | negative regulation of cellular component organization | neuron differentiation | regulation of cell projection organization | negative regulation of neuron apoptotic process | anatomical structure morphogenesis | regeneration | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | response to mechanical stimulus | cell-cell adhesion via plasma-membrane adhesion molecules | regulation of anatomical structure morphogenesis | cell differentiation | cellular developmental process | neurogenesis | negative regulation of cell development | multicellular organism development | regulation of neuron apoptotic process | cell morphogenesis | IgSF CAM signaling"
"Mbp",46,1,"negative regulation of neuron projection development | negative regulation of cell projection organization | response to progesterone | response to ketone | negative regulation of axonogenesis | response to steroid hormone | anatomical structure development | negative regulation of developmental process | neuron projection development | developmental process | regulation of neuron projection development | axon development | regulation of biological process | neuron development | cell communication | negative regulation of neurogenesis | biological regulation | regulation of axonogenesis | negative regulation of nervous system development | nervous system development | myelination | neuron projection morphogenesis | ensheathment of neurons | axon ensheathment | regulation of plasma membrane bounded cell projection organization | plasma membrane bounded cell projection morphogenesis | system development | cell projection morphogenesis | negative regulation of cellular component organization | neuron differentiation | regulation of cell projection organization | anatomical structure morphogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | cell-cell adhesion via plasma-membrane adhesion molecules | regulation of anatomical structure morphogenesis | cell differentiation | cellular developmental process | neurogenesis | negative regulation of cell development | multicellular organism development | response to hormone | cell morphogenesis | response to lipid | IgSF CAM signaling"
"Cpe",39,1,"response to ketone | response to steroid hormone | anatomical structure development | negative regulation of developmental process | neuron projection development | response to hydrogen peroxide | developmental process | regulation of biological process | neuron development | cell communication | biological regulation | nervous system development | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | system development | cell projection morphogenesis | neuron differentiation | response to reactive oxygen species | negative regulation of neuron apoptotic process | anatomical structure morphogenesis | generation of neurons | plasma membrane bounded cell projection organization | transport | cell projection organization | response to glucose | response to hexose | response to monosaccharide | establishment of localization | regulation of anatomical structure morphogenesis | response to carbohydrate | cell differentiation | cellular developmental process | neurogenesis | animal organ development | multicellular organism development | response to hormone | regulation of neuron apoptotic process | cell morphogenesis | response to lipid"
"Inpp5f",32,1,"negative regulation of neuron projection development | negative regulation of cell projection organization | axon regeneration | neuron projection regeneration | anatomical structure development | negative regulation of developmental process | response to axon injury | neuron projection development | developmental process | regulation of neuron projection development | axon development | regulation of biological process | response to wounding | neuron development | cell communication | biological regulation | nervous system development | regulation of plasma membrane bounded cell projection organization | system development | negative regulation of cellular component organization | neuron differentiation | regulation of cell projection organization | regeneration | generation of neurons | plasma membrane bounded cell projection organization | transport | cell projection organization | establishment of localization | cell differentiation | cellular developmental process | neurogenesis | multicellular organism development"
"Txnip",25,1,"response to progesterone | response to ketone | response to steroid hormone | anatomical structure development | response to hydrogen peroxide | developmental process | regulation of biological process | cell communication | biological regulation | keratinocyte differentiation | response to reactive oxygen species | transport | response to glucose | response to hexose | response to mechanical stimulus | response to monosaccharide | establishment of localization | epidermal cell differentiation | response to carbohydrate | cell differentiation | cellular developmental process | animal organ development | response to hormone | skin development | response to lipid"
"Kcna2",16,1,"regulation of presynaptic membrane potential | anatomical structure development | transmission of nerve impulse | developmental process | regulation of biological process | cell communication | biological regulation | regulation of postsynaptic membrane potential | nervous system development | system development | anatomical structure morphogenesis | transport | establishment of localization | animal organ development | multicellular organism development | IgSF CAM signaling"
"Ppl",11,1,"anatomical structure development | developmental process | regulation of biological process | response to wounding | biological regulation | keratinocyte differentiation | epidermal cell differentiation | cell differentiation | cellular developmental process | animal organ development | skin development"
"Igfbp7",9,1,"anatomical structure development | developmental process | regulation of biological process | cell communication | biological regulation | system development | anatomical structure morphogenesis | animal organ development | multicellular organism development"
"Grik3",7,1,"regulation of presynaptic membrane potential | regulation of biological process | cell communication | biological regulation | regulation of postsynaptic membrane potential | transport | establishment of localization"
"Nkain2",4,1,"regulation of biological process | biological regulation | transport | establishment of localization"
