"gene","n_pathways","n_comparisons","pathways"
"Col1a1",157,3,"response to steroid hormone | protein localization to nucleus | response to hydrogen peroxide | protein localization to organelle | response to hormone | response to reactive oxygen species | response to glucose | response to hexose | response to monosaccharide | response to carbohydrate | cellular response to vitamin E | collagen fibril organization | endochondral bone morphogenesis | cell adhesion | skin development | cell communication | cell migration | response to endogenous stimulus | response to oxidative stress | regulation of cell migration | bone morphogenesis | regulation of cellular process | response to estradiol | regulation of cell motility | cell motility | response to lipid | regulation of locomotion | localization | response to chemical | homeostatic process | signal transduction | response to oxygen-containing compound | response to stimulus | regulation of biological process | nitrogen compound transport | visual perception | sensory perception of light stimulus | biological regulation | locomotion | transport | tissue development | cellular response to amino acid stimulus | cellular response to glucose stimulus | signaling | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | animal organ development | cellular response to acid chemical | cellular response to carbohydrate stimulus | intracellular glucose homeostasis | establishment of localization | positive regulation of cellular process | protein transport | response to amino acid | cartilage development | bone development | response to acid chemical | intracellular protein localization | mesenchymal cell differentiation | response to mechanical stimulus | skeletal system morphogenesis | head development | positive regulation of biological process | sensory perception of sound | AGE-RAGE signaling pathway in diabetic complications | Protein digestion and absorption | Amoebiasis | Platelet activation | Relaxin signaling pathway | Diabetic cardiomyopathy | Cytoskeleton in muscle cells | cellular response to transforming growth factor beta stimulus | response to transforming growth factor beta | embryo development | sensory perception of mechanical stimulus | extracellular matrix organization | external encapsulating structure organization | extracellular structure organization | negative regulation of cell adhesion | connective tissue development | cell-substrate adhesion | response to peptide hormone | cellular response to stimulus | skeletal system development | cellular response to growth factor stimulus | response to growth factor | blood vessel development | regulation of cell adhesion | vasculature development | chordate embryonic development | embryo development ending in birth or egg hatching | negative regulation of biological process | anatomical structure morphogenesis | cellular response to aldehyde | system development | multicellular organism development | regulation of multicellular organismal process | animal organ morphogenesis | negative regulation of cell-substrate adhesion | mesenchyme development | regulation of developmental process | cell differentiation | cellular developmental process | Wnt signaling pathway | cellular component organization | positive regulation of cell differentiation | anatomical structure development | regulation of cell-substrate adhesion | cellular response to nutrient levels | system process | response to nutrient levels | positive regulation of cell migration | positive regulation of cell motility | positive regulation of locomotion | developmental process | positive regulation of developmental process | cellular component organization or biogenesis | response to abiotic stimulus | cellular response to mechanical stimulus | cellular response to external stimulus | cellular response to abiotic stimulus | cellular response to environmental stimulus | regulation of cell differentiation | anatomical structure formation involved in morphogenesis | multicellular organismal process | cellular response to chemical stimulus | response to hyperoxia | positive regulation of multicellular organismal process | response to oxygen levels | cellular response to endogenous stimulus | response to increased oxygen levels | collagen metabolic process | response to stress | circulatory system development | positive regulation of epithelial to mesenchymal transition | regulation of response to stimulus | collagen biosynthetic process | cellular process | regulation of canonical Wnt signaling pathway | cell surface receptor signaling pathway | regulation of epithelial to mesenchymal transition | cellular response to fibroblast growth factor stimulus | response to fibroblast growth factor | epithelial to mesenchymal transition | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | positive regulation of RNA metabolic process | positive regulation of macromolecule metabolic process | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | regulation of primary metabolic process | DNA-templated transcription | positive regulation of nucleobase-containing compound metabolic process | response to insulin | enzyme-linked receptor protein signaling pathway | regulation of RNA metabolic process | positive regulation of metabolic process"
"Cav1",121,1,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | animal organ development | cellular component organization | neuron differentiation | regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | extracellular matrix organization | cell adhesion | external encapsulating structure organization | extracellular structure organization | regulation of multicellular organismal development | response to steroid hormone | regulation of cell migration | response to abiotic stimulus | cell migration | cellular response to mechanical stimulus | response to endogenous stimulus | cellular response to external stimulus | regulation of cell motility | cellular response to abiotic stimulus | cellular response to environmental stimulus | regulation of multicellular organismal process | regulation of cell differentiation | regulation of locomotion | response to mechanical stimulus | tissue development | cell motility | anatomical structure formation involved in morphogenesis | locomotion | response to hormone | multicellular organismal process | cellular response to chemical stimulus | regulation of cellular component organization | response to hyperoxia | positive regulation of multicellular organismal process | metal ion transport | response to oxygen levels | potassium ion transport | regulation of neuron differentiation | cellular response to endogenous stimulus | striated muscle tissue development | response to increased oxygen levels | regulation of plasma membrane bounded cell projection organization | monoatomic cation transport | muscle tissue development | regulation of cell projection organization | response to lipid | positive regulation of cellular process | regulation of cell adhesion | gland development | animal organ morphogenesis | response to stress | cellular response to stress | response to hypoxia | cellular response to chemical stress | positive regulation of cell migration | response to decreased oxygen levels | monoatomic ion transport | negative regulation of endothelial cell proliferation | positive regulation of cell motility | circulatory system development | biological regulation | positive regulation of cellular component organization | positive regulation of biological process | positive regulation of locomotion | cell-cell adhesion | regulation of system process | regulation of metal ion transport | transport | regulation of actin filament-based process | potassium ion transmembrane transport | negative regulation of epithelial cell differentiation | cellular response to oxygen levels | skeletal muscle tissue development | regulation of biological process | import across plasma membrane | negative regulation of BMP signaling pathway | skeletal muscle organ development | regulation of response to stimulus | negative regulation of developmental process | cellular response to growth factor stimulus | establishment of localization | Wnt signaling pathway | regulation of blood coagulation | muscle structure development | regulation of monoatomic ion transport | regulation of hemostasis | response to growth factor | maintenance of protein location | regulation of coagulation | blood vessel development | inorganic cation transmembrane transport | positive regulation of protein modification process | regulation of cellular process | cellular process | supramolecular fiber organization | regulation of canonical Wnt signaling pathway | regulation of vascular associated smooth muscle cell proliferation | localization | response to chemical | cell surface receptor signaling pathway | regulation of cell-cell adhesion | actin filament-based process | monoatomic cation transmembrane transport | vascular associated smooth muscle cell proliferation | vasculature development | response to peptide hormone | regulation of biological quality | system process | regulation of cytoskeleton organization"
"Rgcc",114,1,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | positive regulation of cell differentiation | animal organ development | cellular component organization | regulation of developmental process | cellular component organization or biogenesis | extracellular matrix organization | cell adhesion | external encapsulating structure organization | extracellular structure organization | regulation of multicellular organismal development | regulation of cell migration | response to abiotic stimulus | cell migration | response to endogenous stimulus | regulation of cell motility | regulation of multicellular organismal process | regulation of cell differentiation | regulation of locomotion | tissue development | cell motility | anatomical structure formation involved in morphogenesis | locomotion | multicellular organismal process | cellular response to chemical stimulus | regulation of cellular component organization | positive regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | response to oxygen levels | mesenchymal cell differentiation | cellular response to endogenous stimulus | collagen metabolic process | positive regulation of cellular process | regulation of cell adhesion | negative regulation of cell adhesion | mesenchyme development | response to stress | cellular response to stress | response to hypoxia | negative regulation of exit from mitosis | response to decreased oxygen levels | negative regulation of endothelial cell proliferation | circulatory system development | actin filament bundle assembly | biological regulation | positive regulation of cellular component organization | positive regulation of biological process | actin filament bundle organization | cell-cell adhesion | transport | regulation of actin filament-based process | positive regulation of epithelial to mesenchymal transition | cellular response to oxygen levels | regulation of biological process | regulation of response to stimulus | negative regulation of developmental process | cellular response to growth factor stimulus | export from cell | establishment of localization | collagen biosynthetic process | response to growth factor | blood vessel development | regulation of cellular process | cellular process | supramolecular fiber organization | regulation of vascular associated smooth muscle cell proliferation | localization | response to chemical | cell surface receptor signaling pathway | regulation of cell-cell adhesion | actin filament-based process | vascular associated smooth muscle cell proliferation | vasculature development | regulation of cytoskeleton organization | regulation of epithelial to mesenchymal transition | regulation of G1/S transition of mitotic cell cycle | epithelial to mesenchymal transition | regulation of endothelial cell migration | negative regulation of mitotic cell cycle phase transition | regulation of cell cycle G1/S phase transition | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | G1/S transition of mitotic cell cycle | negative regulation of mitotic cell cycle | endothelial cell migration | cell cycle G1/S phase transition | positive regulation of RNA metabolic process | negative regulation of cell cycle phase transition | positive regulation of macromolecule metabolic process | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | cellular response to transforming growth factor beta stimulus | muscle cell proliferation | response to transforming growth factor beta | regulation of primary metabolic process | DNA-templated transcription | negative regulation of cell cycle process | positive regulation of nucleobase-containing compound metabolic process | regulation of angiogenesis | regulation of vasculature development | enzyme-linked receptor protein signaling pathway | regulation of RNA metabolic process | regulation of mitotic cell cycle phase transition | positive regulation of metabolic process | regulation of cellular component biogenesis | regulation of actin cytoskeleton organization | negative regulation of cell cycle"
"Egr2",106,2,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | positive regulation of cell differentiation | animal organ development | cellular component organization | neuron differentiation | regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | positive regulation of myelination | neuron projection morphogenesis | regulation of multicellular organismal development | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | response to endogenous stimulus | neuron development | regulation of multicellular organismal process | regulation of cell differentiation | tissue development | glial cell differentiation | positive regulation of nervous system process | anatomical structure formation involved in morphogenesis | positive regulation of glial cell differentiation | positive regulation of neurogenesis | response to hormone | regulation of myelination | multicellular organismal process | cranial nerve structural organization | regulation of nervous system development | cell morphogenesis | positive regulation of nervous system development | gliogenesis | positive regulation of multicellular organismal process | positive regulation of gliogenesis | regulation of glial cell differentiation | anatomical structure arrangement | nerve development | regulation of neurogenesis | cell development | striated muscle tissue development | muscle tissue development | central nervous system development | cranial nerve morphogenesis | positive regulation of cellular process | head development | positive regulation of cell development | regulation of gliogenesis | rhombomere formation | rhombomere structural organization | rhombomere 3 structural organization | rhombomere 3 formation | rhombomere 5 morphogenesis | rhombomere 5 structural organization | rhombomere 5 formation | regulation of nervous system process | circulatory system development | biological regulation | regulation of cell development | positive regulation of biological process | regulation of system process | transport | myelination | ensheathment of neurons | axon ensheathment | skeletal muscle tissue development | cranial nerve development | regulation of biological process | skeletal muscle organ development | establishment of localization | brain development | muscle structure development | blood vessel development | rhythmic behavior | regulation of cellular process | cellular process | localization | response to chemical | axonogenesis | vasculature development | response to peptide hormone | system process | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | positive regulation of RNA metabolic process | positive regulation of macromolecule metabolic process | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | regulation of primary metabolic process | DNA-templated transcription | positive regulation of nucleobase-containing compound metabolic process | response to insulin | regulation of RNA metabolic process | positive regulation of metabolic process | skeletal muscle cell differentiation | response to oxygen-containing compound"
"Serpine2",96,2,"cell adhesion | regulation of cell growth | cell growth | negative regulation of cell adhesion | regulation of growth | system development | regulation of cell adhesion | anatomical structure morphogenesis | multicellular organism development | growth | seminal vesicle epithelium development | regulation of multicellular organismal process | animal organ development | sensory perception of mechanical stimulus | regulation of sodium ion transport | negative regulation of multicellular organismal process | regulation of developmental process | regulation of smoothened signaling pathway | cell differentiation | cellular developmental process | regulation of cell development | regulation of multicellular organismal development | cell-cell adhesion | regulation of neurogenesis | cellular component organization | positive regulation of cell differentiation | anatomical structure development | neuron differentiation | cell development | regulation of cell-cell adhesion | nervous system development | developmental process | positive regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | response to abiotic stimulus | neuron development | regulation of cell differentiation | response to mechanical stimulus | tissue development | glial cell differentiation | positive regulation of glial cell differentiation | positive regulation of neurogenesis | multicellular organismal process | regulation of nervous system development | regulation of cellular component organization | positive regulation of nervous system development | positive regulation of astrocyte differentiation | gliogenesis | positive regulation of multicellular organismal process | metal ion transport | positive regulation of gliogenesis | regulation of glial cell differentiation | astrocyte differentiation | nerve development | regulation of plasma membrane bounded cell projection organization | monoatomic cation transport | central nervous system development | regulation of cell projection organization | positive regulation of cellular process | head development | gland development | positive regulation of cell development | regulation of gliogenesis | response to stress | regulation of astrocyte differentiation | monoatomic ion transport | biological regulation | positive regulation of cellular component organization | positive regulation of biological process | negative regulation of cell growth | regulation of metal ion transport | transport | regulation of biological process | positive regulation of cell projection organization | regulation of response to stimulus | export from cell | establishment of localization | brain development | regulation of blood coagulation | regulation of monoatomic ion transport | regulation of hemostasis | negative regulation of growth | regulation of coagulation | long-term synaptic potentiation | regulation of cellular process | cellular process | localization | cell surface receptor signaling pathway | sodium ion transport | regulation of biological quality | system process"
"Mag",91,1,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | positive regulation of cell differentiation | cellular component organization | neuron differentiation | regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | cell adhesion | positive regulation of myelination | neuron projection morphogenesis | cell growth | regulation of multicellular organismal development | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | response to abiotic stimulus | cellular response to mechanical stimulus | cellular response to external stimulus | neuron development | cellular response to abiotic stimulus | cellular response to environmental stimulus | regulation of multicellular organismal process | regulation of cell differentiation | regulation of cell growth | response to mechanical stimulus | glial cell differentiation | positive regulation of nervous system process | anatomical structure formation involved in morphogenesis | positive regulation of glial cell differentiation | positive regulation of neurogenesis | regulation of myelination | multicellular organismal process | growth | regulation of nervous system development | cell morphogenesis | regulation of cellular component organization | positive regulation of nervous system development | positive regulation of astrocyte differentiation | gliogenesis | positive regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | regulation of growth | positive regulation of gliogenesis | regulation of glial cell differentiation | astrocyte differentiation | regulation of neuron differentiation | regulation of neurogenesis | cell development | regulation of plasma membrane bounded cell projection organization | developmental growth involved in morphogenesis | developmental cell growth | central nervous system development | regulation of cell projection organization | positive regulation of cellular process | positive regulation of cell development | regulation of gliogenesis | response to stress | cellular response to stress | regulation of astrocyte differentiation | regulation of nervous system process | regulation of axonogenesis | biological regulation | regulation of cell development | positive regulation of biological process | cell-cell adhesion | regulation of system process | negative regulation of cell growth | myelination | ensheathment of neurons | axon ensheathment | neuron projection extension | regulation of biological process | negative regulation of developmental process | negative regulation of growth | regulation of cellular process | cellular process | axonogenesis | regulation of biological quality | system process | developmental growth"
"S100b",88,2,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | positive regulation of cell differentiation | animal organ development | cellular component organization | neuron differentiation | regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | cell adhesion | positive regulation of myelination | neuron projection morphogenesis | cell growth | regulation of multicellular organismal development | plasma membrane bounded cell projection morphogenesis | response to steroid hormone | cell projection morphogenesis | response to abiotic stimulus | response to endogenous stimulus | neuron development | regulation of multicellular organismal process | regulation of cell differentiation | tissue development | glial cell differentiation | positive regulation of nervous system process | response to glucocorticoid | response to hormone | regulation of myelination | response to corticosteroid | multicellular organismal process | growth | cellular response to chemical stimulus | regulation of nervous system development | cell morphogenesis | gliogenesis | positive regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | response to oxygen levels | astrocyte differentiation | regulation of neuron differentiation | cell development | striated muscle tissue development | developmental growth involved in morphogenesis | developmental cell growth | muscle tissue development | central nervous system development | response to lipid | positive regulation of cellular process | response to stress | cellular response to stress | response to hypoxia | regulation of nervous system process | response to decreased oxygen levels | biological regulation | positive regulation of biological process | regulation of system process | myelination | ensheathment of neurons | axon ensheathment | neuron projection extension | cellular response to oxygen levels | skeletal muscle tissue development | regulation of biological process | skeletal muscle organ development | regulation of response to stimulus | negative regulation of developmental process | muscle structure development | long-term synaptic potentiation | regulation of cellular process | cellular process | response to chemical | regulation of biological quality | system process | developmental growth | skeletal muscle cell differentiation | positive regulation of neuron differentiation | response to oxygen-containing compound"
"Sema7a",87,3,"intracellular signal transduction | cell communication | cell migration | integrin-mediated signaling pathway | regulation of cell migration | regulation of cellular process | regulation of cell motility | intracellular signaling cassette | cell motility | regulation of locomotion | response to chemical | signal transduction | response to stimulus | regulation of biological process | biological regulation | regulation of axonogenesis | locomotion | tissue development | signaling | animal organ development | positive regulation of cellular process | neuron projection morphogenesis | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | mesenchymal cell differentiation | head development | positive regulation of biological process | regulation of cell growth | cell growth | regulation of growth | system development | anatomical structure morphogenesis | multicellular organism development | growth | regulation of multicellular organismal process | mesenchyme development | regulation of developmental process | neural crest cell differentiation | cell differentiation | cellular developmental process | regulation of cell development | regulation of multicellular organismal development | regulation of neurogenesis | cellular component organization | positive regulation of cell differentiation | anatomical structure development | neuron differentiation | cell development | nervous system development | developmental process | positive regulation of developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | neuron development | regulation of cell differentiation | positive regulation of neurogenesis | multicellular organismal process | regulation of nervous system development | cell morphogenesis | regulation of cellular component organization | positive regulation of nervous system development | positive regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | regulation of plasma membrane bounded cell projection organization | developmental growth involved in morphogenesis | developmental cell growth | central nervous system development | regulation of cell projection organization | positive regulation of cell development | response to stress | positive regulation of cell migration | positive regulation of cell motility | positive regulation of cellular component organization | positive regulation of locomotion | neuron projection extension | positive regulation of cell projection organization | regulation of response to stimulus | brain development | cellular process | axonogenesis | cell surface receptor signaling pathway | regulation of biological quality | developmental growth"
"Cpe",86,4,"response to steroid hormone | response to hydrogen peroxide | protein localization to organelle | response to hormone | response to reactive oxygen species | response to glucose | response to hexose | response to monosaccharide | intracellular signal transduction | response to ketone | response to carbohydrate | cell communication | cell migration | response to endogenous stimulus | response to oxidative stress | regulation of cellular process | cell motility | response to lipid | localization | response to chemical | homeostatic process | signal transduction | response to oxygen-containing compound | response to stimulus | regulation of biological process | nitrogen compound transport | biological regulation | transport | cellular response to glucose stimulus | signaling | cellular response to hexose stimulus | cellular response to monosaccharide stimulus | animal organ development | cellular response to carbohydrate stimulus | intracellular glucose homeostasis | establishment of localization | neuron migration | neuron projection morphogenesis | protein transport | plasma membrane bounded cell projection morphogenesis | cell projection morphogenesis | intracellular protein localization | system development | anatomical structure morphogenesis | multicellular organism development | regulation of multicellular organismal process | animal organ morphogenesis | cellular response to glucocorticoid stimulus | negative regulation of multicellular organismal process | cellular response to corticosteroid stimulus | regulation of developmental process | cell differentiation | cellular developmental process | Wnt signaling pathway | cellular component organization | anatomical structure development | neuron differentiation | cellular response to ketone | cell development | nervous system development | developmental process | neurogenesis | cellular component organization or biogenesis | generation of neurons | plasma membrane bounded cell projection organization | cell projection organization | neuron projection development | neuron development | response to glucocorticoid | response to corticosteroid | multicellular organismal process | cellular response to chemical stimulus | cell morphogenesis | regulation of anatomical structure morphogenesis | cellular response to endogenous stimulus | response to stress | cellular response to stress | cellular response to chemical stress | circulatory system development | cellular response to steroid hormone stimulus | regulation of response to stimulus | negative regulation of developmental process | export from cell | cellular process | cell surface receptor signaling pathway | regulation of biological quality"
"Fgf1",77,1,"anatomical structure morphogenesis | system development | multicellular organism development | anatomical structure development | nervous system development | developmental process | cell differentiation | cellular developmental process | positive regulation of developmental process | animal organ development | regulation of developmental process | neurogenesis | regulation of multicellular organismal development | regulation of cell migration | response to abiotic stimulus | cell migration | response to endogenous stimulus | regulation of cell motility | regulation of multicellular organismal process | regulation of locomotion | tissue development | cell motility | anatomical structure formation involved in morphogenesis | locomotion | multicellular organismal process | growth | cellular response to chemical stimulus | positive regulation of multicellular organismal process | regulation of anatomical structure morphogenesis | cellular response to endogenous stimulus | striated muscle tissue development | developmental growth involved in morphogenesis | muscle tissue development | positive regulation of cellular process | gland development | animal organ morphogenesis | response to stress | cellular response to stress | positive regulation of cell migration | positive regulation of cell motility | circulatory system development | biological regulation | positive regulation of biological process | positive regulation of locomotion | liver development | hepaticobiliary system development | regulation of biological process | regulation of response to stimulus | cellular response to growth factor stimulus | response to growth factor | blood vessel development | positive regulation of protein modification process | regulation of cellular process | cellular process | response to chemical | cell surface receptor signaling pathway | vasculature development | developmental growth | cellular response to fibroblast growth factor stimulus | response to fibroblast growth factor | regulation of endothelial cell migration | positive regulation of DNA-templated transcription | positive regulation of RNA biosynthetic process | endothelial cell migration | positive regulation of RNA metabolic process | positive regulation of macromolecule metabolic process | regulation of DNA-templated transcription | regulation of RNA biosynthetic process | muscle cell proliferation | regulation of primary metabolic process | DNA-templated transcription | positive regulation of nucleobase-containing compound metabolic process | regulation of angiogenesis | regulation of vasculature development | enzyme-linked receptor protein signaling pathway | regulation of RNA metabolic process | positive regulation of metabolic process"
