"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"cell adhesion",1,1,1,1,4
"regulation of cell growth",1,1,1,1,4
"cell growth",1,1,1,1,4
"negative regulation of cell adhesion",1,1,1,1,4
"response to steroid hormone",1,1,1,1,4
"system development",1,1,1,1,4
"regulation of cell adhesion",1,1,1,1,4
"anatomical structure morphogenesis",1,1,1,1,4
"regulation of cell migration",1,1,1,1,4
"cell migration",1,1,1,1,4
"multicellular organism development",1,1,1,1,4
"regulation of cell motility",1,1,1,1,4
"growth",1,1,1,1,4
"regulation of multicellular organismal process",1,1,1,1,4
"regulation of locomotion",1,1,1,1,4
"animal organ development",1,1,1,1,4
"extracellular matrix organization",1,1,1,1,4
"external encapsulating structure organization",1,1,1,1,4
"extracellular structure organization",1,1,1,1,4
"cell motility",1,1,1,1,4
"regulation of developmental process",1,1,1,1,4
"locomotion",1,1,1,1,4
"cell differentiation",1,1,1,1,4
"cellular developmental process",1,1,1,1,4
"regulation of multicellular organismal development",1,1,1,1,4
"cell-cell adhesion",1,1,1,1,4
"regulation of neurogenesis",1,1,1,1,4
"response to hormone",1,1,1,1,4
"regulation of growth",1,0,1,1,3
"seminal vesicle epithelium development",1,1,1,0,3
"cellular response to vitamin E",1,1,1,0,3
"response to ketone",1,0,1,1,3
"animal organ morphogenesis",1,0,1,1,3
"collagen fibril organization",1,1,1,0,3
"mesenchyme development",1,0,1,1,3
"negative regulation of multicellular organismal process",1,0,1,1,3
"cellular response to corticosteroid stimulus",1,0,1,1,3
"sensory organ morphogenesis",1,0,1,1,3
"response to hydrogen peroxide",1,1,0,1,3
"cardiac muscle hypertrophy",1,1,0,1,3
"striated muscle hypertrophy",1,1,0,1,3
"regulation of cell development",1,0,1,1,3
"muscle hypertrophy",1,1,0,1,3
"positive regulation of cell differentiation",1,0,1,1,3
"anatomical structure development",1,1,1,0,3
"neuron differentiation",1,0,1,1,3
"cell development",1,0,1,1,3
"tissue development",0,1,1,1,3
"response to abiotic stimulus",0,1,1,1,3
"regulation of cell division",0,1,1,1,3
"developmental growth",0,1,1,1,3
"nervous system development",0,1,1,1,3
"neurogenesis",0,1,1,1,3
"muscle tissue development",0,1,1,1,3
"positive regulation of cell communication",0,1,1,1,3
"positive regulation of signaling",0,1,1,1,3
"regulation of nervous system development",0,1,1,1,3
"response to mechanical stimulus",0,1,1,1,3
"response to endogenous stimulus",0,1,1,1,3
"positive regulation of signal transduction",0,1,1,1,3
"endochondral bone morphogenesis",0,1,1,1,3
"generation of neurons",0,1,1,1,3
"response to stress",0,1,1,1,3
"intracellular signaling cassette",0,1,1,1,3
"positive regulation of multicellular organismal process",0,1,1,1,3
"astrocyte differentiation",0,1,1,1,3
"head development",0,1,1,1,3
"gliogenesis",0,1,1,1,3
"bone morphogenesis",0,1,1,1,3
"wound healing",0,1,1,1,3
"cell surface receptor signaling pathway",0,1,1,1,3
"cytokine production",0,1,1,1,3
"regulation of anatomical structure morphogenesis",0,1,1,1,3
"positive regulation of developmental process",0,1,1,1,3
"regulation of monoatomic ion transport",0,1,1,1,3
"striated muscle tissue development",0,1,1,1,3
"mesenchymal cell differentiation",1,0,0,1,2
"negative regulation of hepatocyte differentiation",1,0,1,0,2
"negative regulation of cell-substrate adhesion",1,0,1,0,2
"cellular response to glucocorticoid stimulus",1,0,1,0,2
"sensory perception of mechanical stimulus",1,1,0,0,2
"regulation of sodium ion transport",1,1,0,0,2
"regulation of smoothened signaling pathway",1,1,0,0,2
"Wnt signaling pathway",1,0,1,0,2
"cellular component organization",1,0,1,0,2
"cellular response to ketone",1,0,1,0,2
"regulation of cell-cell adhesion",1,0,0,1,2
"response to progesterone",0,1,1,0,2
"developmental growth involved in morphogenesis",0,1,1,0,2
"tissue homeostasis",0,1,0,1,2
"anatomical structure homeostasis",0,1,0,1,2
"positive regulation of cellular process",0,1,1,0,2
"skin development",0,1,0,1,2
"cellular response to fibroblast growth factor stimulus",0,1,1,0,2
"integrin-mediated signaling pathway",0,1,1,0,2
"regulation of metal ion transport",0,1,0,1,2
"regulation of biological process",0,1,1,0,2
"response to fibroblast growth factor",0,1,1,0,2
"response to estradiol",0,1,1,0,2
"positive regulation of biological process",0,1,1,0,2
"biological regulation",0,1,1,0,2
"regulation of cell differentiation",0,0,1,1,2
"regulation of response to stimulus",0,0,1,1,2
"regulation of signaling",0,0,1,1,2
"regulation of cell communication",0,0,1,1,2
"regulation of cell population proliferation",0,0,1,1,2
"regulation of biological quality",0,0,1,1,2
"positive regulation of cell migration",0,0,1,1,2
"regulation of cellular component organization",0,0,1,1,2
"positive regulation of cell motility",0,0,1,1,2
"response to wounding",0,0,1,1,2
"glial cell differentiation",0,0,1,1,2
"regulation of plasma membrane bounded cell projection organization",0,0,1,1,2
"positive regulation of locomotion",0,0,1,1,2
"regulation of cell projection organization",0,0,1,1,2
"regulation of signal transduction",0,0,1,1,2
"response to external stimulus",0,0,1,1,2
"cell projection organization",0,0,1,1,2
"anatomical structure formation involved in morphogenesis",0,0,1,1,2
"vasculature development",0,0,1,1,2
"negative regulation of cellular component organization",0,0,1,1,2
"blood vessel development",0,0,1,1,2
"cell population proliferation",0,0,1,1,2
"central nervous system development",0,0,1,1,2
"negative regulation of developmental process",0,0,1,1,2
"plasma membrane bounded cell projection organization",0,0,1,1,2
"cell-substrate adhesion",0,0,1,1,2
"tube development",0,0,1,1,2
