"","Name","ID","pSize","NDE","pNDE","tA","pPERT","pG","pGFdr","pGFWER","Status","KEGGLINK","Group"
"HFDvsSD.1","ECM-receptor interaction","04512",86,14,1.55688558699498e-08,-1.59044520831816,5e-06,2.42750114358826e-12,2.88872636087003e-10,2.88872636087003e-10,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04512+16775+16776+226519+12826+12827+12831+12842+12843+53867+81877+20750+20970+16404+16400","HFDvsSD"
"HFDvsSD.2","Focal adhesion","04510",201,19,3.91871842317704e-07,-3.21745778494379,0.02,1.54118132512365e-07,9.1700288844857e-06,1.83400577689714e-05,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04510+16400+16404+19878+22330+18709+12826+12827+12831+12842+12843+16775+16776+20750+226519+53867+81877+12390+26413+20416","HFDvsSD"
"HFDvsSD.3","Small cell lung cancer","05222",83,9,0.000162152233989217,-2.0533420364368,0.013,2.96588031965218e-05,0.0011764658601287,0.00352939758038609,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05222+16400+18709+12826+12827+16775+16776+226519+16150+18035","HFDvsSD"
"HFDvsSD.4","Amoebiasis","05146",115,12,2.01864857109841e-05,0.0223219482121257,0.955,0.000228571512883769,0.00680000250829214,0.0272000100331685,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05146+16775+16776+226519+18709+432530+12826+12827+12831+12842+12843+53867+22330","HFDvsSD"
"HFDvsSD.5","Aldosterone-regulated sodium reabsorption","04960",40,4,0.0149277684364352,0.749417102812152,0.018,0.00247792718941041,0.0573986647746807,0.294873335539839,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04960+20393+16337+18709+26413","HFDvsSD"
"HFDvsSD.6","Bacterial invasion of epithelial cells","05100",70,7,0.00139579976801622,-1.00495279883714,0.269,0.00333692762508555,0.0573986647746807,0.397094387385181,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05100+18709+74006+74325+20416+12390+622434+22330","HFDvsSD"
"HFDvsSD.7","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","05412",74,8,0.000380477872734345,0,1,0.00337639204556945,0.0573986647746807,0.401790653422765,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05412+24052+12293+12297+11938+24051+16400+16404+21415","HFDvsSD"
"HFDvsSD.8","Chemokine signaling pathway","04062",184,11,0.00485668826595406,1.35167531134758,0.146,0.00585097806926033,0.0870332987802474,0.696266390241979,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04062+18709+20416+14702+14772+26385+109689+19878+432530+26413+16150+18035","HFDvsSD"
"HFDvsSD.9","Type II diabetes mellitus","04930",50,4,0.0312653078393832,1.04701998019917,0.04,0.00960985758814487,0.118789381487957,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04930+18709+16337+26413+16150","HFDvsSD"
"HFDvsSD.10","Dilated cardiomyopathy","05414",89,8,0.00130651714173065,0,1,0.00998230096537451,0.118789381487957,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05414+24052+12293+12297+11938+16400+16404+24051+432530","HFDvsSD"
"HFDvsSD.11","Insulin signaling pathway","04910",139,8,0.0186885526443143,2.17999057135195,0.104,0.0140779686320963,0.152298024292678,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04910+16150+26413+108097+20416+106628+16337+20411+18709","HFDvsSD"
"HFDvsSD.12","Morphine addiction","05032",91,5,0.067011740528797,-0.582057887883792,0.036,0.0169523926436424,0.161819331924387,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05032+432530+14702+14772+26385+109689","HFDvsSD"
"HFDvsSD.13","Dorso-ventral axis formation","04320",22,3,0.0149015539470275,0.1679939209617,0.17,0.0176777421430002,0.161819331924387,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04320+234857+18129+26413","HFDvsSD"
"HFDvsSD.14","Toll-like receptor signaling pathway","04620",100,6,0.0328248554617461,-1.16018749510416,0.097,0.0214908436925888,0.166640950276606,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04620+16179+26413+20750+16150+18035+18709","HFDvsSD"
"HFDvsSD.15","Long-term potentiation","04720",69,6,0.00608070187836938,-0.561361920060575,0.531,0.0217483519503523,0.166640950276606,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04720+108058+19055+70261+432530+26413+16438","HFDvsSD"
"HFDvsSD.16","Pancreatic cancer","05212",70,5,0.0259727662075052,-0.741377231973148,0.137,0.0236215012969306,0.166640950276606,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05212+18709+16150+26413+19730+21802","HFDvsSD"
"HFDvsSD.17","Protein processing in endoplasmic reticulum","04141",165,7,0.101457048568175,0.492138515282951,0.036,0.024151324741024,0.166640950276606,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04141+17872+17155+74126+71853+100037258+50873+12955","HFDvsSD"
"HFDvsSD.18","HTLV-I infection","05166",276,13,0.0159124195139131,0.673567825599213,0.246,0.0256125900731967,0.166640950276606,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05166+19055+70261+103573+432530+99152+19385+18035+16150+18709+18970+382056+70461+60599","HFDvsSD"
"HFDvsSD.19","Adipocytokine signaling pathway","04920",70,6,0.006519911451215,0.147390854745822,0.628,0.0266065382794582,0.166640950276606,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04920+18035+78070+74205+108097+18761+16150","HFDvsSD"
"HFDvsSD.20","Glutamatergic synapse","04724",125,7,0.030629065602058,0.382636788659787,0.143,0.0281662578274264,0.167589234073187,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04724+53623+432530+16438+14702+19055+70261+26413","HFDvsSD"
"HFDvsSD.21","Neurotrophin signaling pathway","04722",122,8,0.00903781269202553,0.315725312601509,0.634,0.0353083496560716,0.200080648051072,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04722+18709+20416+26413+18035+327826+108058+16179+16150","HFDvsSD"
"HFDvsSD.22","B cell receptor signaling pathway","04662",76,6,0.00965140338471551,0.182396619295019,0.681,0.0395989300834784,0.214194212724269,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04662+18035+16150+18709+19055+70261+26413","HFDvsSD"
"HFDvsSD.23","Apoptosis","04210",84,6,0.0153213411310356,0.396702848559763,0.519,0.0463935238839314,0.240036058355993,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04210+19055+70261+18035+16150+18709+16179","HFDvsSD"
"HFDvsSD.24","Toxoplasmosis","05145",128,8,0.0118722642829991,-0.159752272888118,0.763,0.0516703297441878,0.256198718314931,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05145+16179+16150+18035+26413+18709+16775+16776+226519","HFDvsSD"
"HFDvsSD.25","Glioma","05214",65,5,0.0195070308149981,-0.38304211274234,0.558,0.0600888757367566,0.281656204432544,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05214+21802+108058+20416+26413+18709","HFDvsSD"
