"","Name","ID","pSize","NDE","pNDE","tA","pPERT","pG","pGFdr","pGFWER","Status","KEGGLINK","Group"
"HFDvsSD.1","Circadian rhythm - mammal","04710",22,3,0.00135532220596286,-1.28372033312913,0.034,0.00050620439725391,0.0410025561775667,0.0410025561775667,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04710+12953+217166+18628","HFDvsSD"
"HFDvsSD.2","Systemic lupus erythematosus","05322",142,1,0.76433921500473,0.976283918969754,0.001,0.00624961872674238,0.253109558433066,0.506219116866133,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05322+50908","HFDvsSD"
"HFDvsSD.3","Adipocytokine signaling pathway","04920",70,4,0.00550309828168802,0.625742319571099,0.34,0.0136236145742815,0.290017339447186,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04920+72674+22030+16367+384783","HFDvsSD"
"HFDvsSD.4","Transcriptional misregulation in cancer","05202",174,7,0.00198273462571347,0,1,0.0143218439233178,0.290017339447186,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05202+233908+268996+18590+13207+16001+107951+67603","HFDvsSD"
"HFDvsSD.5","Herpes simplex infection","05168",196,7,0.00384542122952495,-0.215213708201459,0.708,0.0188024862249972,0.294022348372388,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05168+22030+12914+18628+21355+14972+20384+57317","HFDvsSD"
"HFDvsSD.6","Staphylococcus aureus infection","05150",51,1,0.404284058901213,1.70849685819707,0.008,0.0217794332127695,0.294022348372388,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05150+50908","HFDvsSD"
"HFDvsSD.7","Hedgehog signaling pathway","04340",54,2,0.103235961432571,0.404579820860894,0.09,0.0527619927959499,0.610531630924564,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04340+22420+13363","HFDvsSD"
"HFDvsSD.8","Renal cell carcinoma","05211",71,3,0.0351118546210544,0.406939841582971,0.494,0.0876704912487516,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05211+12914+112406+18590","HFDvsSD"
"HFDvsSD.9","Pertussis","05133",73,1,0.523755757551318,0.976283918969754,0.037,0.0958012056379411,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05133+50908","HFDvsSD"
"HFDvsSD.10","Type II diabetes mellitus","04930",50,2,0.0906707398887275,0.684060897508111,0.229,0.101213283616295,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04930+16367+384783","HFDvsSD"
"HFDvsSD.11","Bacterial invasion of epithelial cells","05100",70,3,0.0338727500835244,-0.476932468774355,0.621,0.102262987945805,0.633079359930515,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05100+13043+11867+16202","HFDvsSD"
"HFDvsSD.12","Neurotrophin signaling pathway","04722",122,4,0.0352853689094444,-0.341851824030459,0.724,0.119232421512703,0.633079359930515,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04722+18213+16367+20399+94275","HFDvsSD"
"HFDvsSD.13","mTOR signaling pathway","04150",65,1,0.483357234869775,0.358431420687466,0.057,0.12650768140584,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04150+16367","HFDvsSD"
"HFDvsSD.14","Protein processing in endoplasmic reticulum","04141",165,4,0.0863371916487566,0.413867559857049,0.321,0.127092203650658,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04141+22030+19089+64209+22027","HFDvsSD"
"HFDvsSD.15","HTLV-I infection","05166",276,5,0.147918746204039,0.964580741015233,0.193,0.130070626344071,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05166+14972+11910+18590+22420+12914","HFDvsSD"
"HFDvsSD.16","Antigen processing and presentation","04612",74,3,0.038967928634697,-0.038852952901969,0.838,0.144392909456625,0.633079359930515,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04612+21356+14972+21355","HFDvsSD"
"HFDvsSD.17","Viral carcinogenesis","05203",220,3,0.383382712120264,-0.162951633924616,0.086,0.145471939719801,0.633079359930515,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05203+22030+12914+14972","HFDvsSD"
"HFDvsSD.18","Insulin signaling pathway","04910",139,2,0.410348021774902,2.33663194672965,0.081,0.14638284141519,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04910+16367+384783","HFDvsSD"
"HFDvsSD.19","Gap junction","04540",87,2,0.219195461769499,1.27947970898192,0.157,0.150363755803402,0.633079359930515,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04540+22142+18590","HFDvsSD"
"HFDvsSD.20","Lysosome","04142",123,4,0.0361936996015114,0,1,0.156315891340868,0.633079359930515,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04142+19025+19063+16784+12512","HFDvsSD"
"HFDvsSD.21","Complement and coagulation cascades","04610",76,3,0.0416533651211633,0.0824933725569638,0.947,0.166967070524844,0.64401584345297,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04610+21824+14066+50908","HFDvsSD"
"HFDvsSD.22","RIG-I-like receptor signaling pathway","04622",69,2,0.153852973669601,-0.216088355550654,0.283,0.179998862357754,0.662723084135367,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04622+74256+22030","HFDvsSD"
"HFDvsSD.23","Glioma","05214",65,2,0.139903584280159,0.71515155204721,0.353,0.197943344046195,0.689431866716685,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05214+18590+16001","HFDvsSD"
"HFDvsSD.24","Osteoclast differentiation","04380",121,2,0.345678708100691,-0.686273129945245,0.149,0.204276108656796,0.689431866716685,1,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04380+22030+74256","HFDvsSD"
"HFDvsSD.25","Basal cell carcinoma","05217",55,2,0.106448412301574,0.421341240731718,0.55,0.224697960851088,0.703611184263066,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05217+22420+12006","HFDvsSD"
"HFDvsSD.26","Prion diseases","05020",35,1,0.29907182779047,0.674439998530454,0.199,0.227439002063744,0.703611184263066,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05020+19122","HFDvsSD"
"HFDvsSD.27","Melanogenesis","04916",100,2,0.267690936456957,1.17051092551045,0.247,0.245719778485622,0.703611184263066,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04916+12914+22420","HFDvsSD"
