"","Name","ID","pSize","NDE","pNDE","tA","pPERT","pG","pGFdr","pGFWER","Status","KEGGLINK","Group"
"HFDvsSD.1","Antigen processing and presentation","04612",74,8,9.49396734921534e-06,1.03374023829421,0.044,6.55359512069123e-06,0.0007471098437588,0.0007471098437588,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04612+12265+13030+65972+12010+110557+14964+14972+15481","HFDvsSD"
"HFDvsSD.2","Serotonergic synapse","04726",137,3,0.30403008255051,2.3216215065214,5e-06,2.18851513812763e-05,0.00124745362873275,0.0024949072574655,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04726+14678+19252+18176","HFDvsSD"
"HFDvsSD.3","Pertussis","05133",73,8,8.57123601138697e-06,0.449122159514652,0.658,7.3801402112668e-05,0.00280445328028139,0.00841335984084416,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05133+16412+54131+14678+16402+12631+14281+16362+66824","HFDvsSD"
"HFDvsSD.4","Herpes simplex infection","05168",196,11,0.000110973537233641,0.218553364079399,0.826,0.000943900435295074,0.0269011624059096,0.107604649623638,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05168+14281+19247+54131+56489+67615+18626+80509+20847+110557+14964+14972","HFDvsSD"
"HFDvsSD.5","Natural killer cell mediated cytotoxicity","04650",121,7,0.0016490587889875,-3.98237912454706,0.123,0.00192755834367851,0.0409010098152344,0.21974165117935,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04650+19056+19247+18176+14784+22324+14964+14972","HFDvsSD"
"HFDvsSD.6","Fc gamma R-mediated phagocytosis","04666",89,5,0.00850028640723259,-2.80637024925424,0.027,0.0021526847271176,0.0409010098152344,0.245406058891406,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04666+16331+22324+67771+12631+227753","HFDvsSD"
"HFDvsSD.7","Hepatitis C","05160",134,7,0.00293865802781818,1.26342792931068,0.098,0.00263584055964306,0.0429265462570442,0.300485823799309,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05160+56489+54131+19766+20847+16362+14784+18176","HFDvsSD"
"HFDvsSD.8","B cell receptor signaling pathway","04662",76,6,0.000710183075884721,0.672572826983448,0.605,0.0037606120780847,0.0530319460454867,0.428709776901656,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04662+22324+16331+14281+18176+19056+14784","HFDvsSD"
"HFDvsSD.9","Epstein-Barr virus infection","05169",203,10,0.000635276332589862,-0.131257437061162,0.805,0.00438695319241109,0.0530319460454867,0.500112663934864,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05169+110557+14964+14972+19664+15481+19766+12505+54131+103573+17463","HFDvsSD"
"HFDvsSD.10","Regulation of actin cytoskeleton","04810",215,10,0.0009864933486878,-0.854009409713283,0.554,0.00465192509170936,0.0530319460454867,0.530319460454867,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu04810+67771+108100+237860+12631+227753+22330+22324+16402+16412+18176","HFDvsSD"
"HFDvsSD.11","Chronic myeloid leukemia","05220",73,5,0.00368691764755548,1.06682692233364,0.229,0.00681944266750237,0.0706742240086609,0.77741646409527,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05220+19247+13016+17128+14784+18176","HFDvsSD"
"HFDvsSD.12","Legionellosis","05134",56,4,0.00797447672147535,0.947485413649677,0.134,0.00837918869843395,0.0757966093926307,0.95522751162147,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05134+66824+19324+13627+15481","HFDvsSD"
"HFDvsSD.13","Colorectal cancer","05210",64,3,0.061517292861538,-1.21326986375853,0.018,0.00864347300091403,0.0757966093926307,0.9853559221042,"Inhibited","http://www.genome.jp/dbget-bin/show_pathway?mmu05210+72993+17128+14281","HFDvsSD"
"HFDvsSD.14","MAPK signaling pathway","04010",267,10,0.00475843925187041,0.85918602133893,0.34,0.0120153416328716,0.0960218626752286,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu04010+19252+67603+18176+14784+26412+15481+16478+19056+14281+17347","HFDvsSD"
"HFDvsSD.15","Influenza A","05164",164,8,0.0023170898628212,0.230244731964395,0.74,0.0126344556151617,0.0960218626752286,1,"Activated","http://www.genome.jp/dbget-bin/show_pathway?mmu05164+56489+54131+66824+20847+12265+15481+53817+103573","HFDvsSD"
