"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"neuron projection morphogenesis",1,1,1,1,4
"plasma membrane bounded cell projection morphogenesis",1,1,1,1,4
"cell projection morphogenesis",1,1,1,1,4
"neuron differentiation",1,1,1,1,4
"cell morphogenesis",1,1,1,1,4
"generation of neurons",1,1,1,1,4
"plasma membrane bounded cell projection organization",1,1,1,1,4
"neuron projection development",1,1,1,1,4
"cell projection organization",1,1,1,1,4
"nervous system development",1,1,1,1,4
"neuron development",1,1,1,1,4
"neurogenesis",1,1,1,1,4
"anatomical structure morphogenesis",1,1,1,1,4
"multicellular organism development",1,1,1,1,4
"cell migration",1,1,1,1,4
"response to endogenous stimulus",1,1,1,1,4
"system development",1,1,1,1,4
"cell motility",1,1,1,1,4
"response to steroid hormone",1,1,1,1,4
"cell adhesion",1,1,1,1,4
"regulation of multicellular organismal process",1,1,1,1,4
"animal organ development",1,1,1,1,4
"transport",1,1,1,1,4
"regulation of cell differentiation",1,1,1,1,4
"negative regulation of developmental process",1,1,1,1,4
"response to lipid",1,1,1,1,4
"regulation of developmental process",1,1,1,1,4
"regulation of nervous system development",1,1,1,1,4
"cell differentiation",1,1,1,1,4
"cellular developmental process",1,1,1,1,4
"positive regulation of myelination",1,1,1,0,3
"myelination",1,1,1,0,3
"ensheathment of neurons",1,1,1,0,3
"axon ensheathment",1,1,1,0,3
"cellular component organization",1,1,1,0,3
"cellular component organization or biogenesis",1,1,1,0,3
"regulation of neuron differentiation",1,1,1,0,3
"positive regulation of nervous system process",1,1,1,0,3
"negative regulation of microvillus assembly",1,1,1,0,3
"regulation of thyroid gland epithelial cell proliferation",1,1,1,0,3
"negative regulation of thyroid gland epithelial cell proliferation",1,1,1,0,3
"thyroid gland epithelial cell proliferation",1,1,1,0,3
"regulation of myelination",1,1,1,0,3
"anatomical structure development",1,1,1,0,3
"localization",1,0,1,1,3
"response to hormone",1,0,1,1,3
"developmental process",1,1,1,0,3
"response to glucocorticoid",1,0,1,1,3
"establishment of localization",1,0,1,1,3
"cell junction assembly",1,0,1,1,3
"response to corticosteroid",1,0,1,1,3
"response to oxygen-containing compound",1,0,1,1,3
"multicellular organismal process",1,1,1,0,3
"skeletal muscle tissue development",1,0,1,1,3
"neuron migration",1,0,1,1,3
"negative regulation of cell projection organization",1,1,1,0,3
"skeletal muscle organ development",1,0,1,1,3
"regulation of plasma membrane bounded cell projection organization",0,1,1,1,3
"regulation of cell projection organization",0,1,1,1,3
"regulation of anatomical structure morphogenesis",0,1,1,1,3
"cell growth",0,1,1,1,3
"cell-cell adhesion",0,1,1,1,3
"regulation of response to stimulus",0,1,1,1,3
"regulation of neuron projection development",0,1,1,1,3
"axon development",0,1,1,1,3
"response to ketone",0,1,1,1,3
"regulation of cell motility",0,1,1,1,3
"regulation of signaling",0,1,1,1,3
"regulation of cell communication",0,1,1,1,3
"regulation of locomotion",0,1,1,1,3
"regulation of response to external stimulus",0,1,1,1,3
"regulation of signal transduction",0,1,1,1,3
"astrocyte differentiation",0,1,1,1,3
"negative regulation of cellular component organization",0,1,1,1,3
"negative regulation of cell differentiation",0,1,1,1,3
"intracellular signaling cassette",0,1,1,1,3
"locomotion",0,1,1,1,3
"regulation of cell growth",0,1,1,1,3
"response to external stimulus",0,1,1,1,3
"regulation of neurogenesis",0,1,1,1,3
