"Term","n_celltypes","celltypes","mean_neg_log10_padj","max_neg_log10_padj","category"
"positive regulation of glial cell differentiation",2,"majorSC, mySC",2.72074678112561,2.94728979632121,"Partially shared"
"positive regulation of gliogenesis",2,"majorSC, mySC",2.61267094530091,2.84788479947718,"Partially shared"
"regulation of glial cell differentiation",2,"majorSC, mySC",2.61267094530091,2.84788479947718,"Partially shared"
"positive regulation of myelination",2,"majorSC, mySC",2.53842633476045,2.63146505581559,"Partially shared"
"regulation of gliogenesis",2,"majorSC, mySC",2.3784587403432,2.62620902110222,"Partially shared"
"positive regulation of neurogenesis",2,"majorSC, mySC",2.29823024565984,2.84788479947718,"Partially shared"
"positive regulation of nervous system process",2,"majorSC, mySC",2.26841670484246,2.49420376593001,"Partially shared"
"regulation of myelination",2,"majorSC, mySC",2.23554130407562,2.49420376593001,"Partially shared"
"positive regulation of nervous system development",2,"majorSC, mySC",2.23453552784342,2.72049536384436,"Partially shared"
"positive regulation of astrocyte differentiation",2,"majorSC, mySC",2.2047903757909,2.72049536384436,"Partially shared"
"regulation of neurogenesis",2,"majorSC, mySC",2.11584761367632,2.5426098396152,"Partially shared"
"cellular response to external stimulus",2,"majorSC, mySC",2.04750601294375,2.37745709112465,"Partially shared"
"cellular response to mechanical stimulus",2,"majorSC, mySC",2.04750601294375,2.37745709112465,"Partially shared"
"response to mechanical stimulus",2,"majorSC, mySC",1.97246096660265,2.13532733442189,"Partially shared"
"glial cell differentiation",2,"majorSC, mySC",1.88670240635147,2.02482912086044,"Partially shared"
"regulation of astrocyte differentiation",2,"majorSC, mySC",1.8838452240848,2.23348036802166,"Partially shared"
"gliogenesis",2,"majorSC, mySC",1.73769389771602,1.74857569184249,"Partially shared"
"regulation of nervous system process",2,"majorSC, mySC",1.72664385163365,2.06156016308983,"Partially shared"
"axon ensheathment",2,"majorSC, mySC",1.70135214603705,2.01275918965166,"Partially shared"
"ensheathment of neurons",2,"majorSC, mySC",1.70135214603705,2.01275918965166,"Partially shared"
"myelination",2,"majorSC, mySC",1.70135214603705,2.01275918965166,"Partially shared"
"bone trabecula formation",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"collagen-activated tyrosine kinase receptor signaling pathway",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"cranial nerve structural organization",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"facial nerve development",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"facial nerve morphogenesis",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"facial nerve structural organization",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"response to vitamin E",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"skin morphogenesis",2,"majorSC, mySC",1.56926039713247,1.74857569184249,"Partially shared"
"response to insulin",2,"majorSC, mySC",1.55878859648956,1.74857569184249,"Partially shared"
"bone trabecula morphogenesis",2,"majorSC, mySC",1.53429248885222,1.68908538773744,"Partially shared"
"collagen-activated signaling pathway",2,"majorSC, mySC",1.53429248885222,1.68908538773744,"Partially shared"
"preganglionic parasympathetic fiber development",2,"majorSC, mySC",1.53429248885222,1.68908538773744,"Partially shared"
"response to hyperoxia",2,"majorSC, mySC",1.53429248885222,1.68908538773744,"Partially shared"
"cellular response to abiotic stimulus",2,"majorSC, mySC",1.53227119395953,1.74857569184249,"Partially shared"
"cellular response to environmental stimulus",2,"majorSC, mySC",1.53227119395953,1.74857569184249,"Partially shared"
"astrocyte differentiation",2,"majorSC, mySC",1.52369822025636,1.71755493476286,"Partially shared"
"regulation of axon extension",2,"majorSC, mySC",1.52369822025636,1.71755493476286,"Partially shared"
"nerve development",2,"majorSC, mySC",1.52042784112368,1.71755493476286,"Partially shared"
"parasympathetic nervous system development",2,"majorSC, mySC",1.49861282973202,1.6344743358573,"Partially shared"
"anatomical structure arrangement",2,"majorSC, mySC",1.49447762855892,1.6262039335111,"Partially shared"
"regulation of extent of cell growth",2,"majorSC, mySC",1.4813249132022,1.64246247771552,"Partially shared"
"response to hydrogen peroxide",2,"majorSC, mySC",1.48035671021331,1.64246247771552,"Partially shared"
"cellular response to aldehyde",2,"majorSC, mySC",1.47524532475391,1.59837044077313,"Partially shared"
"definitive hemopoiesis",2,"majorSC, mySC",1.47524532475391,1.59837044077313,"Partially shared"
"myelin assembly",2,"majorSC, mySC",1.47361487689654,1.59837044077313,"Partially shared"
"response to increased oxygen levels",2,"majorSC, mySC",1.47361487689654,1.59837044077313,"Partially shared"
"trabecula formation",2,"majorSC, mySC",1.43987023524798,1.5615125058278,"Partially shared"
"axon ensheathment in central nervous system",2,"majorSC, mySC",1.43716852202921,1.55837034798185,"Partially shared"
"cellular response to vitamin",2,"majorSC, mySC",1.43716852202921,1.55837034798185,"Partially shared"
"central nervous system myelination",2,"majorSC, mySC",1.43716852202921,1.55837034798185,"Partially shared"
"cranial nerve morphogenesis",2,"majorSC, mySC",1.43716852202921,1.55837034798185,"Partially shared"
"motor neuron axon guidance",2,"majorSC, mySC",1.42573776447541,1.54144895636645,"Partially shared"
